Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,ATL,41,31,1,,72,241.7,41.3,89.1,.463,11.9,34.2,.349,29.3,55.0,.534,16.9,21.1,.803,10.0,32.7,42.7,24.4,7.7,5.0,12.3,19.8,111.4
2019-20,NBA,ATL,20,47,5,,67,243.0,43.3,90.7,.478,11.9,32.7,.363,31.4,58.0,.542,21.2,27.4,.772,11.2,35.9,47.0,25.0,9.0,6.4,15.0,21.0,119.7
2018-19,NBA,ATL,29,53,5,,82,242.1,42.8,90.5,.473,12.4,34.4,.359,30.4,56.1,.543,21.5,28.3,.758,10.6,35.4,46.0,26.9,9.9,5.5,15.0,22.2,119.4
2017-18,NBA,ATL,24,58,5,,82,240.3,40.7,86.7,.469,11.6,30.7,.377,29.1,56.0,.520,15.9,20.6,.772,10.3,34.0,44.2,26.1,8.7,5.5,15.1,20.3,108.8
2016-17,NBA,ATL,43,39,2,,82,242.4,38.8,87.3,.444,10.9,30.5,.357,27.9,56.7,.491,15.6,20.2,.772,10.7,33.2,43.9,23.4,9.0,5.2,15.4,21.6,104.0
2015-16,NBA,ATL,48,34,2,,82,241.8,37.1,86.1,.432,8.3,24.5,.338,28.9,61.6,.469,16.7,22.1,.755,11.5,35.0,46.5,22.0,8.6,5.0,16.1,18.3,99.2
2014-15,NBA,ATL,60,22,1,,82,240.6,36.5,83.1,.439,8.8,25.8,.341,27.7,57.4,.483,15.4,20.1,.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1
2013-14,NBA,ATL,38,44,4,,82,241.8,38.6,83.5,.462,8.0,21.9,.365,30.6,61.6,.497,16.4,21.9,.748,10.8,32.8,43.5,23.2,8.2,4.3,15.2,20.0,101.5
2012-13,NBA,ATL,44,38,2,,82,242.1,37.5,83.2,.450,7.6,19.9,.379,29.9,63.3,.473,15.0,19.7,.763,11.3,32.4,43.7,22.3,8.4,4.3,15.2,18.8,97.5
2011-12,NBA,ATL,40,26,2,,66,244.9,36.1,81.3,.444,5.9,17.2,.344,30.1,64.1,.470,15.1,20.1,.753,10.8,31.5,42.3,20.5,7.5,4.7,15.1,19.1,93.2
2010-11,NBA,ATL,44,38,3,,82,240.6,36.7,79.7,.460,5.6,16.6,.338,31.1,63.2,.492,16.8,21.7,.774,10.2,30.3,40.6,21.4,6.7,4.2,12.5,18.5,95.8
2009-10,NBA,ATL,53,29,2,,82,242.1,37.2,80.8,.460,5.9,17.0,.345,31.3,63.8,.491,16.8,22.6,.745,11.2,30.1,41.4,21.0,6.2,4.4,13.8,19.3,97.0
2008-09,NBA,ATL,47,35,2,,82,240.3,36.6,80.6,.454,6.4,18.2,.353,30.2,62.4,.484,16.9,22.0,.769,11.6,30.3,41.9,20.8,6.5,4.3,13.7,20.5,96.5
2007-08,NBA,ATL,37,45,3,,82,242.1,38.0,82.1,.463,6.2,17.2,.362,31.7,64.9,.489,17.8,23.7,.752,11.8,29.1,40.9,22.3,7.5,5.1,13.7,21.9,100.0
2006-07,NBA,ATL,30,52,5,,82,242.4,36.0,77.3,.466,5.7,15.1,.376,30.3,62.2,.488,20.7,28.2,.734,11.6,28.9,40.5,21.1,7.3,5.1,15.2,22.6,98.4
2005-06,NBA,ATL,26,56,5,,82,242.4,37.5,78.5,.478,5.4,14.7,.368,32.1,63.8,.503,21.6,28.9,.745,12.0,28.5,40.4,20.6,7.3,5.1,15.0,22.6,102.0
2004-05,NBA,ATL,13,69,5,,82,242.1,37.1,77.9,.476,5.7,15.0,.379,31.4,62.9,.500,22.5,29.2,.770,11.0,30.3,41.3,22.0,8.7,5.9,14.8,21.7,102.5
2003-04,NBA,ATL,28,54,7,,82,242.7,36.2,82.2,.440,5.9,16.4,.358,30.3,65.8,.461,19.2,25.3,.760,12.8,30.3,43.1,22.0,8.9,5.1,14.0,20.7,97.5
2002-03,NBA,ATL,35,47,5,,82,242.7,36.8,84.2,.437,5.4,15.2,.359,31.3,69.1,.454,18.7,24.5,.760,13.1,29.5,42.6,21.6,9.0,5.0,13.0,20.3,97.6
2001-02,NBA,ATL,33,49,6,,82,241.2,37.4,81.4,.459,5.8,16.2,.355,31.6,65.2,.485,17.8,23.9,.744,12.2,30.8,43.0,22.6,8.6,6.2,15.1,20.1,98.3
2000-01,NBA,ATL,25,57,7,,82,240.6,35.6,80.6,.442,4.8,13.2,.367,30.8,67.4,.457,20.1,26.3,.765,12.5,30.9,43.5,21.2,8.5,6.3,14.8,20.7,96.2
1999-00,NBA,ATL,28,54,7,,82,241.8,39.2,86.1,.455,4.5,12.4,.367,34.6,73.7,.469,16.8,21.9,.769,12.8,30.2,43.0,23.0,8.0,4.9,12.2,22.3,99.7
1998-99,NBA,ATL,31,19,2,,50,241.5,32.0,77.5,.413,3.8,12.7,.300,28.2,64.8,.435,15.7,21.5,.729,11.6,27.4,39.0,17.9,7.6,4.9,13.5,24.0,83.4
1997-98,NBA,ATL,50,32,4,,82,242.4,36.1,81.7,.442,4.2,12.4,.342,31.9,69.3,.460,15.9,21.6,.735,13.2,26.2,39.4,21.4,7.5,4.5,13.6,23.1,92.3
1996-97,NBA,ATL,56,26,2,,82,241.5,34.2,78.7,.435,5.9,17.1,.347,28.3,61.6,.459,15.1,20.4,.737,12.7,27.1,39.9,20.3,7.4,4.0,15.5,21.3,89.4
1995-96,NBA,ATL,46,36,4,,82,240.6,37.1,78.3,.474,5.8,16.2,.360,31.3,62.1,.504,17.0,22.7,.746,12.9,28.0,40.8,22.5,7.1,4.1,17.1,22.0,97.1
1994-95,NBA,ATL,42,40,5,,82,242.1,36.6,79.1,.463,5.1,14.8,.347,31.5,64.3,.489,17.0,23.4,.726,12.8,29.2,42.0,21.1,7.4,3.9,16.6,22.1,95.3
1993-94,NBA,ATL,57,25,1,,82,240.9,38.6,84.8,.455,3.4,10.6,.315,35.2,74.2,.475,15.7,21.1,.742,14.1,28.8,42.9,23.1,7.8,4.1,17.9,21.0,96.2
1992-93,NBA,ATL,43,39,4,,82,241.8,42.8,86.3,.496,3.4,10.2,.337,39.4,76.1,.517,19.3,25.5,.758,13.2,29.4,42.6,26.7,9.0,4.4,16.6,22.9,108.4
1991-92,NBA,ATL,38,44,5,,82,242.7,43.0,89.5,.480,3.1,8.9,.343,39.9,80.6,.495,18.7,24.5,.766,14.1,31.0,45.2,26.4,8.7,4.8,15.3,21.1,107.7
1990-91,NBA,ATL,43,39,4,,82,240.9,43.5,88.0,.494,2.6,7.6,.349,40.9,80.5,.508,19.4,25.2,.767,13.2,30.5,43.6,28.3,8.4,4.4,15.7,24.8,109.0
1989-90,NBA,ATL,41,41,6,,82,240.6,41.9,84.6,.496,2.2,6.5,.340,39.7,78.1,.509,21.5,27.8,.772,14.0,27.3,41.3,26.1,8.2,4.7,15.8,23.9,107.5
1988-89,NBA,ATL,52,30,3,,82,241.5,41.0,86.9,.472,1.8,6.2,.288,39.2,80.6,.486,22.3,28.4,.784,15.4,28.4,43.7,24.8,8.4,4.2,18.1,25.7,106.1
1987-88,NBA,ATL,50,32,3,,82,241.2,39.5,84.0,.471,1.7,5.0,.335,37.9,79.0,.480,23.5,30.2,.777,14.1,28.7,42.8,24.1,7.8,4.3,16.1,24.5,104.3
1986-87,NBA,ATL,57,25,1,,82,240.6,38.5,85.3,.451,1.6,5.2,.300,37.0,80.1,.461,24.2,31.7,.765,14.6,27.8,42.4,23.4,7.5,4.7,16.0,24.8,102.8
1985-86,NBA,ATL,50,32,2,,82,241.5,41.0,86.3,.475,1.1,3.5,.307,39.9,82.8,.482,23.2,30.6,.760,14.7,28.4,43.1,23.7,8.5,4.5,18.2,26.0,106.2
1984-85,NBA,ATL,34,48,5,,82,242.1,42.7,88.6,.482,0.6,2.6,.217,42.2,86.0,.490,22.0,29.1,.758,16.2,29.4,45.6,25.5,8.2,4.5,18.1,24.0,108.1
1983-84,NBA,ATL,40,42,3,,82,242.1,40.0,83.5,.479,0.5,2.3,.211,39.5,81.2,.486,22.4,29.0,.771,14.5,29.4,43.9,24.7,7.1,5.2,17.2,25.5,102.8
1982-83,NBA,ATL,43,39,2,,82,241.2,41.3,87.8,.470,0.5,2.0,.235,40.8,85.8,.475,19.6,27.3,.719,15.9,31.4,47.2,23.5,8.0,4.7,17.9,24.2,102.6
1981-82,NBA,ATL,42,40,2,,82,242.4,38.4,81.8,.470,0.6,2.3,.247,37.9,79.5,.476,23.1,30.3,.762,13.8,29.1,43.0,22.8,7.0,5.3,17.6,26.6,100.5
1980-81,NBA,ATL,31,51,4,,82,243.0,41.5,83.7,.495,0.4,1.9,.211,41.1,81.9,.502,24.7,32.2,.766,14.7,28.3,43.0,23.6,9.1,6.8,20.5,26.9,108.0
1979-80,NBA,ATL,50,32,1,,82,241.2,38.3,83.8,.458,0.6,2.2,.251,37.8,81.6,.463,24.4,31.9,.765,15.4,28.5,43.9,21.4,8.3,6.8,20.2,26.5,101.6
1978-79,NBA,ATL,46,36,3,,82,242.1,41.1,84.0,.489,,,,41.1,84.0,.489,24.9,33.3,.750,14.3,29.8,44.1,23.5,7.9,6.8,21.9,26.0,107.1
1977-78,NBA,ATL,41,41,4,,82,241.8,38.6,81.4,.474,,,,38.6,81.4,.474,26.7,35.7,.748,14.1,31.8,45.9,21.6,9.1,5.9,24.1,25.9,103.9
1976-77,NBA,ATL,31,51,6,,82,240.3,41.6,87.0,.478,,,,41.6,87.0,.478,23.3,30.8,.755,13.7,30.9,44.6,24.6,9.8,5.4,20.6,26.5,106.4
1975-76,NBA,ATL,29,53,5,,82,241.5,43.0,89.7,.480,,,,43.0,89.7,.480,19.4,25.6,.757,14.5,33.3,47.7,21.7,9.5,5.2,20.3,26.5,105.5
1974-75,NBA,ATL,31,51,4,,82,241.5,43.5,91.5,.475,,,,43.5,91.5,.475,19.6,25.6,.765,14.3,34.8,49.0,23.3,9.1,5.1,21.0,27.6,106.5
1973-74,NBA,ATL,35,47,2,,82,240.9,43.6,93.0,.468,,,,43.6,93.0,.468,22.9,29.1,.787,13.9,33.6,47.5,24.7,10.0,4.7,22.5,26.0,110.0
1972-73,NBA,ATL,46,36,2,,82,241.8,45.8,99.4,.461,,,,45.8,99.4,.461,20.7,26.7,.773,,,50.6,24.6,,,,25.7,112.3
1971-72,NBA,ATL,36,46,2,,82,240.6,43.9,94.4,.465,,,,43.9,94.4,.465,23.5,30.9,.761,,,48.8,23.0,,,,24.3,111.3
1970-71,NBA,ATL,36,46,2,,82,240.9,46.4,104.0,.446,,,,46.4,104.0,.446,23.1,30.7,.753,,,52.2,24.3,,,,25.3,115.8
1969-70,NBA,ATL,48,34,1,,82,241.2,,,,,,,,,,,,,,,,,,,,,117.2
1968-69,NBA,ATL,48,34,2,,82,240.6,,,,,,,,,,,,,,,,,,,,,109.0
1967-68,NBA,STL,56,26,1,,82,242.4,,,,,,,,,,,,,,,,,,,,,110.3
1966-67,NBA,STL,39,42,2,,81,241.2,,,,,,,,,,,,,,,,,,,,,115.2
1965-66,NBA,STL,36,44,3,,80,240.0,,,,,,,,,,,,,,,,,,,,,112.0
1964-65,NBA,STL,45,35,2,,80,240.3,,,,,,,,,,,,,,,,,,,,,105.8
1963-64,NBA,STL,46,34,2,,80,,,,,,,,,,,,,,,,,,,,,,108.4
1962-63,NBA,STL,48,32,2,,80,,,,,,,,,,,,,,,,,,,,,,107.8
1961-62,NBA,STL,29,51,4,,80,,,,,,,,,,,,,,,,,,,,,,122.1
1960-61,NBA,STL,51,28,1,,79,,,,,,,,,,,,,,,,,,,,,,115.2
1959-60,NBA,STL,46,29,1,,75,,,,,,,,,,,,,,,,,,,,,,110.7
1958-59,NBA,STL,49,23,1,,72,,,,,,,,,,,,,,,,,,,,,,105.1
1957-58,NBA,STL,41,31,1,,72,,,,,,,,,,,,,,,,,,,,,,106.2
1956-57,NBA,STL,34,38,1,,72,,,,,,,,,,,,,,,,,,,,,,98.6
1955-56,NBA,STL,33,39,3,,72,,,,,,,,,,,,,,,,,,,,,,98.0
1954-55,NBA,MLH,26,46,4,,72,,,,,,,,,,,,,,,,,,,,,,90.4
1953-54,NBA,MLH,21,51,4,,72,,,,,,,,,,,,,,,,,,,,,,75.3
1952-53,NBA,MLH,27,44,5,,71,,,,,,,,,,,,,,,,,,,,,,77.4
1951-52,NBA,MLH,17,49,5,,66,,,,,,,,,,,,,,,,,,,,,,81.2
1950-51,NBA,TRI,25,43,5,,68,,,,,,,,,,,,,,,,,,,,,,88.1
1949-50,NBA,TRI,29,35,3,,64,,,,,,,,,,,,,,,,,,,,,,83.6
