Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,ATL,41,31,1,,25.4,6-6,214,,72,241.7,40.8,87.2,.468,12.4,33.4,.373,28.4,53.9,.526,19.7,24.2,.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7
2019-20,NBA,ATL,20,47,5,,24.1,6-6,216,,67,243.0,40.6,90.6,.449,12.0,36.1,.333,28.6,54.5,.525,18.5,23.4,.790,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8
2018-19,NBA,ATL,29,53,5,,25.1,6-7,215,,82,242.1,41.4,91.8,.451,13.0,37.0,.352,28.4,54.8,.518,17.6,23.4,.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3
2017-18,NBA,ATL,24,58,5,,25.4,6-6,212,,82,240.3,38.2,85.5,.446,11.2,31.0,.360,27.0,54.5,.495,15.8,20.2,.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4
2016-17,NBA,ATL,43,39,2,,27.9,6-6,219,,82,242.4,38.1,84.4,.451,8.9,26.1,.341,29.2,58.3,.501,18.1,24.9,.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2
2015-16,NBA,ATL,48,34,2,,28.2,6-6,217,,82,241.8,38.6,84.4,.458,9.9,28.4,.350,28.7,56.1,.512,15.6,20.0,.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8
2014-15,NBA,ATL,60,22,1,,27.8,6-6,218,,82,240.6,38.1,81.7,.466,10.0,26.2,.380,28.1,55.5,.506,16.5,21.2,.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5
2013-14,NBA,ATL,38,44,4,,27.6,6-6,220,,82,241.8,37.3,81.6,.458,9.4,25.8,.363,28.0,55.8,.502,17.0,21.7,.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0
2012-13,NBA,ATL,44,38,2,,27.1,6-6,215,,82,242.1,37.6,81.0,.464,8.6,23.2,.371,29.0,57.8,.501,14.1,19.7,.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0
2011-12,NBA,ATL,40,26,2,,27.9,6-7,215,,66,244.9,36.8,81.0,.454,7.5,20.2,.370,29.3,60.9,.482,15.5,21.0,.740,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6
2010-11,NBA,ATL,44,38,3,,27.4,6-7,219,,82,240.6,36.2,78.4,.462,6.1,17.4,.352,30.1,61.0,.494,16.4,21.1,.779,9.3,30.0,39.3,22.0,6.1,4.2,13.6,19.0,95.0
