Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,BOS,36,36,4,,72,241.4,39.9,86.0,.464,12.8,34.3,.374,27.1,51.6,.524,18.5,23.5,.785,9.4,33.1,42.5,24.1,7.4,4.6,14.1,19.3,111.2
2019-20,NBA,BOS,48,24,2,,72,242.1,38.4,87.1,.441,11.8,34.8,.340,26.6,52.3,.508,18.8,24.5,.767,10.3,34.0,44.3,22.4,7.1,5.5,15.2,20.7,107.3
2018-19,NBA,BOS,49,33,3,,82,241.2,39.5,88.1,.448,11.5,33.5,.344,28.0,54.6,.513,17.4,22.8,.764,10.4,35.5,45.9,23.7,6.8,3.9,15.1,19.5,108.0
2017-18,NBA,BOS,55,27,2,,82,241.5,37.4,85.0,.440,9.4,27.7,.339,28.0,57.4,.488,16.3,21.3,.763,9.6,34.2,43.8,21.3,7.2,4.4,14.1,19.2,100.4
2016-17,NBA,BOS,53,29,1,,82,240.9,38.6,85.8,.450,9.0,27.0,.332,29.7,58.8,.505,19.1,24.9,.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
2015-16,NBA,BOS,48,34,2,,82,241.2,37.5,85.0,.441,7.8,23.3,.336,29.7,61.7,.481,19.7,26.0,.755,11.4,34.6,46.0,20.9,7.6,5.5,16.4,21.0,102.5
2014-15,NBA,BOS,40,42,2,,82,242.4,38.1,84.7,.450,7.4,22.0,.336,30.7,62.7,.490,17.6,23.3,.755,10.9,33.8,44.7,21.9,7.1,5.3,15.1,18.8,101.2
2013-14,NBA,BOS,25,57,4,,82,240.6,37.8,81.4,.465,6.6,18.9,.347,31.2,62.5,.500,18.5,24.3,.761,10.6,31.7,42.3,22.1,7.4,4.5,14.2,19.1,100.7
2012-13,NBA,BOS,41,40,3,,81,244.9,36.1,82.0,.441,6.8,19.9,.342,29.3,62.1,.472,17.7,23.9,.740,11.4,32.1,43.6,21.6,7.8,4.7,15.3,19.4,96.7
2011-12,NBA,BOS,39,27,1,,66,241.5,33.4,79.7,.419,5.2,16.9,.308,28.2,62.8,.449,17.2,22.7,.760,11.8,31.4,43.2,18.7,7.8,4.6,15.7,18.4,89.3
2010-11,NBA,BOS,56,26,1,,82,241.2,33.8,77.7,.434,5.4,15.9,.340,28.4,61.8,.459,18.2,24.1,.756,10.5,29.1,39.6,18.7,7.0,4.4,15.4,20.2,91.1
2009-10,NBA,BOS,50,32,1,,82,241.2,35.1,77.9,.451,5.7,16.8,.342,29.4,61.2,.481,19.6,26.2,.746,10.6,29.5,40.1,19.3,7.0,4.7,15.6,21.7,95.6
2008-09,NBA,BOS,62,20,1,,82,242.4,33.7,78.3,.431,6.2,17.7,.349,27.5,60.6,.454,19.8,25.7,.771,10.2,27.4,37.6,18.9,7.1,4.7,14.6,22.2,93.4
