Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,BRK,48,24,2,,72,241.7,41.9,91.3,.459,13.2,36.2,.365,28.7,55.1,.521,17.1,22.0,.775,10.5,32.6,43.1,24.0,7.6,4.6,12.6,18.9,114.1
2019-20,NBA,BRK,35,37,4,,72,242.8,41.4,92.9,.446,12.2,34.8,.350,29.2,58.1,.503,17.4,22.6,.769,10.6,35.3,45.9,22.6,7.7,5.3,12.8,21.1,112.3
2018-19,NBA,BRK,42,40,4,,82,243.7,42.2,92.5,.456,10.3,30.3,.341,31.9,62.1,.513,17.6,22.8,.770,11.0,35.2,46.2,23.7,7.8,5.3,13.5,22.0,112.3
2017-18,NBA,BRK,28,54,5,,82,242.1,41.7,89.4,.466,9.0,24.5,.369,32.6,64.9,.503,17.9,23.4,.766,10.4,36.4,46.8,21.7,7.7,5.5,12.4,19.7,110.3
2016-17,NBA,BRK,20,62,5,,82,240.9,41.6,90.8,.458,10.0,27.2,.366,31.7,63.6,.498,19.3,25.0,.772,11.0,36.2,47.2,23.0,9.5,5.6,13.3,20.4,112.5
2015-16,NBA,BRK,21,61,4,,82,240.9,40.8,85.2,.479,9.5,25.6,.369,31.3,59.6,.526,15.0,19.6,.763,10.2,33.2,43.4,24.5,8.8,5.2,14.2,18.4,106.0
2014-15,NBA,BRK,38,44,3,,82,243.0,38.4,84.3,.456,8.5,23.7,.358,29.9,60.6,.494,15.6,21.3,.731,11.4,32.9,44.3,23.7,7.8,4.5,13.9,20.0,100.9
2013-14,NBA,BRK,44,38,2,,82,242.4,36.3,79.4,.458,8.1,22.0,.367,28.3,57.4,.492,18.8,24.7,.760,11.2,31.6,42.9,21.0,7.4,4.1,15.8,20.8,99.5
2012-13,NBA,BRK,49,33,2,,82,242.1,37.4,80.7,.464,6.3,17.3,.366,31.1,63.4,.490,14.0,19.2,.731,10.7,28.5,39.2,21.4,7.5,4.8,13.4,21.4,95.1
2011-12,NBA,NJN,22,44,5,,66,240.8,37.9,80.2,.472,6.5,17.4,.374,31.4,62.8,.500,16.8,22.6,.740,11.8,30.8,42.6,23.3,8.0,5.0,14.3,19.3,99.1
2010-11,NBA,NJN,24,58,4,,82,244.0,37.4,80.5,.465,6.2,17.0,.364,31.2,63.5,.492,19.4,25.8,.751,10.4,31.4,41.8,22.2,6.8,4.6,12.3,20.0,100.4
2009-10,NBA,NJN,12,70,5,,82,241.2,38.7,80.4,.481,5.7,15.6,.366,33.0,64.8,.509,18.4,24.6,.748,11.3,32.7,44.0,23.9,7.8,5.1,14.0,20.1,101.5
2008-09,NBA,NJN,34,48,3,,82,241.8,36.0,77.9,.462,7.3,18.7,.391,28.7,59.1,.485,21.2,27.8,.762,10.6,30.8,41.4,21.9,6.9,4.8,13.5,20.5,100.5
2007-08,NBA,NJN,34,48,4,,82,241.8,36.4,79.8,.456,6.5,17.7,.369,29.9,62.1,.480,21.6,28.2,.768,10.9,30.7,41.6,22.1,8.1,4.4,13.4,22.4,100.9
2006-07,NBA,NJN,41,41,2,,82,242.4,35.5,79.0,.450,6.3,17.7,.357,29.2,61.2,.476,21.0,27.6,.762,10.6,30.8,41.4,22.0,7.1,4.5,14.5,23.0,98.3
2005-06,NBA,NJN,49,33,1,,82,241.2,33.3,75.9,.439,5.7,16.3,.348,27.6,59.6,.464,20.2,27.2,.741,9.6,31.7,41.3,20.0,7.2,4.0,14.4,23.0,92.4
2004-05,NBA,NJN,42,40,3,,82,242.7,33.0,75.2,.439,5.9,16.1,.368,27.1,59.1,.459,20.9,28.1,.744,10.7,30.5,41.2,20.3,7.3,4.9,15.6,22.9,92.9
2003-04,NBA,NJN,47,35,1,,82,240.3,32.8,76.9,.427,5.1,14.5,.350,27.7,62.3,.445,17.0,22.3,.761,10.6,30.1,40.8,19.8,8.0,4.6,16.1,21.2,87.8
2002-03,NBA,NJN,49,33,1,,82,240.9,33.6,78.8,.427,5.2,14.5,.359,28.4,64.3,.442,17.7,23.7,.749,11.4,30.0,41.4,19.6,8.5,5.2,16.6,22.9,90.1
2001-02,NBA,NJN,52,30,1,,82,241.8,34.9,81.3,.429,5.0,14.3,.348,29.9,67.0,.446,17.4,23.0,.753,12.2,30.7,42.9,19.1,8.2,5.4,16.1,20.3,92.0
2000-01,NBA,NJN,26,56,6,,82,240.6,35.8,78.7,.455,5.2,14.5,.360,30.6,64.2,.477,20.3,27.2,.746,12.2,32.0,44.2,22.4,7.5,6.4,15.9,22.0,97.1
1999-00,NBA,NJN,31,51,6,,82,241.8,38.1,82.2,.464,4.5,12.4,.363,33.6,69.9,.481,18.3,24.5,.747,13.8,32.4,46.2,22.8,6.9,5.7,16.7,22.8,99.0
1998-99,NBA,NJN,16,34,7,,50,241.0,35.9,79.4,.453,4.5,13.1,.341,31.5,66.3,.475,18.9,26.0,.727,12.5,31.6,44.1,19.4,7.9,6.5,16.3,21.7,95.2
1997-98,NBA,NJN,43,39,3,,82,242.4,36.8,78.1,.471,4.3,12.6,.346,32.4,65.6,.495,20.2,27.0,.748,13.2,28.2,41.4,21.6,7.5,6.3,18.1,24.7,98.1
1996-97,NBA,NJN,26,56,5,,82,241.2,37.8,81.5,.464,6.3,17.0,.372,31.5,64.5,.488,19.9,26.6,.745,13.0,30.0,43.0,23.5,8.2,6.3,15.3,21.7,101.8
1995-96,NBA,NJN,30,52,6,,82,242.7,36.7,80.8,.454,6.6,17.3,.384,30.0,63.5,.473,18.0,24.3,.740,12.5,28.7,41.3,22.9,8.1,6.3,15.5,23.5,97.9
1994-95,NBA,NJN,30,52,5,,82,242.4,38.8,84.2,.461,5.4,14.3,.374,33.4,69.9,.479,18.2,25.3,.721,12.9,29.7,42.6,22.3,8.9,5.4,13.5,23.3,101.2
1993-94,NBA,NJN,45,37,3,,82,241.8,39.8,86.9,.458,2.9,9.0,.318,37.0,77.9,.475,18.5,24.9,.743,13.9,30.8,44.8,23.4,8.7,7.1,15.2,23.2,101.0
1992-93,NBA,NJN,43,39,3,,82,241.2,39.4,84.7,.465,2.5,7.5,.325,37.0,77.2,.479,20.3,27.4,.741,13.4,28.6,42.0,21.8,9.5,5.1,15.9,22.9,101.6
1991-92,NBA,NJN,40,42,3,,82,241.2,41.7,87.5,.477,2.0,6.2,.317,39.8,81.3,.489,21.6,28.3,.766,14.8,28.7,43.5,21.8,9.8,5.9,16.4,21.0,107.1
1990-91,NBA,NJN,26,56,5,,82,241.8,41.1,87.9,.468,1.7,5.4,.308,39.5,82.5,.479,23.5,30.4,.773,15.7,30.8,46.5,21.2,10.1,6.6,17.7,23.1,107.5
1989-90,NBA,NJN,17,65,6,,82,240.3,41.5,85.6,.485,1.7,5.1,.336,39.8,80.5,.494,23.2,30.4,.765,14.0,31.6,45.5,22.8,9.4,5.8,17.3,23.0,108.0
1988-89,NBA,NJN,26,56,5,,82,241.5,43.4,87.3,.497,1.9,6.2,.309,41.5,81.1,.512,21.3,27.9,.765,12.6,30.2,42.8,26.0,9.1,5.9,16.8,22.4,110.1
1987-88,NBA,NJN,19,63,5,,82,241.2,41.9,84.4,.497,1.6,4.4,.361,40.3,79.9,.504,23.1,29.5,.783,12.6,30.0,42.6,24.3,9.9,6.4,17.5,23.7,108.5
1986-87,NBA,NJN,24,58,4,,82,242.1,41.7,86.9,.480,1.4,4.5,.322,40.2,82.4,.488,28.7,36.8,.780,13.8,28.7,42.5,23.9,9.9,6.9,16.5,25.9,113.5
1985-86,NBA,NJN,39,43,4,,82,241.5,42.7,86.9,.492,1.2,3.9,.304,41.6,83.0,.501,24.5,32.0,.766,12.6,28.9,41.5,24.6,9.5,4.8,18.6,24.4,111.1
1984-85,NBA,NJN,42,40,3,,82,240.9,42.9,85.9,.499,1.0,3.2,.302,41.9,82.7,.507,22.5,29.9,.753,13.2,29.3,42.5,24.1,8.3,4.3,18.2,23.6,109.2
1983-84,NBA,NJN,45,37,4,,82,241.5,41.7,85.0,.491,0.6,2.2,.265,41.1,82.8,.497,24.8,32.6,.761,13.4,28.1,41.5,23.3,9.5,5.1,20.4,26.4,108.9
1982-83,NBA,NJN,49,33,3,,82,240.3,40.6,84.9,.478,0.5,2.5,.216,40.0,82.4,.486,21.3,28.9,.737,13.4,26.5,40.0,24.1,10.5,6.0,22.8,26.0,103.0
1981-82,NBA,NJN,44,38,3,,82,241.2,40.8,84.6,.482,0.7,2.3,.310,40.1,82.3,.487,23.7,31.7,.749,13.9,28.6,42.5,23.5,10.1,6.6,22.1,26.4,106.0
1980-81,NBA,NJN,24,58,5,,82,241.5,44.0,87.3,.505,0.3,1.6,.215,43.7,85.7,.510,24.5,32.5,.755,12.9,30.5,43.4,26.1,9.9,6.1,20.0,25.5,113.0
1979-80,NBA,NJN,34,48,5,,82,241.5,42.4,90.6,.469,0.7,2.5,.279,41.7,88.0,.474,23.9,31.4,.761,15.7,31.7,47.3,26.7,10.4,6.3,20.6,24.9,109.5
1978-79,NBA,NJN,37,45,3,,82,240.9,42.8,89.1,.480,,,,42.8,89.1,.480,26.3,34.9,.755,15.0,32.5,47.6,26.6,10.5,6.0,23.4,26.9,111.9
1977-78,NBA,NJN,24,58,5,,82,242.7,43.2,92.9,.465,,,,43.2,92.9,.465,26.0,34.5,.754,16.0,36.5,52.5,25.3,10.4,6.8,22.7,24.4,112.5
1976-77,NBA,NYN,22,60,5,,82,240.6,40.0,86.3,.464,,,,40.0,86.3,.464,22.7,30.3,.749,14.0,35.8,49.8,23.3,9.5,6.2,21.2,24.0,102.7
1975-76,ABA,NYA,55,29,2,,84,242.7,42.3,93.3,.453,1.3,4.3,.298,41.0,89.0,.461,23.0,29.9,.767,17.1,34.0,51.0,23.6,9.8,6.3,20.4,24.2,108.8
1974-75,ABA,NYA,58,26,2,,84,242.7,41.7,92.0,.453,1.6,5.0,.314,40.1,87.0,.461,18.5,24.1,.767,15.8,32.5,48.3,21.6,8.5,4.6,20.3,21.3,103.4
1973-74,ABA,NYA,55,29,1,,84,241.5,41.4,93.0,.445,1.3,4.6,.284,40.1,88.4,.454,20.0,26.9,.742,16.9,32.1,49.0,22.1,8.8,3.9,20.3,21.9,104.0
1972-73,ABA,NYA,30,54,4,,84,240.6,42.2,90.6,.466,1.1,3.7,.304,41.1,86.9,.473,24.5,32.6,.751,17.0,32.0,48.9,22.5,,,18.2,24.3,110.1
1971-72,ABA,NYA,44,40,3,,84,243.3,43.0,94.0,.458,2.0,6.0,.343,41.0,88.0,.466,24.3,31.9,.761,17.3,33.4,50.8,19.0,,,19.5,24.6,112.4
