Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,BRK,48,24,2,,28.2,6-6,219,,72,241.7,43.1,87.3,.494,14.2,36.1,.392,29.0,51.2,.565,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6
2019-20,NBA,BRK,35,37,4,,26.3,6-6,220,,72,242.8,40.4,90.3,.448,13.1,38.1,.343,27.3,52.1,.524,17.9,24.1,.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8
2018-19,NBA,BRK,42,40,4,,25.4,6-7,215,,82,243.7,40.3,89.7,.449,12.8,36.2,.353,27.5,53.6,.513,19.0,25.5,.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2
2017-18,NBA,BRK,28,54,5,,25.1,6-7,218,,82,242.1,38.2,86.8,.441,12.7,35.7,.356,25.5,51.1,.500,17.4,22.6,.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6
2016-17,NBA,BRK,20,62,5,,26.0,6-7,224,,82,240.9,37.8,85.2,.444,10.7,31.6,.338,27.1,53.6,.506,19.4,24.6,.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8
2015-16,NBA,BRK,21,61,4,,26.9,6-6,220,,82,240.9,38.2,84.4,.453,6.5,18.4,.352,31.8,66.0,.481,15.7,20.7,.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6
2014-15,NBA,BRK,38,44,3,,28.6,6-7,224,,82,243.0,37.4,83.0,.451,6.6,19.9,.331,30.8,63.1,.489,16.6,22.2,.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0
2013-14,NBA,BRK,44,38,2,,30.0,6-7,219,,82,242.4,35.7,77.9,.459,8.6,23.4,.369,27.1,54.5,.497,18.4,24.4,.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5
2012-13,NBA,BRK,49,33,2,,28.6,6-7,223,,82,242.1,35.9,79.8,.450,7.7,21.5,.357,28.2,58.3,.484,17.5,23.9,.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9
2011-12,NBA,NJN,22,44,5,,26.1,6-6,219,,66,240.8,34.3,80.6,.425,7.7,22.4,.342,26.6,58.2,.457,16.9,21.7,.777,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,93.1
2010-11,NBA,NJN,24,58,4,,24.8,6-7,218,,82,244.0,35.6,81.0,.440,5.6,16.3,.343,30.0,64.6,.464,17.4,22.9,.759,11.1,29.8,40.8,21.0,5.6,4.7,14.0,22.0,94.2
2009-10,NBA,NJN,12,70,5,,24.8,6-7,217,,82,241.2,34.3,79.9,.429,4.6,14.5,.318,29.7,65.5,.454,19.2,24.6,.780,10.9,28.8,39.7,18.8,7.0,4.8,14.4,20.0,92.4
2008-09,NBA,NJN,34,48,3,,25.7,6-7,219,,82,241.8,35.7,79.7,.448,8.0,21.2,.376,27.7,58.5,.473,18.8,24.1,.779,10.4,29.5,39.8,20.0,6.8,4.8,13.1,22.4,98.1
2007-08,NBA,NJN,34,48,4,,27.4,6-7,222,,82,241.8,34.8,78.7,.443,6.1,17.4,.348,28.8,61.2,.470,20.1,27.3,.736,11.1,30.7,41.9,23.5,6.4,4.8,15.0,22.6,95.8
2006-07,NBA,NJN,41,41,2,,28.2,6-7,219,,82,242.4,35.5,77.8,.457,7.4,20.4,.363,28.1,57.4,.490,19.1,26.3,.727,10.0,30.8,40.8,23.9,6.1,3.3,14.8,22.8,97.6
2005-06,NBA,NJN,49,33,1,,28.6,6-7,222,,82,241.2,33.9,77.0,.440,5.8,17.6,.330,28.1,59.4,.472,20.2,26.7,.758,10.0,31.0,41.0,23.0,6.8,3.4,13.6,23.2,93.8
2004-05,NBA,NJN,42,40,3,,27.8,6-6,219,,82,242.7,33.6,78.3,.429,5.3,14.7,.362,28.3,63.6,.444,19.0,24.9,.763,10.4,29.1,39.5,21.6,7.9,3.8,14.2,24.2,91.4
2003-04,NBA,NJN,47,35,1,,27.7,6-7,216,,82,240.3,34.3,77.7,.441,4.6,13.7,.336,29.7,64.0,.464,17.0,22.6,.753,10.5,30.2,40.7,24.5,8.6,3.9,14.7,21.0,90.3
2002-03,NBA,NJN,49,33,1,,27.3,6-7,217,,82,240.9,35.4,80.3,.441,4.2,12.7,.332,31.2,67.6,.462,20.3,26.8,.757,12.1,30.8,42.9,23.0,8.7,4.6,14.8,21.6,95.4
2001-02,NBA,NJN,52,30,1,,26.1,6-7,218,,82,241.8,37.1,83.1,.446,4.9,14.6,.338,32.2,68.6,.469,17.1,23.3,.735,12.7,30.7,43.3,24.3,8.7,6.0,14.5,21.1,96.2
2000-01,NBA,NJN,26,56,6,,27.5,6-6,209,,82,240.6,33.9,79.9,.425,4.4,13.2,.333,29.5,66.7,.443,19.9,26.2,.759,11.1,28.5,39.6,19.5,7.9,5.0,14.7,24.2,92.1
1999-00,NBA,NJN,31,51,6,,27.3,6-6,206,,82,241.8,36.3,83.9,.433,5.8,16.8,.347,30.5,67.2,.454,19.5,24.9,.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98.0
1998-99,NBA,NJN,16,34,7,,26.0,6-6,207,,50,241.0,33.8,83.2,.406,4.5,13.6,.331,29.3,69.6,.421,19.2,25.0,.769,14.3,28.7,43.0,18.5,9.8,5.5,15.0,22.7,91.4
1997-98,NBA,NJN,43,39,3,,27.8,6-6,204,,82,242.4,37.3,84.5,.441,3.8,11.4,.331,33.5,73.1,.458,21.3,28.7,.744,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6
1996-97,NBA,NJN,26,56,5,,26.8,6-7,209,,82,241.2,36.5,86.5,.422,5.9,16.7,.353,30.6,69.8,.439,18.3,24.8,.740,17.2,29.0,46.2,21.0,8.3,5.9,15.7,22.7,97.2
1995-96,NBA,NJN,30,52,6,,27.4,6-8,215,,82,242.7,35.1,82.3,.427,3.0,9.1,.335,32.1,73.2,.438,20.4,27.4,.745,16.5,30.5,47.0,21.4,7.6,7.0,16.8,22.9,93.7
1994-95,NBA,NJN,30,52,5,,27.5,6-7,213,,82,242.4,35.8,82.2,.436,5.0,15.8,.319,30.8,66.4,.464,21.3,28.1,.759,14.8,31.3,46.1,23.0,6.6,6.7,15.9,22.5,98.1
1993-94,NBA,NJN,45,37,3,,26.6,6-6,211,,82,241.8,38.6,86.8,.445,2.7,8.3,.327,35.9,78.4,.458,23.2,30.4,.762,15.9,31.2,47.0,23.2,8.5,7.0,14.6,20.6,103.2
1992-93,NBA,NJN,43,39,3,,27.3,6-7,211,,82,241.2,39.9,86.4,.462,1.9,6.0,.318,38.0,80.4,.473,21.1,27.5,.767,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8
1991-92,NBA,NJN,40,42,3,,25.6,6-7,210,,82,241.2,42.4,92.4,.458,2.7,8.2,.334,39.6,84.3,.470,17.9,24.5,.732,18.4,29.2,47.6,23.6,9.0,7.5,17.0,22.4,105.4
1990-91,NBA,NJN,26,56,5,,26.2,6-7,210,,82,241.8,40.4,91.0,.444,2.0,7.1,.275,38.4,83.8,.458,20.2,27.4,.739,17.1,28.6,45.7,21.7,9.1,7.3,17.4,23.8,102.9
1989-90,NBA,NJN,17,65,6,,26.6,6-7,209,,82,240.3,38.5,90.4,.426,1.7,6.2,.277,36.8,84.3,.437,21.4,28.7,.746,16.6,28.3,45.0,18.0,9.4,5.9,16.6,23.8,100.1
