Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,CHO,33,39,4,,72,241.0,41.3,88.1,.468,14.5,39.5,.366,26.8,48.6,.552,14.4,19.3,.745,10.6,34.5,45.2,27.1,8.1,4.8,14.8,18.6,111.4
2019-20,NBA,CHO,23,42,3,,65,242.3,41.7,87.5,.476,12.4,35.1,.352,29.3,52.5,.558,14.0,18.4,.758,10.9,35.0,46.0,26.6,8.0,5.0,14.4,20.6,109.6
2018-19,NBA,CHO,39,43,2,,82,241.8,41.9,89.2,.470,12.1,33.5,.361,29.8,55.6,.536,15.9,20.2,.787,10.1,35.7,45.8,26.0,6.9,6.0,13.5,20.6,111.8
2017-18,NBA,CHO,36,46,3,,82,241.2,41.1,87.8,.468,11.3,30.1,.375,29.8,57.7,.516,14.5,18.2,.795,8.4,35.3,43.7,24.7,6.6,4.9,13.6,22.4,108.0
2016-17,NBA,CHO,36,46,4,,82,241.8,39.5,86.5,.456,11.6,31.4,.369,27.9,55.1,.506,14.2,18.2,.776,8.9,35.5,44.4,24.5,6.6,5.5,13.1,19.9,104.7
2015-16,NBA,CHO,48,34,3,,82,242.1,37.8,85.0,.444,8.9,25.4,.349,28.9,59.6,.485,16.3,21.2,.769,8.9,35.8,44.7,23.2,6.7,5.5,13.5,20.4,100.7
2014-15,NBA,CHO,33,49,4,,82,242.7,36.8,83.7,.440,7.9,22.1,.357,28.9,61.5,.470,15.8,20.4,.772,8.9,35.2,44.1,22.1,6.1,5.4,12.6,20.8,97.3
2013-14,NBA,CHA,43,39,3,,82,242.7,36.9,83.4,.442,8.1,22.0,.369,28.7,61.4,.468,15.3,20.1,.759,9.6,33.7,43.3,21.0,6.3,5.1,13.3,20.9,97.1
2012-13,NBA,CHA,21,61,4,,82,241.5,38.8,82.5,.471,8.7,22.5,.388,30.1,59.9,.502,16.2,21.8,.747,11.8,32.3,44.1,25.3,6.9,6.9,14.0,21.3,102.7
2011-12,NBA,CHA,7,59,5,,66,240.8,38.9,82.0,.475,6.2,17.3,.356,32.8,64.7,.506,16.9,22.5,.750,11.8,33.2,45.0,23.3,7.6,5.7,13.5,20.3,100.9
2010-11,NBA,CHA,34,48,4,,82,241.5,36.0,79.2,.455,7.0,19.6,.359,29.0,59.5,.487,18.2,23.3,.780,9.8,29.8,39.6,21.7,7.3,6.0,13.2,21.1,97.3
2009-10,NBA,CHA,44,38,4,,82,242.4,35.7,79.7,.448,7.0,20.7,.338,28.7,59.0,.486,15.5,20.9,.743,10.6,29.0,39.6,20.3,7.5,6.1,15.3,22.0,93.8
2008-09,NBA,CHA,35,47,4,,82,243.0,35.2,77.4,.454,6.8,18.6,.366,28.4,58.8,.482,17.8,23.5,.756,10.7,28.2,38.9,19.6,7.6,6.0,14.7,20.9,94.9
