Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,CHI,31,41,3,,72,241.4,41.4,87.7,.473,11.5,32.3,.356,29.9,55.3,.541,17.2,22.2,.774,8.7,33.5,42.1,24.1,8.5,5.1,12.7,17.7,111.6
2019-20,NBA,CHI,22,43,3,,65,241.2,39.5,82.5,.479,11.2,31.6,.353,28.3,50.9,.557,19.7,26.0,.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9
2018-19,NBA,CHI,22,60,4,,82,242.7,42.2,89.2,.473,12.1,33.0,.365,30.2,56.2,.537,16.8,22.0,.763,10.0,36.4,46.4,25.5,7.3,5.8,13.3,18.7,113.4
2017-18,NBA,CHI,27,55,5,,82,242.1,41.0,86.8,.472,12.1,32.7,.370,28.9,54.1,.534,15.9,20.2,.787,8.4,37.2,45.7,25.9,7.2,5.2,13.6,17.4,110.0
2016-17,NBA,CHI,41,41,4,,82,241.2,39.5,86.6,.456,8.9,25.9,.345,30.5,60.7,.503,14.6,19.0,.770,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4
2015-16,NBA,CHI,42,40,4,,82,242.7,39.4,89.4,.441,7.9,23.0,.345,31.5,66.4,.474,16.3,22.1,.737,11.8,34.1,45.9,22.5,8.0,5.7,11.9,18.7,103.1
2014-15,NBA,CHI,50,32,2,,82,242.4,37.7,86.7,.435,6.6,19.6,.335,31.2,67.1,.465,15.7,21.0,.749,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8
2013-14,NBA,CHI,48,34,2,,82,243.0,35.0,81.2,.430,6.6,18.7,.351,28.4,62.5,.454,15.3,20.3,.753,10.7,30.6,41.3,19.6,7.6,6.0,14.4,20.9,91.8
2012-13,NBA,CHI,45,37,2,,82,241.8,35.4,80.1,.443,5.5,16.0,.346,29.9,64.1,.467,16.5,22.3,.739,11.0,30.1,41.1,18.8,7.3,5.8,13.7,19.6,92.9
2011-12,NBA,CHI,50,16,1,,66,241.5,34.6,82.1,.421,4.6,14.2,.325,30.0,67.9,.442,14.3,19.4,.740,11.4,28.6,40.0,18.9,7.4,5.2,13.3,17.7,88.2
2010-11,NBA,CHI,62,20,1,,82,241.8,34.2,79.5,.430,5.2,16.0,.326,29.0,63.6,.456,17.7,23.1,.764,10.1,28.3,38.4,19.0,6.9,5.8,14.1,20.1,91.3
2009-10,NBA,CHI,41,41,3,,82,242.7,37.1,84.0,.442,7.1,20.5,.348,30.0,63.5,.472,17.8,23.9,.744,11.2,31.6,42.7,20.9,7.0,5.3,13.3,20.0,99.1
2008-09,NBA,CHI,41,41,2,,82,243.0,38.3,83.7,.458,5.9,17.1,.347,32.4,66.6,.486,19.9,25.3,.786,12.4,30.4,42.8,21.0,7.6,5.5,14.4,20.8,102.5
2007-08,NBA,CHI,33,49,4,,82,241.5,36.4,80.3,.453,7.0,18.6,.375,29.4,61.7,.476,20.7,27.0,.766,11.1,31.5,42.6,21.9,7.9,5.7,15.3,21.3,100.4
2006-07,NBA,CHI,49,33,3,,82,241.2,34.1,78.2,.435,5.9,16.9,.349,28.2,61.3,.459,19.7,27.1,.730,10.9,30.0,40.9,20.4,7.5,5.3,17.4,23.2,93.8
2005-06,NBA,CHI,41,41,4,,82,242.7,33.8,79.5,.426,6.1,17.4,.351,27.7,62.0,.447,23.4,30.1,.777,10.7,31.0,41.7,20.1,7.5,5.1,15.0,23.0,97.2
2004-05,NBA,CHI,47,35,2,,82,241.8,33.7,79.9,.422,5.1,15.2,.334,28.6,64.7,.443,20.9,28.1,.744,11.9,30.8,42.7,20.9,8.4,5.3,15.5,23.3,93.4
2003-04,NBA,CHI,23,59,8,,82,241.8,35.1,80.6,.436,5.4,15.1,.355,29.8,65.6,.454,20.4,27.3,.748,12.3,32.7,45.0,23.0,8.5,5.4,15.2,20.5,96.0
2002-03,NBA,CHI,30,52,6,,82,243.0,36.5,83.1,.439,5.3,16.3,.323,31.2,66.9,.467,21.9,29.2,.749,13.6,31.4,45.0,23.8,9.4,5.0,14.7,21.9,100.1
2001-02,NBA,CHI,21,61,8,,82,241.5,36.9,79.4,.465,5.1,14.4,.358,31.8,65.1,.488,19.0,25.5,.746,11.5,31.1,42.6,25.2,8.3,4.9,14.4,21.0,98.0
2000-01,NBA,CHI,15,67,8,,82,242.1,36.4,77.2,.472,4.2,11.9,.356,32.2,65.3,.493,19.6,26.9,.730,11.7,31.1,42.8,23.6,7.7,5.2,14.8,21.4,96.7
1999-00,NBA,CHI,17,65,8,,82,241.5,35.6,78.0,.456,4.4,12.8,.341,31.2,65.2,.478,18.7,25.2,.741,12.2,29.5,41.7,23.2,10.4,5.6,15.2,24.0,94.2
1998-99,NBA,CHI,13,37,8,,50,241.5,34.5,75.7,.455,4.2,12.2,.340,30.3,63.5,.477,18.3,24.9,.733,11.0,31.4,42.4,22.0,8.9,5.7,15.6,21.5,91.4
1997-98,NBA,CHI,62,20,1,,82,242.1,34.1,79.1,.431,4.0,12.5,.322,30.1,66.6,.452,17.4,23.9,.729,12.4,27.3,39.7,19.5,8.0,4.3,15.5,21.6,89.6
1996-97,NBA,CHI,69,13,1,,82,240.6,35.3,81.1,.436,5.7,17.2,.335,29.6,64.0,.463,15.9,21.6,.737,13.3,26.9,40.2,19.7,7.6,3.5,15.8,21.1,92.3
1995-96,NBA,CHI,72,10,1,,82,240.6,35.1,78.4,.448,5.3,15.2,.350,29.8,63.2,.472,17.4,24.2,.717,12.0,26.0,38.0,19.4,7.3,3.8,17.1,22.6,92.9
1994-95,NBA,CHI,47,35,3,,82,241.8,35.6,78.0,.457,4.9,14.0,.349,30.8,64.0,.480,20.5,27.8,.738,13.0,27.5,40.5,20.9,8.4,4.5,18.1,23.1,96.7
1993-94,NBA,CHI,55,27,2,,82,241.2,36.9,79.8,.463,3.1,9.5,.323,33.9,70.3,.482,17.9,24.2,.740,12.0,27.3,39.3,22.4,8.9,4.6,16.3,21.0,94.9
1992-93,NBA,CHI,57,25,1,,82,241.8,38.3,80.8,.474,3.0,8.4,.361,35.3,72.4,.487,19.3,24.8,.779,12.7,27.6,40.3,23.4,7.3,4.4,16.7,21.1,98.9
