Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,CHI,31,41,3,,25.6,6-7,218,,72,241.4,42.2,88.6,.476,12.6,34.0,.370,29.6,54.6,.542,13.8,17.5,.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7
2019-20,NBA,CHI,22,43,3,,24.4,6-7,219,,65,241.2,39.6,88.6,.447,12.2,35.1,.348,27.4,53.5,.511,15.5,20.5,.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8
2018-19,NBA,CHI,22,60,4,,24.0,6-6,218,,82,242.7,39.8,87.9,.453,9.1,25.9,.351,30.7,62.0,.496,16.2,20.7,.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9
2017-18,NBA,CHI,27,55,5,,24.4,6-7,216,,82,242.1,38.7,88.8,.435,11.0,31.1,.355,27.6,57.8,.478,14.6,19.2,.759,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9
2016-17,NBA,CHI,41,41,4,,26.9,6-7,221,,82,241.2,38.6,87.1,.444,7.6,22.3,.340,31.0,64.8,.479,18.0,22.5,.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9
2015-16,NBA,CHI,42,40,4,,27.6,6-7,215,,82,242.7,38.6,87.4,.441,7.9,21.4,.371,30.7,66.1,.464,16.5,21.0,.787,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,101.6
2014-15,NBA,CHI,50,32,2,,28.8,6-7,210,,82,242.4,36.6,82.9,.442,7.9,22.3,.353,28.7,60.6,.474,19.7,25.2,.783,11.7,34.0,45.7,21.7,6.3,5.8,14.0,18.2,100.8
2013-14,NBA,CHI,48,34,2,,28.6,6-7,217,,82,243.0,34.7,80.2,.432,6.2,17.8,.348,28.5,62.4,.456,18.1,23.3,.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7
2012-13,NBA,CHI,45,37,2,,28.0,6-6,215,,82,241.8,35.7,81.7,.437,5.4,15.4,.353,30.2,66.3,.456,16.4,21.2,.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,93.2
2011-12,NBA,CHI,50,16,1,,27.1,6-7,218,,66,241.5,37.4,82.8,.452,6.3,16.9,.375,31.0,65.8,.471,15.2,21.1,.722,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3,96.3
2010-11,NBA,CHI,62,20,1,,26.4,6-7,220,,82,241.8,37.1,80.3,.462,6.2,17.3,.361,30.9,63.1,.489,18.2,24.5,.743,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20.0,98.6
2009-10,NBA,CHI,41,41,3,,26.2,6-6,213,,82,242.7,37.6,83.2,.451,4.3,13.0,.330,33.3,70.2,.474,18.0,23.9,.754,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,97.5
2008-09,NBA,CHI,41,41,2,,24.9,6-6,212,,82,243.0,38.1,83.5,.457,6.0,15.8,.381,32.1,67.7,.474,19.9,25.0,.796,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,102.2
2007-08,NBA,CHI,33,49,4,,25.7,6-6,214,,82,241.5,36.4,83.7,.435,5.8,15.9,.363,30.6,67.8,.452,18.7,24.7,.756,12.8,30.2,43.0,22.1,7.7,5.2,14.6,21.8,97.3
2006-07,NBA,CHI,49,33,3,,26.0,6-6,214,,82,241.2,37.1,81.3,.457,5.9,15.1,.388,31.3,66.2,.473,18.6,25.4,.734,12.0,31.7,43.7,22.3,7.8,5.4,16.0,23.3,98.8
2005-06,NBA,CHI,41,41,4,,24.1,6-6,217,,82,242.7,36.6,82.2,.446,6.8,18.0,.379,29.8,64.1,.465,17.7,24.0,.738,11.0,31.7,42.8,22.0,6.2,4.2,14.9,24.9,97.8
2004-05,NBA,CHI,47,35,2,,25.0,6-6,218,,82,241.8,34.7,80.4,.432,6.2,17.5,.357,28.5,62.9,.453,18.7,25.0,.750,12.2,31.6,43.8,21.3,7.0,4.5,16.7,24.7,94.5
2003-04,NBA,CHI,23,59,8,,26.8,6-7,216,,82,241.8,34.1,82.4,.414,5.2,15.3,.342,28.9,67.0,.431,16.2,22.4,.725,12.8,30.7,43.5,21.9,8.0,4.8,16.1,23.3,89.7
2002-03,NBA,CHI,30,52,6,,25.2,6-7,220,,82,243.0,36.5,81.9,.445,4.3,12.2,.350,32.2,69.7,.462,17.7,24.6,.722,12.0,31.0,43.0,21.7,7.4,5.6,16.9,24.7,95.0
