Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,CLE,22,50,4,,72,242.1,42.0,86.7,.484,12.4,32.4,.383,29.6,54.3,.545,15.9,20.4,.779,9.9,33.8,43.7,25.4,8.5,5.9,14.3,20.2,112.3
2019-20,NBA,CLE,19,46,5,,65,241.9,43.9,89.4,.491,12.4,33.0,.375,31.5,56.4,.558,14.7,19.2,.767,9.7,33.1,42.9,26.1,9.4,6.3,13.0,19.6,114.8
2018-19,NBA,CLE,19,63,5,,82,240.9,43.2,87.2,.495,12.0,31.6,.380,31.2,55.6,.561,15.8,20.5,.770,9.5,34.6,44.1,25.7,6.9,5.6,12.5,19.4,114.1
2017-18,NBA,CLE,50,32,1,,82,240.6,41.8,88.3,.474,11.7,31.7,.368,30.2,56.6,.533,14.6,19.4,.756,9.9,33.7,43.6,25.9,7.5,4.1,13.5,20.7,109.9
2016-17,NBA,CLE,51,31,1,,82,242.4,40.6,88.8,.458,10.4,28.7,.361,30.3,60.1,.504,15.5,20.0,.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
2015-16,NBA,CLE,57,25,1,,82,242.1,36.8,82.1,.448,7.9,22.7,.347,28.9,59.4,.487,16.8,22.6,.743,9.3,31.8,41.0,21.4,7.2,4.4,13.3,20.6,98.3
2014-15,NBA,CLE,53,29,1,,82,241.2,38.1,83.5,.456,7.7,22.5,.343,30.3,61.0,.497,14.8,19.9,.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7
2013-14,NBA,CLE,33,49,3,,82,243.0,37.8,83.5,.452,9.3,25.4,.367,28.4,58.1,.490,16.6,22.0,.757,10.3,32.3,42.5,24.8,7.2,5.6,14.0,19.5,101.5
2012-13,NBA,CLE,24,58,5,,82,240.6,37.9,79.6,.476,7.4,20.0,.372,30.5,59.6,.511,17.9,24.2,.739,10.8,31.3,42.1,23.9,7.6,6.8,15.2,19.7,101.2
2011-12,NBA,CLE,21,45,5,,66,241.9,38.4,82.3,.467,6.8,18.7,.362,31.6,63.6,.498,16.6,22.2,.748,11.4,31.4,42.8,23.1,7.9,6.2,13.9,20.9,100.2
2010-11,NBA,CLE,19,63,5,,82,240.9,39.4,83.0,.475,8.1,19.7,.411,31.3,63.3,.495,17.5,23.1,.759,10.9,32.6,43.5,24.2,7.5,6.0,13.5,21.3,104.5
2009-10,NBA,CLE,61,21,1,,82,241.2,35.8,80.9,.442,6.4,18.4,.347,29.4,62.5,.471,17.6,23.3,.757,9.7,28.9,38.5,20.3,6.6,4.0,12.7,20.8,95.6
2008-09,NBA,CLE,66,16,1,,82,241.2,33.8,78.6,.431,5.9,17.6,.333,28.0,60.9,.459,17.8,23.1,.770,10.7,28.2,38.9,19.1,6.3,4.1,13.9,20.3,91.4
2007-08,NBA,CLE,45,37,2,,82,242.1,35.8,78.8,.455,6.2,17.3,.357,29.7,61.5,.482,18.9,25.2,.748,9.9,30.5,40.4,21.0,6.8,4.7,13.3,20.3,96.7
2006-07,NBA,CLE,50,32,2,,82,242.4,34.6,77.3,.448,4.9,15.0,.329,29.7,62.3,.476,18.8,25.6,.734,9.8,30.0,39.9,20.1,6.6,4.3,15.3,22.0,92.9
2005-06,NBA,CLE,50,32,2,,82,241.8,36.0,79.0,.455,5.6,15.7,.356,30.4,63.3,.480,17.8,24.0,.742,9.8,29.5,39.4,20.3,6.6,4.4,13.2,22.5,95.4
2004-05,NBA,CLE,42,40,4,,82,242.1,35.5,78.6,.452,5.1,13.7,.376,30.4,64.9,.468,19.5,26.0,.750,11.4,28.3,39.8,21.2,6.7,5.1,14.8,21.6,95.7
