Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,DAL,42,30,1,,72,240.3,40.1,87.1,.460,12.8,35.2,.365,27.2,51.8,.525,17.2,22.5,.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2
2019-20,NBA,DAL,43,32,2,,75,242.3,41.9,91.6,.458,12.3,34.9,.351,29.7,56.7,.523,16.0,21.0,.760,10.4,35.0,45.4,23.9,7.0,4.1,11.9,21.3,112.1
2018-19,NBA,DAL,33,49,5,,82,241.2,40.9,89.2,.459,11.2,32.5,.344,29.7,56.7,.525,17.1,22.0,.777,10.2,34.6,44.8,24.5,7.8,4.5,13.0,23.2,110.1
2017-18,NBA,DAL,24,58,4,,82,241.5,39.3,83.8,.469,10.7,29.4,.363,28.6,54.4,.526,16.2,21.4,.757,8.8,36.9,45.8,23.5,7.2,4.5,13.7,19.6,105.4
2016-17,NBA,DAL,33,49,5,,82,241.2,37.0,79.0,.469,9.6,25.3,.380,27.4,53.7,.510,17.2,22.3,.772,8.9,35.6,44.5,21.3,6.5,3.4,14.9,19.4,100.8
2015-16,NBA,DAL,42,40,2,,82,244.0,38.3,85.0,.451,9.1,26.5,.342,29.3,58.5,.500,16.9,22.8,.738,10.6,35.2,45.8,22.0,7.5,4.4,13.9,21.4,102.6
2014-15,NBA,DAL,50,32,4,,82,242.4,38.0,84.5,.450,9.0,24.8,.364,29.0,59.7,.485,17.3,22.9,.753,12.3,33.9,46.1,22.3,7.3,3.8,16.3,22.1,102.3
2013-14,NBA,DAL,49,33,4,,82,241.8,37.8,81.4,.464,8.3,23.0,.359,29.5,58.4,.505,18.7,24.6,.758,11.5,31.3,42.8,22.0,7.7,3.5,16.0,19.9,102.4
2012-13,NBA,DAL,41,41,4,,82,243.7,37.4,84.0,.445,7.8,21.8,.359,29.6,62.2,.475,19.1,25.4,.753,12.0,33.6,45.6,22.0,8.5,4.1,14.7,18.9,101.7
2011-12,NBA,DAL,36,30,3,,66,243.4,35.6,81.7,.435,7.2,20.7,.346,28.4,60.9,.466,16.5,22.1,.750,11.0,32.9,43.9,20.5,8.5,4.0,14.7,18.4,94.8
2010-11,NBA,DAL,57,25,2,,82,240.3,36.5,81.2,.450,6.2,18.0,.343,30.3,63.1,.481,16.7,22.3,.750,10.7,30.0,40.7,20.6,7.6,3.7,13.6,20.1,96.0
2009-10,NBA,DAL,55,27,1,,82,242.4,37.9,83.0,.457,6.4,18.5,.347,31.5,64.5,.488,17.1,22.5,.758,11.2,31.6,42.9,20.2,6.9,4.1,14.6,20.1,99.3
2008-09,NBA,DAL,50,32,3,,82,241.5,37.5,82.3,.455,6.3,16.8,.375,31.1,65.5,.475,18.6,23.3,.798,10.8,30.6,41.4,19.6,7.2,4.1,13.0,20.1,99.8
2007-08,NBA,DAL,51,31,4,,82,240.6,35.4,79.9,.443,5.0,14.2,.349,30.4,65.6,.463,20.1,26.4,.760,10.8,29.5,40.3,18.9,6.5,4.4,12.2,21.2,95.9
2006-07,NBA,DAL,67,15,1,,82,240.9,34.0,76.1,.447,4.6,13.1,.349,29.5,63.0,.467,20.2,27.0,.746,10.2,27.9,38.1,17.9,6.9,3.8,14.5,22.1,92.8
2005-06,NBA,DAL,60,22,2,,82,242.4,34.2,77.1,.443,4.9,13.7,.361,29.2,63.4,.461,19.8,26.4,.752,11.4,26.9,38.3,17.5,6.5,4.9,14.0,23.9,93.1
2004-05,NBA,DAL,58,24,2,,82,240.6,35.9,81.9,.438,5.5,16.7,.330,30.4,65.2,.466,19.5,25.9,.754,13.1,30.1,43.2,20.9,7.1,4.9,15.6,23.2,96.8
