Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,DAL,42,30,1,,26.3,6-6,219,,72,240.3,41.1,87.3,.470,13.8,38.1,.362,27.3,49.2,.554,16.5,21.2,.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4
2019-20,NBA,DAL,43,32,2,,26.1,6-7,217,,75,242.3,41.7,90.3,.461,15.1,41.3,.367,26.5,49.0,.541,18.6,23.8,.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0
2018-19,NBA,DAL,33,49,5,,26.9,6-7,219,,82,241.2,38.8,86.9,.447,12.5,36.6,.340,26.3,50.2,.524,18.8,25.3,.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9
2017-18,NBA,DAL,24,58,4,,27.7,6-6,213,,82,241.5,38.1,85.9,.444,11.8,32.8,.360,26.4,53.1,.496,14.2,18.7,.763,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3
2016-17,NBA,DAL,33,49,5,,27.6,6-6,214,,82,241.2,36.2,82.3,.440,10.7,30.2,.355,25.5,52.2,.489,14.8,18.5,.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9
2015-16,NBA,DAL,42,40,2,,30.3,6-6,223,,82,244.0,37.4,84.1,.444,9.8,28.6,.344,27.5,55.6,.495,17.7,22.3,.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3
2014-15,NBA,DAL,50,32,4,,29.9,6-6,207,,82,242.4,39.7,85.8,.463,8.9,25.4,.352,30.8,60.4,.509,16.9,22.5,.752,10.5,31.8,42.3,22.5,8.1,4.5,13.0,20.0,105.2
2013-14,NBA,DAL,49,33,4,,30.6,6-6,216,,82,241.8,39.6,83.6,.474,8.8,22.9,.384,30.8,60.7,.508,16.8,21.1,.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8
2012-13,NBA,DAL,41,41,4,,29.5,6-6,218,,82,243.7,38.8,84.0,.462,7.4,19.9,.372,31.4,64.2,.489,16.1,20.4,.793,9.4,32.6,41.9,23.2,7.9,5.5,14.0,20.7,101.1
2011-12,NBA,DAL,36,30,3,,31.3,6-6,213,,66,243.4,36.3,82.0,.443,7.5,22.2,.339,28.8,59.8,.482,15.6,20.2,.771,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6,95.8
2010-11,NBA,DAL,57,25,2,,30.9,6-6,214,,82,240.3,37.4,78.8,.475,7.9,21.6,.365,29.6,57.3,.516,17.5,22.6,.777,9.5,31.9,41.4,23.8,6.8,4.3,14.0,19.2,100.2
2009-10,NBA,DAL,55,27,1,,30.7,6-6,214,,82,242.4,38.3,82.4,.464,6.8,18.3,.372,31.5,64.2,.491,18.6,22.8,.816,10.2,31.5,41.7,23.4,7.6,5.5,12.9,19.1,102.0
2008-09,NBA,DAL,50,32,3,,29.0,6-6,217,,82,241.5,38.1,82.6,.462,7.0,19.9,.350,31.2,62.7,.498,18.5,22.6,.819,11.1,31.6,42.7,21.7,7.2,5.2,12.7,19.5,101.7
2007-08,NBA,DAL,51,31,4,,28.9,6-7,219,,82,240.6,36.9,79.5,.464,6.0,17.1,.352,30.9,62.3,.495,20.6,25.3,.814,10.8,32.2,43.0,21.0,6.0,4.9,12.6,21.8,100.4
