Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,DEN,47,25,2,,72,242.8,40.0,85.4,.469,13.0,35.7,.363,27.1,49.7,.545,17.1,22.1,.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1
2019-20,NBA,DEN,46,27,1,,73,243.1,40.0,86.5,.463,12.1,33.9,.358,27.9,52.6,.530,17.1,22.5,.759,10.1,32.6,42.6,25.4,7.2,4.4,14.3,20.5,109.2
2018-19,NBA,DEN,54,28,1,,82,240.6,39.6,86.4,.458,10.8,31.9,.339,28.8,54.5,.528,16.7,22.2,.753,9.7,32.7,42.5,24.6,7.4,5.0,13.5,20.4,106.7
2017-18,NBA,DEN,46,36,5,,82,242.4,41.3,86.7,.476,10.9,28.8,.378,30.4,57.9,.525,15.0,20.4,.738,9.8,31.9,41.6,24.7,8.0,4.8,13.8,20.7,108.5
2016-17,NBA,DEN,40,42,4,,82,240.9,42.1,88.4,.477,9.9,26.3,.375,32.3,62.1,.519,17.1,21.9,.782,9.4,31.4,40.8,24.0,8.3,4.9,12.0,20.2,111.2
2015-16,NBA,DEN,33,49,4,,82,241.8,38.8,84.2,.461,9.2,24.8,.371,29.6,59.4,.498,18.2,23.9,.761,9.7,32.9,42.7,23.5,8.0,6.3,13.7,20.9,105.0
2014-15,NBA,DEN,30,52,4,,82,242.4,38.6,84.3,.458,7.7,22.2,.346,30.9,62.0,.498,20.1,26.9,.748,11.0,34.1,45.1,23.1,7.5,6.1,14.4,20.7,105.0
2013-14,NBA,DEN,36,46,4,,82,240.9,39.5,86.4,.457,7.4,21.0,.351,32.1,65.4,.491,20.2,26.4,.763,11.3,32.5,43.8,22.5,8.5,5.6,14.4,21.7,106.5
2012-13,NBA,DEN,57,25,2,,82,242.7,38.1,85.7,.444,8.4,23.1,.363,29.7,62.6,.474,16.6,22.7,.731,12.4,29.2,41.6,23.6,8.0,6.8,15.9,21.6,101.1
2011-12,NBA,DEN,38,28,2,,66,243.0,38.5,84.4,.456,8.7,22.6,.383,29.8,61.8,.483,15.6,20.5,.759,11.1,29.2,40.3,23.2,7.9,6.7,15.6,22.0,101.2
2010-11,NBA,DEN,50,32,2,,82,240.3,38.5,83.9,.459,7.0,20.4,.344,31.4,63.4,.495,18.8,24.8,.756,10.5,30.8,41.3,22.2,7.5,6.0,13.7,22.7,102.7
2009-10,NBA,DEN,53,29,1,,82,241.2,37.7,82.5,.456,6.4,18.3,.349,31.3,64.2,.487,20.7,26.9,.768,11.6,30.6,42.3,21.0,7.0,5.3,15.1,23.7,102.4
2008-09,NBA,DEN,54,28,1,,82,240.6,36.2,82.2,.440,7.3,20.0,.366,28.8,62.1,.464,21.2,27.2,.782,12.1,29.2,41.2,21.4,7.9,5.5,15.4,23.7,100.9
2007-08,NBA,DEN,50,32,2,,82,242.1,40.7,89.1,.457,7.6,20.9,.363,33.1,68.2,.485,18.1,24.7,.730,12.7,32.7,45.4,25.7,7.9,4.8,16.4,23.8,107.0
2006-07,NBA,DEN,45,37,2,,82,241.2,39.7,86.4,.460,6.8,19.1,.353,33.0,67.3,.490,17.5,23.7,.739,12.3,30.0,42.3,24.5,8.3,5.2,16.4,23.7,103.7
2005-06,NBA,DEN,44,38,1,,82,243.0,37.4,82.5,.454,6.5,18.0,.358,31.0,64.4,.481,18.8,25.5,.736,11.8,30.1,41.9,23.9,7.1,5.3,16.1,23.3,100.1
2004-05,NBA,DEN,49,33,2,,82,240.9,36.0,80.6,.447,5.6,16.4,.345,30.3,64.2,.472,19.9,26.7,.746,11.9,29.8,41.7,21.7,7.8,5.6,16.4,23.9,97.5
2003-04,NBA,DEN,43,39,6,,82,240.6,36.8,81.2,.453,4.6,12.9,.356,32.2,68.4,.471,17.9,24.6,.728,12.9,30.1,42.9,23.5,8.1,5.8,17.1,23.1,96.1
2002-03,NBA,DEN,17,65,7,,82,240.6,32.9,74.2,.443,5.1,13.8,.370,27.8,60.4,.460,21.6,28.5,.757,10.5,29.8,40.3,21.5,9.0,6.6,17.1,21.8,92.4
2001-02,NBA,DEN,27,55,6,,82,241.5,36.6,79.8,.459,5.2,14.3,.361,31.5,65.5,.481,19.5,26.1,.747,12.1,30.8,43.0,24.0,8.2,6.8,14.3,20.1,98.0
2000-01,NBA,DEN,40,42,6,,82,241.2,37.6,84.3,.446,5.1,14.2,.356,32.5,70.1,.464,18.8,25.0,.753,12.3,32.2,44.6,24.9,7.2,6.1,13.1,21.4,99.0
1999-00,NBA,DEN,35,47,5,,82,242.1,38.2,84.8,.450,4.9,13.7,.354,33.3,71.1,.469,19.9,26.5,.751,12.5,31.8,44.3,24.4,7.5,5.6,14.4,23.6,101.1
1998-99,NBA,DEN,14,36,6,,50,240.5,37.7,80.3,.469,4.7,12.8,.370,33.0,67.5,.488,19.9,26.8,.745,12.4,30.0,42.4,23.5,7.9,5.5,14.0,22.1,100.1
1997-98,NBA,DEN,11,71,7,,82,240.6,36.8,77.7,.473,5.1,13.5,.379,31.7,64.2,.493,22.2,29.4,.754,13.4,29.3,42.6,24.2,8.1,6.5,15.2,21.7,100.8
1996-97,NBA,DEN,21,61,5,,82,243.0,40.2,86.1,.467,5.9,15.0,.393,34.3,71.1,.482,17.8,23.7,.750,13.2,30.0,43.2,22.5,8.8,5.5,12.9,21.0,104.1
1995-96,NBA,DEN,35,47,4,,82,241.8,37.7,82.2,.459,5.5,15.1,.367,32.2,67.1,.479,19.5,25.7,.760,11.4,29.1,40.5,22.9,7.5,5.1,13.8,23.2,100.4
1994-95,NBA,DEN,41,41,4,,82,243.7,37.2,81.6,.456,5.1,14.7,.347,32.1,66.9,.479,21.0,28.0,.750,12.5,26.9,39.4,21.8,7.8,5.6,14.2,23.9,100.5
1993-94,NBA,DEN,42,40,4,,82,240.9,37.4,85.4,.438,2.5,8.7,.290,34.8,76.6,.455,21.5,28.6,.750,13.6,28.4,42.1,21.3,8.8,6.1,15.2,23.9,98.8
1992-93,NBA,DEN,36,46,4,,82,241.8,40.5,88.0,.461,2.7,7.9,.343,37.8,80.1,.472,23.2,30.7,.754,14.1,30.5,44.7,23.0,9.1,6.1,16.3,24.2,106.9
1991-92,NBA,DEN,24,58,4,,82,241.2,40.8,85.0,.480,2.3,6.5,.350,38.5,78.5,.491,23.7,30.6,.773,13.5,30.9,44.4,22.1,9.5,7.2,17.0,21.8,107.6
1990-91,NBA,DEN,20,62,7,,82,240.6,49.7,97.1,.512,2.4,6.1,.386,47.3,91.0,.520,29.0,37.4,.775,15.1,37.4,52.5,30.4,9.2,6.4,18.6,22.5,130.8
1989-90,NBA,DEN,43,39,4,,82,241.5,43.8,89.4,.489,2.0,6.3,.317,41.8,83.1,.502,23.6,30.7,.770,12.5,34.7,47.2,25.3,7.5,5.6,18.5,23.3,113.2
1988-89,NBA,DEN,44,38,3,,82,242.4,45.1,91.3,.495,1.9,5.4,.352,43.2,85.8,.504,24.1,32.7,.737,13.9,34.9,48.8,26.0,8.1,5.9,19.5,24.4,116.3
1987-88,NBA,DEN,54,28,1,,82,241.2,44.0,89.7,.490,1.4,4.6,.300,42.6,85.1,.501,23.3,30.6,.762,14.4,33.5,47.9,26.5,7.6,6.2,19.6,24.3,112.7
