Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,DET,20,52,5,,72,242.1,41.4,86.9,.476,11.3,31.4,.362,30.0,55.6,.541,17.0,22.3,.760,10.0,34.4,44.3,24.8,8.0,5.8,13.9,20.4,111.1
2019-20,NBA,DET,20,46,4,,66,241.9,41.9,87.3,.480,10.7,29.6,.361,31.3,57.8,.541,16.2,20.9,.777,10.1,33.4,43.5,24.6,8.2,5.6,14.0,19.8,110.8
2018-19,NBA,DET,41,41,3,,82,242.1,39.9,85.0,.469,9.6,27.8,.345,30.3,57.2,.530,17.9,23.7,.755,9.1,34.6,43.7,23.7,6.9,5.1,14.1,21.3,107.3
2017-18,NBA,DET,39,43,4,,82,241.5,39.1,85.2,.459,11.1,30.8,.359,28.0,54.4,.515,14.6,18.9,.776,9.2,34.5,43.8,25.2,7.3,4.9,14.8,18.4,103.9
2016-17,NBA,DET,37,45,5,,82,241.5,38.3,83.3,.460,9.4,25.6,.366,29.0,57.7,.502,16.4,21.0,.780,8.0,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5
2015-16,NBA,DET,44,38,3,,82,242.4,38.8,84.2,.461,7.3,20.5,.355,31.5,63.7,.495,16.5,21.0,.783,8.8,33.7,42.5,21.5,7.1,4.5,13.4,21.6,101.4
2014-15,NBA,DET,32,50,5,,82,241.8,37.9,83.1,.456,7.7,21.8,.355,30.1,61.3,.491,16.0,20.7,.772,10.7,33.4,44.1,23.8,7.0,4.8,14.0,19.3,99.5
2013-14,NBA,DET,29,53,4,,82,241.2,39.1,83.2,.470,8.3,22.8,.365,30.8,60.3,.510,18.1,24.0,.756,11.1,31.9,43.0,24.4,8.2,4.9,15.0,20.7,104.7
2012-13,NBA,DET,29,53,4,,82,241.5,37.3,81.2,.459,7.4,20.4,.360,29.9,60.7,.492,16.9,22.2,.762,11.1,30.7,41.8,22.4,8.4,5.8,13.7,19.9,98.8
2011-12,NBA,DET,25,41,4,,66,241.9,36.0,78.0,.462,6.0,16.9,.355,30.0,61.1,.492,17.6,23.0,.765,10.7,30.1,40.7,22.5,8.5,5.3,14.5,19.4,95.7
2010-11,NBA,DET,30,52,4,,82,242.4,37.9,78.1,.486,6.4,17.8,.358,31.5,60.3,.523,18.3,23.9,.766,10.6,30.1,40.7,23.3,6.9,4.6,14.1,18.8,100.6
2009-10,NBA,DET,27,55,5,,82,241.2,36.2,75.3,.480,6.9,18.5,.375,29.2,56.8,.515,19.9,25.9,.767,9.9,29.5,39.4,23.1,6.7,4.9,14.3,20.8,99.1
2008-09,NBA,DET,39,43,3,,82,242.7,35.1,77.8,.451,5.3,15.0,.354,29.8,62.8,.474,19.3,24.9,.775,10.5,29.9,40.4,20.1,5.6,4.2,11.8,19.7,94.7
2007-08,NBA,DET,59,23,1,,82,240.6,33.3,76.1,.437,5.0,15.0,.332,28.3,61.0,.463,18.6,25.0,.744,10.5,28.6,39.1,19.1,5.8,3.9,13.5,19.7,90.1
2006-07,NBA,DET,53,29,1,,82,242.4,34.4,77.3,.445,5.0,14.7,.339,29.4,62.6,.470,18.1,24.5,.740,11.9,29.3,41.2,20.1,6.4,3.5,14.7,20.3,91.8
2005-06,NBA,DET,64,18,1,,82,241.8,35.5,78.7,.452,4.0,12.3,.325,31.5,66.3,.476,15.1,20.5,.736,11.6,29.3,40.9,18.8,5.9,3.5,14.0,21.0,90.2
2004-05,NBA,DET,54,28,1,,82,243.4,34.0,79.2,.430,5.0,14.8,.338,29.0,64.4,.451,16.4,21.8,.751,11.3,28.3,39.6,19.7,7.4,4.5,13.8,22.6,89.5
2003-04,NBA,DET,54,28,2,,82,241.2,32.1,77.8,.413,4.3,14.4,.302,27.8,63.4,.438,15.7,21.1,.744,12.0,28.7,40.6,19.0,7.9,5.0,16.0,22.9,84.3
2002-03,NBA,DET,50,32,1,,82,242.7,33.5,76.5,.438,3.5,10.2,.344,29.9,66.2,.452,17.2,23.1,.746,10.5,30.8,41.3,18.3,6.9,4.3,14.0,23.2,87.7
2001-02,NBA,DET,50,32,1,,82,240.0,35.7,79.8,.447,4.4,12.1,.362,31.3,67.7,.462,16.5,21.8,.755,12.1,30.6,42.7,20.0,7.9,4.1,15.5,22.9,92.2
2000-01,NBA,DET,32,50,5,,82,242.1,36.3,83.5,.434,5.2,15.0,.348,31.1,68.5,.453,19.5,26.5,.736,12.3,32.6,44.9,22.7,8.2,4.8,15.5,25.1,97.3
1999-00,NBA,DET,42,40,4,,82,241.8,38.0,81.8,.465,5.6,15.0,.371,32.5,66.7,.486,20.4,27.3,.746,11.9,30.5,42.4,23.1,8.0,4.8,17.1,27.1,102.0
1998-99,NBA,DET,29,21,3,,50,241.0,31.7,72.8,.436,4.7,13.6,.346,27.0,59.1,.456,18.8,26.3,.715,11.0,27.5,38.5,20.9,8.5,4.5,15.4,22.3,86.9
1997-98,NBA,DET,37,45,6,,82,243.4,34.6,77.8,.445,4.4,13.4,.330,30.2,64.4,.469,18.9,25.3,.746,12.1,28.5,40.5,21.4,7.9,4.7,15.4,22.9,92.6
1996-97,NBA,DET,54,28,3,,82,241.8,33.8,76.0,.444,6.4,17.4,.369,27.3,58.5,.467,15.0,20.3,.737,11.8,27.6,39.4,21.9,6.0,3.4,14.6,21.8,88.9
1995-96,NBA,DET,46,36,5,,82,241.8,34.5,77.7,.443,6.2,16.8,.366,28.3,60.9,.465,17.8,24.9,.715,11.8,27.7,39.4,21.1,6.8,4.7,14.1,23.0,92.9
1994-95,NBA,DET,28,54,7,,82,240.6,38.0,80.0,.476,5.5,15.1,.363,32.6,64.9,.502,23.9,33.2,.722,14.0,29.7,43.6,24.5,8.5,5.4,15.7,21.3,105.5
1993-94,NBA,DET,20,62,7,,82,240.6,39.7,83.9,.473,3.3,9.9,.334,36.4,74.0,.492,22.0,29.9,.736,14.5,31.6,46.1,25.6,8.8,4.5,14.3,19.5,104.7
1992-93,NBA,DET,40,42,6,,82,241.2,40.5,84.2,.481,3.2,9.4,.339,37.3,74.8,.499,17.8,24.2,.736,13.4,29.8,43.2,25.0,7.6,4.4,14.9,22.0,102.0
1991-92,NBA,DET,48,34,3,,82,241.2,38.5,85.0,.453,2.6,7.6,.338,35.9,77.4,.464,17.3,22.8,.762,13.6,27.5,41.1,23.1,7.8,4.5,13.6,23.4,96.9
1990-91,NBA,DET,50,32,2,,82,241.5,37.2,82.2,.453,1.9,6.1,.312,35.3,76.1,.464,20.4,26.5,.770,12.2,27.7,40.0,21.2,7.1,3.5,13.7,24.2,96.8
1989-90,NBA,DET,59,23,1,,82,241.5,37.1,83.0,.447,2.3,6.8,.333,34.8,76.2,.457,21.8,28.6,.762,12.7,27.8,40.5,21.5,7.4,3.7,15.2,25.3,98.3
1988-89,NBA,DET,63,19,1,,82,241.8,38.3,85.6,.447,1.9,6.8,.285,36.4,78.9,.461,22.3,28.4,.785,13.8,26.7,40.5,22.6,7.9,4.2,14.9,25.5,100.8
1987-88,NBA,DET,54,28,1,,82,241.2,40.7,87.0,.467,1.4,4.8,.289,39.3,82.2,.478,21.4,28.0,.762,14.0,27.8,41.7,24.0,7.9,5.0,16.2,26.4,104.1
1986-87,NBA,DET,52,30,2,,82,241.8,41.2,89.1,.462,1.6,5.1,.317,39.5,84.0,.471,23.8,31.8,.748,13.9,28.5,42.5,24.7,8.2,5.8,15.8,25.2,107.8
1985-86,NBA,DET,46,36,3,,82,241.2,44.1,89.8,.492,0.9,3.1,.275,43.3,86.7,.499,23.9,31.6,.756,14.4,31.0,45.3,25.4,8.1,6.1,18.2,24.1,113.0
1984-85,NBA,DET,46,36,2,,82,241.8,45.1,90.9,.496,1.0,3.0,.313,44.2,87.9,.502,22.3,29.3,.760,13.5,31.3,44.8,25.7,7.8,6.2,18.1,24.6,113.5
1983-84,NBA,DET,49,33,2,,82,242.7,44.6,89.9,.496,0.6,2.5,.262,44.0,87.4,.503,23.7,31.4,.753,14.2,30.0,44.1,26.7,7.6,6.4,18.0,26.7,113.5
1982-83,NBA,DET,37,45,3,,82,242.4,46.4,93.6,.495,0.3,2.2,.115,46.1,91.4,.504,20.1,27.9,.720,15.4,31.6,47.1,27.5,9.3,6.8,19.3,28.4,113.1
1981-82,NBA,DET,39,43,3,,82,241.8,45.7,89.8,.509,0.5,2.1,.234,45.2,87.6,.516,20.1,27.0,.745,14.1,29.7,43.8,26.7,9.5,7.1,20.0,29.1,112.0
1980-81,NBA,DET,21,61,6,,82,240.9,42.7,83.8,.509,0.4,1.5,.244,42.3,82.2,.514,20.3,27.0,.750,13.3,29.2,42.5,24.8,9.7,7.1,21.9,25.5,106.0
1979-80,NBA,DET,16,66,6,,82,241.2,46.9,94.6,.496,0.7,2.5,.277,46.2,92.1,.502,22.7,29.3,.773,16.1,31.4,47.5,28.1,10.7,5.7,19.3,22.8,117.2
1978-79,NBA,DET,30,52,4,,82,241.2,45.8,93.0,.493,,,,45.8,93.0,.493,21.1,28.0,.755,15.9,32.0,47.9,26.8,8.1,6.1,21.3,23.3,112.7
1977-78,NBA,DET,38,44,4,,82,242.1,45.0,94.0,.479,,,,45.0,94.0,.479,20.3,26.5,.763,15.2,30.4,45.6,25.7,11.0,4.8,21.0,25.5,110.2
1976-77,NBA,DET,44,38,2,,82,240.6,43.4,91.9,.472,,,,43.4,91.9,.472,23.6,31.0,.760,16.1,32.2,48.2,23.8,9.7,4.6,22.3,22.3,110.4
1975-76,NBA,DET,36,46,2,,82,241.2,42.6,91.2,.467,,,,42.6,91.2,.467,20.8,27.0,.772,14.9,32.8,47.7,24.6,8.8,5.3,20.4,23.3,106.0
1974-75,NBA,DET,40,42,3,,82,240.3,41.6,88.5,.470,,,,41.6,88.5,.470,17.2,21.9,.786,13.5,31.1,44.6,24.5,8.1,3.7,18.6,22.9,100.3
1973-74,NBA,DET,52,30,3,,82,240.9,41.2,91.5,.450,,,,41.2,91.5,.450,18.0,23.6,.763,14.3,32.1,46.4,24.1,9.4,5.0,22.2,24.3,100.3
1972-73,NBA,DET,40,42,3,,82,241.2,46.4,98.3,.472,,,,46.4,98.3,.472,17.3,22.7,.762,,,49.0,27.6,,,,23.1,110.0
1971-72,NBA,DET,26,56,4,,82,241.5,46.6,98.9,.472,,,,46.6,98.9,.472,22.7,30.2,.753,,,53.4,27.0,,,,23.5,115.9
1970-71,NBA,DET,45,37,4,,82,242.1,43.0,94.1,.457,,,,43.0,94.1,.457,24.9,33.0,.755,,,52.3,23.3,,,,25.5,110.9
1969-70,NBA,DET,31,51,7,,82,242.1,,,,,,,,,,,,,,,,,,,,,116.1
1968-69,NBA,DET,32,50,6,,82,240.9,,,,,,,,,,,,,,,,,,,,,117.3
1967-68,NBA,DET,40,42,4,,82,241.2,,,,,,,,,,,,,,,,,,,,,120.6
1966-67,NBA,DET,30,51,5,,81,241.9,,,,,,,,,,,,,,,,,,,,,116.8
