Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,GSW,39,33,4,,72,240.3,40.2,89.0,.452,12.4,34.5,.359,27.9,54.5,.511,19.8,25.5,.778,10.7,36.6,47.3,23.8,7.9,4.3,15.0,19.5,112.7
2019-20,NBA,GSW,15,50,5,,65,241.9,42.2,88.6,.476,13.5,34.8,.389,28.7,53.8,.533,17.1,21.9,.783,10.2,36.3,46.5,26.1,8.2,4.9,15.6,20.1,115.0
2018-19,NBA,GSW,57,25,1,,82,241.5,40.4,91.1,.444,11.6,33.6,.347,28.8,57.5,.500,18.7,24.2,.773,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2
2017-18,NBA,GSW,58,24,1,,82,240.6,40.2,90.0,.447,10.4,29.2,.357,29.8,60.8,.490,16.7,22.0,.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5
2016-17,NBA,GSW,67,15,1,,82,241.2,38.8,89.2,.435,9.0,27.8,.324,29.8,61.4,.485,17.7,23.2,.761,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
2015-16,NBA,GSW,73,9,1,,82,242.4,38.9,89.4,.435,7.8,23.5,.332,31.1,65.9,.472,18.6,24.5,.757,11.4,32.5,43.9,22.2,8.7,4.1,14.5,19.8,104.1
2014-15,NBA,GSW,67,15,1,,82,240.6,37.0,86.4,.428,7.2,21.4,.337,29.7,65.0,.458,18.7,24.5,.763,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9
2013-14,NBA,GSW,51,31,2,,82,241.8,36.8,84.4,.436,6.9,20.2,.344,29.9,64.2,.465,18.9,24.7,.765,10.7,32.6,43.3,20.5,7.9,4.2,15.0,19.3,99.5
2012-13,NBA,GSW,47,35,2,,82,241.5,37.2,84.8,.439,8.0,23.1,.347,29.2,61.7,.473,17.9,23.9,.748,11.1,31.7,42.7,23.5,8.2,4.9,13.5,19.2,100.3
2011-12,NBA,GSW,23,43,4,,66,241.1,37.3,82.3,.453,7.1,19.4,.365,30.2,62.9,.480,19.5,26.1,.747,13.2,32.7,45.8,23.1,7.6,5.0,14.8,16.6,101.2
