Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,IND,34,38,2,,72,242.4,42.7,91.3,.468,11.5,31.5,.366,31.2,59.9,.521,18.4,23.5,.782,11.3,35.5,46.8,26.1,7.4,5.3,14.8,18.1,115.3
2019-20,NBA,IND,45,28,2,,73,241.4,39.5,88.5,.446,11.5,33.6,.341,28.0,54.8,.511,17.0,21.6,.788,10.4,34.9,45.2,23.1,6.9,4.6,14.7,18.8,107.5
2018-19,NBA,IND,48,34,2,,82,240.3,38.7,86.1,.450,11.4,32.1,.354,27.4,54.0,.507,15.8,21.0,.756,10.5,33.1,43.7,24.5,7.4,5.2,15.7,20.0,104.7
2017-18,NBA,IND,48,34,2,,82,240.9,39.4,84.8,.465,10.6,30.4,.349,28.8,54.4,.530,14.8,19.5,.757,10.2,32.8,43.0,23.2,7.0,5.2,15.5,18.5,104.2
2016-17,NBA,IND,42,40,3,,82,242.1,38.0,84.3,.451,10.4,29.1,.355,27.6,55.1,.501,19.0,24.1,.789,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3
2015-16,NBA,IND,45,37,2,,82,242.4,37.4,84.9,.440,8.3,24.8,.334,29.1,60.1,.484,17.4,23.2,.751,10.7,33.8,44.5,20.8,7.7,4.5,15.8,20.4,100.5
2014-15,NBA,IND,38,44,4,,82,242.1,36.0,82.7,.435,7.2,20.9,.345,28.8,61.8,.465,17.9,23.8,.753,9.8,33.0,42.7,19.9,7.5,4.7,12.7,21.4,97.0
2013-14,NBA,IND,56,26,1,,82,241.2,34.8,82.7,.420,6.6,19.0,.345,28.2,63.7,.443,16.3,21.6,.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3
2012-13,NBA,IND,49,32,1,,81,241.9,34.5,82.2,.420,5.4,16.6,.327,29.1,65.6,.444,16.2,21.3,.760,11.2,29.6,40.9,19.2,7.5,5.7,13.5,21.9,90.7
2011-12,NBA,IND,42,24,2,,66,242.3,34.9,80.4,.435,6.7,19.1,.351,28.2,61.3,.461,17.9,24.5,.729,12.0,30.3,42.3,19.6,6.6,6.0,14.9,21.6,94.4
2010-11,NBA,IND,37,45,2,,82,241.2,37.5,83.4,.449,6.2,17.4,.359,31.2,66.0,.473,19.7,26.3,.750,11.4,31.9,43.3,20.4,7.5,5.7,13.9,21.4,100.9
2009-10,NBA,IND,32,50,4,,82,240.3,38.0,83.8,.453,6.2,17.1,.363,31.7,66.7,.476,21.6,28.6,.756,11.8,34.8,46.6,20.7,8.0,5.0,15.0,20.8,103.8
2008-09,NBA,IND,36,46,4,,82,241.8,38.3,83.7,.458,6.9,18.5,.375,31.4,65.2,.481,22.6,29.6,.764,11.1,33.0,44.1,21.1,7.7,5.4,14.0,20.6,106.2
2007-08,NBA,IND,36,46,3,,82,240.9,37.7,83.1,.454,7.4,19.2,.386,30.3,64.0,.474,22.6,29.8,.757,11.3,34.1,45.5,22.2,8.1,5.1,15.8,21.7,105.4
2006-07,NBA,IND,35,47,4,,82,241.2,35.7,78.2,.457,5.3,14.3,.372,30.4,63.9,.476,21.2,28.2,.753,11.2,30.5,41.6,20.0,7.9,5.0,15.7,23.7,98.0
2005-06,NBA,IND,41,41,3,,82,240.6,34.5,79.3,.435,4.5,13.2,.343,30.0,66.1,.454,18.4,25.1,.733,11.8,29.5,41.3,18.5,8.1,4.9,13.6,22.0,92.0
2004-05,NBA,IND,44,38,3,,82,242.7,33.8,76.6,.440,4.8,13.1,.365,29.0,63.6,.456,20.0,26.9,.743,11.9,29.5,41.3,18.8,6.7,4.9,13.9,23.0,92.2
2003-04,NBA,IND,61,21,1,,82,241.5,32.6,75.4,.432,4.0,12.4,.324,28.6,63.0,.453,16.5,22.0,.750,10.6,29.5,40.1,20.1,7.1,6.2,15.9,21.9,85.6
2002-03,NBA,IND,48,34,2,,82,242.7,34.9,81.6,.428,5.0,14.6,.340,29.9,67.0,.447,18.6,24.3,.767,12.3,30.0,42.2,20.7,7.6,6.3,15.3,23.5,93.3
2001-02,NBA,IND,42,40,4,,82,242.7,36.3,82.9,.438,5.1,14.6,.348,31.2,68.3,.457,18.8,25.1,.749,12.8,30.7,43.4,21.6,7.5,5.7,14.3,22.6,96.5
2000-01,NBA,IND,41,41,4,,82,243.7,34.5,81.5,.423,4.6,13.7,.336,29.9,67.8,.441,19.2,25.3,.758,12.7,30.4,43.1,20.7,7.2,4.7,13.6,23.0,92.8
1999-00,NBA,IND,56,26,1,,82,240.6,38.0,85.1,.446,4.0,12.3,.327,34.0,72.9,.466,16.8,22.2,.755,12.7,31.0,43.7,21.2,7.4,3.9,13.7,23.3,96.7
1998-99,NBA,IND,33,17,1,,50,242.0,34.1,78.7,.434,4.1,12.7,.325,30.0,66.0,.454,18.6,24.5,.756,12.5,28.5,41.0,19.1,7.1,4.8,13.0,22.5,90.9
1997-98,NBA,IND,58,24,2,,82,241.8,34.0,78.7,.432,3.3,10.6,.316,30.7,68.1,.450,18.6,25.6,.728,13.6,27.5,41.1,19.4,7.9,4.5,15.1,22.5,89.9
1996-97,NBA,IND,39,43,6,,82,243.0,34.1,77.5,.440,6.1,17.6,.347,28.0,60.0,.468,20.0,26.6,.753,12.2,27.6,39.8,21.2,8.5,5.1,15.7,23.8,94.4
1995-96,NBA,IND,52,30,2,,82,240.9,34.6,76.7,.452,6.0,16.7,.360,28.6,60.0,.477,20.8,28.1,.740,12.2,25.0,37.3,21.0,8.1,5.1,15.4,24.9,96.1
1994-95,NBA,IND,52,30,1,,82,241.2,35.6,78.1,.456,5.8,15.9,.364,29.8,62.2,.479,18.5,25.5,.726,12.8,26.3,39.1,22.0,8.4,5.1,16.7,25.1,95.5
1993-94,NBA,IND,47,35,3,,82,240.9,36.3,80.7,.450,3.3,9.9,.335,33.0,70.7,.466,21.6,29.5,.730,13.8,26.3,40.1,23.2,10.1,4.7,16.3,24.2,97.5
1992-93,NBA,IND,41,41,5,,82,240.9,39.8,84.8,.469,2.6,8.6,.306,37.1,76.2,.487,23.9,32.1,.743,14.5,28.6,43.1,24.2,8.5,4.7,14.4,24.1,106.1
1991-92,NBA,IND,40,42,4,,82,243.4,41.8,89.2,.468,2.6,7.8,.338,39.1,81.4,.481,24.1,32.0,.752,15.1,28.4,43.5,26.4,10.0,4.7,15.2,24.2,110.3
1990-91,NBA,IND,41,41,5,,82,241.5,43.6,89.0,.490,2.3,7.4,.305,41.4,81.6,.507,22.6,30.4,.743,14.7,28.2,42.9,25.2,8.9,4.3,15.4,24.8,112.1
1989-90,NBA,IND,42,40,5,,82,242.4,42.5,88.1,.482,2.1,6.6,.320,40.4,81.5,.496,22.0,29.2,.753,14.3,28.0,42.3,23.7,8.7,3.9,14.5,24.6,109.1
1988-89,NBA,IND,28,54,6,,82,242.1,42.1,90.2,.467,2.0,6.7,.305,40.1,83.6,.479,24.8,31.8,.781,15.7,28.2,43.9,24.8,10.2,4.7,14.7,24.7,111.1
1987-88,NBA,IND,38,44,6,,82,240.3,40.7,86.1,.472,1.4,4.5,.321,39.2,81.6,.481,22.7,29.8,.760,14.1,30.5,44.6,23.6,8.5,5.0,15.5,22.7,105.4
1986-87,NBA,IND,41,41,4,,82,243.0,40.8,85.0,.480,1.3,4.2,.299,39.5,80.8,.489,23.9,31.5,.759,13.6,31.5,45.1,24.6,8.0,5.8,17.3,22.6,106.7
1985-86,NBA,IND,26,56,6,,82,240.9,41.1,86.9,.473,0.9,3.4,.265,40.2,83.5,.482,24.1,31.4,.768,12.8,30.2,43.0,25.1,9.1,5.4,16.0,23.3,107.2
1984-85,NBA,IND,22,60,6,,82,241.2,44.2,89.4,.495,0.8,2.4,.320,43.5,87.0,.500,25.2,33.0,.764,13.4,31.5,44.9,27.3,9.5,6.4,17.4,25.3,114.5
1983-84,NBA,IND,26,56,6,,82,241.2,43.3,87.5,.495,0.4,1.8,.199,43.0,85.7,.501,22.3,29.5,.757,14.6,31.3,45.8,25.8,9.3,5.4,19.4,23.5,109.3
1982-83,NBA,IND,20,62,6,,82,241.8,46.0,88.8,.517,0.5,1.7,.282,45.5,87.1,.522,22.1,29.4,.752,14.7,31.3,46.0,27.3,9.3,5.4,20.0,23.0,114.5
1981-82,NBA,IND,35,47,4,,82,241.8,42.3,86.1,.491,0.4,2.2,.186,41.9,83.9,.499,19.0,26.0,.730,14.7,31.7,46.4,25.0,8.3,4.8,18.5,24.6,104.0
1980-81,NBA,IND,44,38,3,,82,240.6,42.2,86.2,.489,0.5,2.2,.229,41.7,84.0,.496,21.4,27.9,.767,15.2,29.4,44.5,25.8,8.5,5.4,20.2,25.2,106.2
1979-80,NBA,IND,37,45,4,,82,242.1,45.0,92.0,.489,0.7,2.8,.246,44.4,89.2,.497,21.1,28.0,.756,17.0,31.1,48.1,28.3,9.0,5.7,21.4,24.7,111.9
1978-79,NBA,IND,38,44,4,,82,240.3,43.7,91.5,.478,,,,43.7,91.5,.478,22.8,29.5,.773,15.8,31.8,47.6,26.6,8.3,5.3,19.7,25.5,110.2
1977-78,NBA,IND,31,51,6,,82,241.8,44.3,93.5,.474,,,,44.3,93.5,.474,22.5,29.9,.750,16.5,34.1,50.5,27.5,8.9,5.7,21.5,26.0,111.1
1976-77,NBA,IND,36,46,5,,82,240.9,43.9,93.0,.472,,,,43.9,93.0,.472,20.8,27.5,.757,16.8,33.8,50.6,25.6,8.7,5.7,21.9,24.9,108.6
1975-76,ABA,INA,39,45,5,,84,242.1,46.1,96.8,.476,0.8,2.7,.281,45.3,94.1,.481,20.0,25.7,.779,17.9,36.9,54.8,25.5,8.9,5.9,20.7,24.5,112.9
1974-75,ABA,INA,45,39,3,,84,241.2,45.6,93.4,.488,0.9,3.1,.286,44.7,90.3,.495,19.6,25.3,.773,17.2,32.7,49.9,24.5,8.1,4.9,20.4,22.7,111.7
1973-74,ABA,INA,46,38,2,,84,242.4,42.9,96.1,.447,1.0,4.0,.241,42.0,92.1,.456,18.1,24.2,.750,17.5,33.2,50.7,22.1,7.8,5.3,17.5,24.2,105.0
1972-73,ABA,INA,51,33,2,,84,242.4,44.5,97.7,.456,0.9,3.4,.275,43.6,94.3,.462,22.5,30.3,.742,19.6,32.1,51.7,24.2,,,18.3,26.8,112.5
1971-72,ABA,INA,47,37,2,,84,242.4,44.3,97.4,.454,1.2,4.4,.282,43.0,93.0,.463,20.5,27.4,.751,19.3,32.4,51.6,22.8,,,16.0,26.0,110.3
1970-71,ABA,INA,58,26,1,,84,242.4,44.9,100.8,.445,1.4,4.9,.286,43.5,95.8,.453,22.0,29.6,.742,,,55.4,23.3,,,18.3,25.5,113.1
1969-70,ABA,INA,59,25,1,,84,241.5,42.5,97.4,.436,1.5,6.0,.247,41.0,91.4,.449,23.3,32.5,.717,,,54.4,20.5,,,18.0,26.5,109.8
1968-69,ABA,INA,44,34,1,,78,242.6,43.0,100.4,.429,1.8,6.5,.279,41.2,93.9,.439,27.7,37.7,.734,,,55.0,18.8,,,18.6,27.8,115.5
1967-68,ABA,INA,38,40,3,,78,241.6,42.4,100.6,.422,1.8,5.3,.338,40.6,95.2,.427,22.7,31.7,.715,,,53.0,16.1,,,16.5,25.8,109.4
