Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,LAC,47,25,2,,72,240.0,40.1,86.4,.464,11.6,32.5,.356,28.5,53.9,.529,16.1,20.7,.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8
2019-20,NBA,LAC,49,23,2,,72,241.4,39.5,90.2,.438,12.3,35.6,.345,27.2,54.6,.499,18.5,24.5,.756,10.7,34.6,45.3,23.7,7.5,4.7,14.1,22.9,109.9
2018-19,NBA,LAC,48,34,2,,82,241.8,41.7,91.3,.457,10.4,30.2,.343,31.4,61.1,.513,20.5,26.3,.777,11.3,34.5,45.7,24.1,8.3,6.1,13.2,24.0,114.3
2017-18,NBA,LAC,42,40,2,,82,240.3,40.2,87.7,.458,10.7,30.2,.356,29.5,57.5,.512,17.8,22.7,.782,10.6,33.0,43.6,24.6,8.5,5.6,14.1,22.0,109.0
2016-17,NBA,LAC,51,31,2,,82,240.9,38.6,85.4,.452,9.2,26.3,.350,29.4,59.1,.497,18.0,23.4,.772,10.2,32.9,43.1,23.1,7.0,3.1,13.2,22.4,104.4
2015-16,NBA,LAC,53,29,2,,82,241.8,36.8,84.7,.434,7.9,23.3,.338,28.9,61.4,.471,18.8,25.1,.751,11.8,34.9,46.7,21.2,7.1,3.2,15.4,22.5,100.2
2014-15,NBA,LAC,56,26,2,,82,240.6,36.4,82.3,.442,8.3,23.9,.349,28.1,58.4,.481,19.0,25.7,.741,10.6,32.3,42.9,23.2,6.7,3.0,14.3,21.5,100.1
2013-14,NBA,LAC,57,25,1,,82,240.9,37.4,84.9,.441,7.3,21.8,.332,30.2,63.0,.479,18.9,25.0,.755,12.3,31.4,43.7,23.3,7.0,3.5,15.4,23.4,101.0
2012-13,NBA,LAC,56,26,1,,82,240.6,34.6,78.0,.443,7.6,20.5,.373,26.9,57.5,.468,17.9,23.9,.749,10.9,28.2,39.1,22.1,7.4,4.1,16.1,20.9,94.6
2011-12,NBA,LAC,40,26,2,,66,241.9,34.5,77.2,.447,7.0,19.1,.365,27.6,58.1,.474,19.0,25.4,.746,10.8,29.0,39.8,20.7,6.0,4.5,14.6,21.2,95.0
2010-11,NBA,LAC,32,50,4,,82,242.1,37.1,81.6,.455,7.1,19.5,.365,30.0,62.1,.484,20.4,26.4,.771,11.1,29.4,40.5,22.3,8.0,4.9,13.7,22.1,101.8
2009-10,NBA,LAC,29,53,3,,82,240.3,38.9,82.8,.470,6.5,17.8,.363,32.5,65.1,.499,17.7,23.3,.762,10.7,30.4,41.1,23.5,8.4,4.4,12.9,19.4,102.1
2008-09,NBA,LAC,19,63,4,,82,242.4,39.2,83.0,.473,6.5,17.5,.375,32.7,65.5,.499,18.9,24.8,.760,11.7,32.4,44.1,23.8,8.0,5.0,13.3,19.6,103.9
2007-08,NBA,LAC,23,59,5,,82,241.5,38.0,81.3,.467,5.9,17.0,.349,32.0,64.4,.498,19.2,25.6,.751,11.2,32.4,43.6,22.4,7.2,4.7,13.6,21.6,101.1
2006-07,NBA,LAC,40,42,4,,82,240.6,35.5,78.5,.452,5.5,16.4,.339,30.0,62.1,.482,19.5,26.1,.748,10.3,29.0,39.3,21.0,7.1,3.9,13.8,22.3,96.1
2005-06,NBA,LAC,47,35,2,,82,241.5,35.2,81.0,.435,5.8,16.7,.347,29.4,64.3,.458,19.4,26.5,.732,10.5,29.7,40.1,21.5,7.0,4.3,12.8,21.7,95.6
2004-05,NBA,LAC,37,45,3,,82,244.3,35.8,80.7,.444,5.9,16.1,.368,29.9,64.6,.462,19.0,24.9,.762,12.0,27.5,39.5,21.1,7.8,4.8,13.7,23.6,96.5
