Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,LAL,42,30,3,,72,242.4,39.8,86.4,.460,11.4,32.2,.352,28.4,54.2,.524,15.9,20.5,.776,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8
2019-20,NBA,LAL,52,19,1,,71,240.7,39.1,87.1,.448,11.6,33.4,.349,27.4,53.7,.510,17.9,22.9,.781,9.4,32.9,42.3,23.4,8.2,3.7,15.9,21.7,107.6
2018-19,NBA,LAL,37,45,4,,82,241.2,41.9,92.8,.452,11.8,34.0,.349,30.1,58.9,.511,17.8,22.7,.784,11.3,35.6,46.9,25.0,8.3,5.1,14.2,20.8,113.5
2017-18,NBA,LAL,35,47,3,,82,242.7,41.0,89.9,.456,10.4,30.1,.346,30.6,59.8,.512,17.1,22.5,.761,10.2,34.6,44.8,23.6,8.3,5.5,14.3,20.5,109.6
2016-17,NBA,LAL,26,56,4,,82,240.3,41.5,86.0,.483,10.1,27.4,.370,31.4,58.6,.536,18.3,24.0,.762,10.3,34.2,44.4,25.7,8.5,5.4,14.5,18.5,111.5
2015-16,NBA,LAL,17,65,5,,82,240.6,40.5,85.6,.473,8.5,24.6,.347,32.0,61.1,.524,17.3,23.7,.731,10.9,35.5,46.5,24.7,7.5,5.6,12.6,19.2,106.9
2014-15,NBA,LAL,21,61,5,,82,243.0,38.8,83.1,.466,8.5,23.4,.363,30.3,59.7,.507,19.2,25.8,.745,10.0,34.1,44.2,24.0,7.5,4.8,13.0,19.4,105.3
2013-14,NBA,LAL,27,55,5,,82,240.3,42.0,89.6,.468,8.1,22.5,.361,33.8,67.2,.504,17.2,23.7,.727,13.0,36.0,49.0,25.8,9.6,4.7,14.2,19.3,109.2
2012-13,NBA,LAL,45,37,3,,82,240.9,39.7,87.6,.453,7.5,21.0,.357,32.2,66.6,.483,14.2,19.4,.732,11.5,31.1,42.7,23.4,8.5,4.8,12.9,23.1,101.0
2011-12,NBA,LAL,41,25,1,,66,243.4,37.8,86.4,.437,6.7,19.3,.348,31.0,67.1,.463,13.7,18.4,.742,11.5,29.5,41.0,21.9,8.4,4.6,11.3,20.2,95.9
2010-11,NBA,LAL,57,25,1,,82,241.8,36.7,84.0,.437,6.8,20.3,.335,29.9,63.7,.469,15.2,19.9,.765,12.2,29.3,41.5,22.3,7.1,4.5,13.6,20.7,95.4
2009-10,NBA,LAL,57,25,1,,82,241.8,37.2,83.4,.446,6.3,19.3,.328,30.9,64.1,.481,16.2,21.7,.750,11.1,31.0,42.2,21.9,7.0,4.4,14.1,21.2,97.0
2008-09,NBA,LAL,65,17,1,,82,241.2,37.2,83.2,.447,7.1,20.7,.345,30.0,62.5,.481,17.7,23.5,.753,11.7,29.8,41.5,22.6,7.7,4.8,15.5,22.1,99.3
2007-08,NBA,LAL,57,25,1,,82,241.2,38.1,85.6,.445,6.8,18.7,.362,31.4,67.0,.469,18.3,24.3,.752,12.0,30.7,42.8,21.9,7.7,4.5,14.2,22.6,101.3
2006-07,NBA,LAL,42,40,2,,82,244.3,37.8,81.9,.461,6.4,17.8,.358,31.4,64.1,.490,21.5,28.3,.760,11.6,30.6,42.2,21.9,7.9,5.0,14.7,23.4,103.4
2005-06,NBA,LAL,45,37,3,,82,242.1,35.9,79.8,.450,5.8,16.4,.353,30.1,63.5,.475,19.3,25.9,.747,10.9,29.3,40.1,21.1,6.5,4.3,14.1,23.5,96.9
2004-05,NBA,LAL,34,48,4,,82,241.2,38.3,84.5,.453,6.7,18.6,.361,31.6,65.9,.479,18.4,23.5,.780,12.5,29.9,42.4,24.4,7.6,5.1,11.8,22.1,101.7
2003-04,NBA,LAL,56,26,1,,82,242.1,35.6,81.0,.440,5.1,15.2,.337,30.5,65.8,.464,18.0,24.0,.749,11.2,31.2,42.4,20.8,7.5,3.8,15.3,24.7,94.3
2002-03,NBA,LAL,50,32,2,,82,243.0,36.3,82.0,.443,5.7,14.9,.380,30.6,67.1,.456,19.8,26.0,.760,11.7,30.4,42.1,21.4,7.9,3.8,14.5,23.4,98.0
2001-02,NBA,LAL,58,24,2,,82,241.2,35.0,82.6,.424,4.9,15.4,.317,30.2,67.3,.448,19.2,25.3,.761,12.4,30.8,43.2,20.0,7.2,4.3,14.0,23.0,94.1
