Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,MEM,38,34,2,,72,241.7,41.0,88.7,.462,12.9,35.1,.367,28.2,53.6,.525,17.4,22.1,.788,9.8,34.9,44.7,25.4,7.7,5.2,14.8,18.3,112.3
2019-20,NBA,MEM,34,39,3,,73,240.7,40.6,90.3,.450,12.9,35.3,.365,27.7,55.0,.504,19.6,25.0,.782,10.4,34.5,44.9,24.8,8.0,5.3,14.8,20.2,113.7
2018-19,NBA,MEM,33,49,3,,82,242.4,37.6,83.4,.451,11.6,32.2,.360,26.0,51.2,.508,19.3,24.7,.784,9.5,35.2,44.7,23.4,7.6,4.9,15.2,21.4,106.1
2017-18,NBA,MEM,22,60,5,,82,240.3,37.1,80.3,.462,10.7,29.0,.368,26.5,51.3,.516,20.6,26.8,.769,9.5,33.0,42.5,22.1,8.1,5.1,14.8,20.4,105.5
2016-17,NBA,MEM,43,39,3,,82,242.7,34.9,78.8,.443,9.9,28.0,.354,25.0,50.8,.492,20.2,26.9,.753,9.3,32.8,42.1,20.1,7.0,5.0,14.3,20.8,100.0
2015-16,NBA,MEM,42,40,3,,82,241.8,35.9,78.8,.456,9.7,26.6,.365,26.2,52.1,.503,19.7,25.7,.768,10.1,33.1,43.2,21.9,7.0,5.7,16.2,21.1,101.3
2014-15,NBA,MEM,55,27,2,,82,242.7,36.0,81.5,.442,8.1,23.0,.351,27.9,58.5,.478,14.9,20.1,.742,10.5,31.9,42.4,20.1,7.4,5.2,15.3,20.3,95.1
2013-14,NBA,MEM,50,32,3,,82,241.5,35.7,79.3,.450,7.5,21.1,.355,28.2,58.2,.484,15.8,20.6,.766,9.9,29.3,39.2,19.9,7.2,5.0,14.2,18.9,94.6
2012-13,NBA,MEM,56,26,2,,82,241.5,33.5,77.0,.435,6.1,18.2,.338,27.4,58.8,.465,16.1,21.5,.748,10.3,28.8,39.1,19.5,7.3,5.5,15.5,20.0,89.3
2011-12,NBA,MEM,41,25,2,,66,241.5,34.5,77.8,.444,6.3,18.3,.345,28.2,59.4,.474,17.6,23.1,.764,11.0,29.6,40.7,19.3,7.8,5.5,17.1,19.3,93.0
2010-11,NBA,MEM,46,36,4,,82,242.4,36.2,79.1,.457,7.2,19.4,.369,29.0,59.7,.486,18.1,23.8,.761,11.0,29.1,40.1,21.0,7.5,6.2,16.7,21.4,97.6
2009-10,NBA,MEM,40,42,4,,82,242.7,40.0,83.5,.478,7.0,19.7,.354,33.0,63.8,.517,17.1,22.7,.755,11.1,28.6,39.7,22.9,7.7,6.1,14.2,22.4,104.0
2008-09,NBA,MEM,24,58,5,,82,241.5,36.8,77.8,.473,6.5,18.4,.355,30.3,59.4,.510,19.2,24.9,.770,10.3,29.6,39.9,21.2,7.7,5.4,14.6,21.8,99.3
2007-08,NBA,MEM,22,60,5,,82,241.5,41.4,86.3,.480,7.2,19.8,.364,34.2,66.5,.514,16.9,21.8,.774,11.4,33.2,44.5,23.9,8.7,4.9,13.4,22.5,106.9
2006-07,NBA,MEM,22,60,5,,82,243.7,40.1,82.5,.486,7.0,18.0,.389,33.1,64.4,.513,19.5,25.8,.759,11.8,30.3,42.0,25.1,8.3,5.5,15.3,24.3,106.7
2005-06,NBA,MEM,49,33,3,,82,242.1,32.8,75.3,.436,5.0,14.9,.334,27.8,60.4,.461,17.9,23.7,.754,11.3,29.3,40.6,19.6,7.3,5.6,14.8,22.8,88.5
2004-05,NBA,MEM,45,37,4,,82,240.3,32.7,75.8,.432,5.2,14.8,.351,27.5,61.0,.452,20.5,26.6,.771,12.1,29.1,41.2,19.9,7.5,5.8,15.9,22.6,91.1
2003-04,NBA,MEM,50,32,4,,82,242.4,34.9,79.9,.436,4.5,13.3,.338,30.4,66.6,.456,20.0,26.2,.764,13.4,30.6,44.0,20.4,8.2,5.6,17.0,23.1,94.3
2002-03,NBA,MEM,28,54,6,,82,243.0,39.3,85.5,.460,5.3,14.5,.363,34.1,71.0,.480,16.8,22.2,.759,13.7,31.2,44.9,24.3,8.7,5.2,14.8,21.7,100.7
2001-02,NBA,MEM,23,59,7,,82,241.2,38.0,83.3,.457,4.9,13.6,.358,33.2,69.7,.476,16.4,21.8,.753,13.8,31.2,45.1,23.9,9.5,5.6,14.7,21.8,97.3
2000-01,NBA,VAN,23,59,7,,82,241.2,38.3,82.8,.463,4.7,13.1,.362,33.6,69.7,.482,16.1,21.9,.732,12.8,30.9,43.7,23.6,8.7,5.8,14.8,21.6,97.5
1999-00,NBA,VAN,22,60,7,,82,242.1,38.2,80.6,.474,4.4,13.2,.333,33.8,67.4,.502,18.7,24.3,.769,11.8,28.5,40.3,23.6,8.8,6.3,15.0,23.3,99.5
1998-99,NBA,VAN,8,42,7,,50,243.5,36.3,78.3,.463,4.6,13.1,.351,31.7,65.3,.485,20.4,28.0,.729,13.5,29.1,42.6,23.8,9.8,6.6,15.6,23.3,97.5
1997-98,NBA,VAN,19,63,6,,82,241.8,39.4,82.9,.475,5.2,13.5,.385,34.2,69.3,.493,19.9,27.2,.732,14.0,28.7,42.7,25.6,10.2,6.6,14.2,22.3,103.9
1996-97,NBA,VAN,14,68,7,,82,241.2,37.7,80.0,.472,6.1,16.7,.365,31.6,63.3,.500,17.9,24.6,.727,14.7,29.6,44.3,24.1,8.8,5.6,15.3,19.4,99.4
1995-96,NBA,VAN,15,67,7,,82,242.4,37.6,79.1,.475,5.6,15.0,.374,32.0,64.1,.498,19.0,26.0,.733,13.4,31.1,44.5,24.2,8.5,5.8,17.4,21.8,99.8
