Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,MEM,38,34,2,,24.2,6-6,217,,72,241.7,42.8,91.8,.467,11.2,31.4,.356,31.7,60.4,.525,16.4,21.3,.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3
2019-20,NBA,MEM,34,39,3,,24.1,6-6,220,,73,240.7,42.5,90.9,.468,10.9,31.5,.347,31.6,59.4,.532,16.6,21.8,.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6
2018-19,NBA,MEM,33,49,3,,27.7,6-7,213,,82,242.4,38.0,84.4,.450,9.9,28.9,.342,28.1,55.6,.505,17.7,23.0,.772,8.8,33.0,41.8,23.9,8.3,5.5,14.0,22.0,103.5
2017-18,NBA,MEM,22,60,5,,26.0,6-7,220,,82,240.3,36.7,82.8,.444,9.2,26.2,.352,27.5,56.5,.486,16.6,21.1,.786,9.5,31.0,40.5,21.5,7.5,4.8,15.0,23.2,99.3
2016-17,NBA,MEM,43,39,3,,29.5,6-7,221,,82,242.7,36.4,83.6,.435,9.4,26.5,.354,27.0,57.1,.473,18.3,23.4,.784,10.8,32.0,42.8,21.3,8.0,4.2,12.9,22.4,100.5
2015-16,NBA,MEM,42,40,3,,30.5,6-6,221,,82,241.8,36.8,83.6,.440,6.1,18.5,.331,30.7,65.1,.471,19.3,24.7,.783,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1
2014-15,NBA,MEM,55,27,2,,29.6,6-7,225,,82,242.7,37.8,82.5,.458,5.2,15.2,.339,32.6,67.3,.485,17.6,22.8,.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3
2013-14,NBA,MEM,50,32,3,,28.5,6-7,225,,82,241.5,38.1,82.0,.464,4.9,14.0,.353,33.1,68.0,.487,15.1,20.3,.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1
2012-13,NBA,MEM,56,26,2,,27.0,6-6,223,,82,241.5,36.1,81.5,.444,4.7,13.5,.345,31.5,68.0,.463,16.5,21.3,.773,12.9,29.8,42.7,20.9,8.6,5.3,14.0,20.2,93.4
2011-12,NBA,MEM,41,25,2,,25.6,6-6,225,,66,241.5,36.7,82.2,.447,4.2,12.9,.326,32.5,69.3,.470,17.3,22.8,.759,12.6,29.5,42.0,19.5,9.6,5.2,14.5,19.9,95.0
2010-11,NBA,MEM,46,36,4,,25.2,6-6,224,,82,242.4,39.0,82.9,.471,3.8,11.3,.334,35.3,71.6,.492,18.1,24.2,.750,11.8,29.2,41.0,20.6,9.4,5.4,14.0,20.8,99.9
2009-10,NBA,MEM,40,42,4,,24.1,6-7,226,,82,242.7,39.3,83.8,.469,4.2,12.4,.337,35.1,71.4,.492,19.7,26.9,.733,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2,102.5
2008-09,NBA,MEM,24,58,5,,23.3,6-6,217,,82,241.5,34.9,77.0,.454,4.9,13.5,.360,30.1,63.5,.474,19.1,25.3,.756,10.3,28.5,38.8,17.4,7.5,4.7,15.3,21.7,93.9
2007-08,NBA,MEM,22,60,5,,24.5,6-6,211,,82,241.5,37.3,82.2,.454,7.6,21.7,.349,29.8,60.5,.492,18.5,25.6,.723,10.3,31.3,41.6,19.2,6.1,4.7,15.3,19.4,100.7
2006-07,NBA,MEM,22,60,5,,26.2,6-6,210,,82,243.7,36.6,78.6,.465,6.1,16.6,.367,30.5,62.0,.491,22.4,29.4,.761,10.6,29.0,39.5,20.5,6.9,5.0,16.4,22.3,101.6
2005-06,NBA,MEM,49,33,3,,28.1,6-7,211,,82,242.1,33.5,74.7,.448,7.2,19.2,.374,26.3,55.5,.474,18.0,25.3,.711,10.2,29.0,39.2,19.3,7.3,5.4,13.8,21.4,92.2
2004-05,NBA,MEM,45,37,4,,26.3,6-7,217,,82,240.3,34.2,76.5,.447,6.5,18.1,.357,27.7,58.4,.475,18.6,24.7,.754,10.8,28.1,39.0,20.9,8.5,5.8,14.6,23.3,93.4
2003-04,NBA,MEM,50,32,4,,26.0,6-7,215,,82,242.4,36.1,81.2,.445,5.5,16.0,.340,30.7,65.2,.471,19.0,26.1,.727,12.8,29.0,41.8,23.4,9.7,6.9,15.0,23.2,96.7
2002-03,NBA,MEM,28,54,6,,24.9,6-7,212,,82,243.0,37.2,82.2,.452,5.7,15.6,.365,31.5,66.6,.473,17.4,23.6,.739,11.5,30.1,41.6,23.1,7.9,6.1,15.4,20.5,97.5
2001-02,NBA,MEM,23,59,7,,25.5,6-6,211,,82,241.2,34.8,79.7,.436,4.1,13.4,.307,30.7,66.3,.462,16.3,23.0,.708,12.0,29.4,41.4,21.8,7.9,6.0,16.4,19.2,89.9
2000-01,NBA,VAN,23,59,7,,26.2,6-6,215,,82,241.2,35.0,79.7,.439,4.0,11.5,.343,31.0,68.2,.455,17.8,23.1,.770,10.9,29.6,40.5,23.2,7.1,4.4,15.7,21.1,91.7
1999-00,NBA,VAN,22,60,7,,25.3,6-6,217,,82,242.1,35.3,78.5,.449,4.0,11.0,.361,31.3,67.6,.463,19.4,25.1,.774,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9,93.9
1998-99,NBA,VAN,8,42,7,,25.0,6-6,216,,50,243.5,32.9,76.8,.428,3.0,9.1,.327,29.9,67.7,.442,20.2,28.2,.717,13.0,27.2,40.2,19.3,8.4,4.0,17.0,22.5,88.9
1997-98,NBA,VAN,19,63,6,,26.5,6-7,219,,82,241.8,36.7,80.1,.458,4.0,11.0,.362,32.7,69.1,.473,19.3,26.2,.739,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6
1996-97,NBA,VAN,14,68,7,,25.0,6-6,216,,82,241.2,34.4,78.7,.437,5.4,15.5,.349,29.0,63.2,.458,15.0,21.1,.709,12.5,26.3,38.8,22.7,8.0,5.7,15.9,21.4,89.2
1995-96,NBA,VAN,15,67,7,,27.2,6-6,215,,82,242.4,33.8,79.1,.428,4.5,13.8,.329,29.3,65.3,.448,17.6,24.4,.724,11.7,26.5,38.1,20.8,8.9,4.1,16.4,22.6,89.8
