Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,MIA,40,32,2,,72,241.4,39.1,85.2,.459,14.3,39.1,.365,24.8,46.2,.538,15.6,19.9,.782,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0
2019-20,NBA,MIA,44,29,1,,73,243.1,38.8,86.7,.448,13.1,37.7,.347,25.7,48.9,.525,18.4,23.6,.783,9.2,33.3,42.5,24.6,7.5,4.1,14.0,21.7,109.1
2018-19,NBA,MIA,39,43,3,,82,240.6,38.3,86.8,.441,11.9,33.1,.358,26.4,53.6,.493,17.5,22.7,.769,10.1,34.0,44.2,23.3,7.5,4.7,14.1,20.1,105.9
2017-18,NBA,MIA,44,38,1,,82,243.0,37.7,83.8,.450,9.6,26.6,.360,28.1,57.2,.491,18.0,23.0,.783,9.1,34.0,43.1,21.0,7.5,4.6,14.1,19.4,102.9
2016-17,NBA,MIA,41,41,3,,82,241.2,37.9,84.2,.450,7.8,22.7,.343,30.1,61.5,.490,18.5,23.7,.782,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1
2015-16,NBA,MIA,48,34,1,,82,241.8,37.2,84.3,.442,7.4,21.2,.347,29.9,63.1,.474,16.5,21.5,.770,9.8,31.5,41.3,20.2,7.5,4.1,12.9,19.6,98.4
2014-15,NBA,MIA,37,45,3,,82,240.6,36.1,79.5,.454,8.1,23.0,.353,28.0,56.5,.495,17.0,23.2,.730,10.9,30.1,41.0,21.3,7.9,4.4,14.8,20.9,97.3
2013-14,NBA,MIA,54,28,1,,82,242.4,36.1,79.0,.457,8.5,23.4,.362,27.6,55.6,.497,16.8,22.3,.750,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4
2012-13,NBA,MIA,66,16,1,,82,242.4,35.6,80.9,.440,7.6,21.7,.350,28.0,59.1,.473,16.2,21.2,.766,11.2,28.9,40.1,20.2,7.9,3.2,15.6,20.4,95.0
2011-12,NBA,MIA,46,20,1,,66,243.0,34.6,79.8,.434,7.3,20.0,.363,27.4,59.8,.457,16.0,22.1,.725,11.0,28.7,39.8,19.7,8.3,4.2,16.8,20.5,92.5
2010-11,NBA,MIA,58,24,1,,82,241.2,35.0,80.7,.434,6.7,19.3,.345,28.3,61.3,.462,18.0,24.1,.744,10.5,28.6,39.2,20.1,7.0,3.0,13.2,21.8,94.6
2009-10,NBA,MIA,47,35,3,,82,242.4,34.3,78.1,.439,6.4,18.7,.342,27.9,59.5,.469,19.2,25.5,.754,10.4,30.3,40.7,18.8,6.3,4.3,14.4,20.0,94.2
2008-09,NBA,MIA,43,39,3,,82,243.4,35.6,78.2,.455,7.2,18.5,.389,28.4,59.7,.476,19.6,25.4,.771,10.9,30.9,41.9,20.1,6.4,4.1,15.2,19.9,98.0
2007-08,NBA,MIA,15,67,5,,82,241.8,36.9,79.0,.468,6.7,18.3,.369,30.2,60.7,.497,19.4,25.7,.755,11.2,31.9,43.1,22.2,7.7,4.2,14.2,20.1,100.0
2006-07,NBA,MIA,44,38,1,,82,242.1,35.3,79.5,.444,6.5,18.2,.355,28.8,61.2,.471,18.5,24.9,.742,11.2,30.1,41.3,20.2,6.9,3.8,14.5,21.8,95.5
