Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,MIA,40,32,2,,27.4,6-6,217,,72,241.4,39.2,83.7,.468,12.9,36.2,.358,26.3,47.5,.553,16.7,21.1,.790,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1
2019-20,NBA,MIA,44,29,1,,25.9,6-6,221,,73,243.1,39.5,84.4,.468,13.4,35.4,.379,26.0,49.0,.532,19.7,25.2,.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0
2018-19,NBA,MIA,39,43,3,,27.0,6-7,221,,82,240.6,39.6,88.0,.450,11.3,32.4,.349,28.3,55.6,.509,15.1,21.7,.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7
2017-18,NBA,MIA,44,38,1,,26.5,6-6,217,,82,243.0,38.8,85.3,.455,11.0,30.6,.360,27.8,54.8,.508,14.7,19.5,.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4
2016-17,NBA,MIA,41,41,3,,26.5,6-6,218,,82,241.2,39.0,85.8,.455,9.9,27.0,.365,29.2,58.8,.496,15.2,21.6,.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2
2015-16,NBA,MIA,48,34,1,,28.4,6-7,221,,82,241.8,38.4,81.7,.470,6.1,18.0,.336,32.3,63.6,.508,17.1,23.0,.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100.0
2014-15,NBA,MIA,37,45,3,,28.5,6-6,212,,82,240.6,35.2,77.2,.456,6.8,20.2,.335,28.4,57.0,.499,17.5,23.7,.741,9.1,30.0,39.1,19.8,7.8,4.5,14.8,20.0,94.7
2013-14,NBA,MIA,54,28,1,,30.6,6-6,215,,82,242.4,38.3,76.5,.501,8.1,22.3,.364,30.2,54.2,.558,17.5,23.0,.760,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2
2012-13,NBA,MIA,66,16,1,,30.3,6-6,216,,82,242.4,38.4,77.4,.496,8.7,22.1,.396,29.6,55.4,.536,17.4,23.0,.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9
2011-12,NBA,MIA,46,20,1,,28.3,6-6,221,,66,243.0,37.1,79.0,.469,5.6,15.6,.359,31.5,63.4,.496,18.8,24.2,.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5
2010-11,NBA,MIA,58,24,1,,29.0,6-7,223,,82,241.2,37.0,76.8,.481,6.7,18.0,.370,30.3,58.8,.515,21.5,27.9,.769,9.6,32.5,42.1,20.0,6.6,5.2,13.9,20.4,102.1
2009-10,NBA,MIA,47,35,3,,27.1,6-6,217,,82,242.4,36.4,79.5,.458,6.0,17.4,.346,30.4,62.1,.489,17.7,23.5,.752,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,96.5
2008-09,NBA,MIA,43,39,3,,25.6,6-6,217,,82,243.4,37.0,81.0,.457,7.1,19.9,.357,29.9,61.2,.489,17.2,22.8,.754,10.1,29.4,39.5,20.4,7.9,5.5,12.5,20.7,98.3
2007-08,NBA,MIA,15,67,5,,27.4,6-6,216,,82,241.8,34.2,77.3,.443,6.0,16.7,.358,28.3,60.5,.467,16.9,23.2,.727,9.1,28.6,37.6,20.0,7.2,4.3,14.7,20.4,91.4
2006-07,NBA,MIA,44,38,1,,29.3,6-6,220,,82,242.1,35.6,76.7,.464,6.4,18.8,.343,29.2,57.9,.503,17.0,24.6,.690,10.0,30.8,40.8,20.5,6.9,5.4,14.6,21.3,94.6
2005-06,NBA,MIA,52,30,1,,29.2,6-6,223,,82,240.9,37.1,77.5,.478,6.1,17.6,.345,31.0,59.9,.517,19.7,28.2,.700,10.5,32.6,43.1,20.6,6.4,5.4,14.5,22.8,99.9
2004-05,NBA,MIA,59,23,1,,28.0,6-7,225,,82,243.7,37.8,77.7,.486,5.8,15.4,.377,32.0,62.3,.513,20.2,30.1,.672,10.8,32.2,43.0,21.8,6.4,5.8,13.7,22.1,101.5
