Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,MIL,46,26,1,,72,240.7,42.4,92.9,.456,14.8,38.6,.384,27.6,54.3,.507,14.6,18.8,.780,9.6,33.8,43.4,25.1,7.0,4.8,13.2,18.3,114.2
2019-20,NBA,MIL,56,17,1,,73,241.0,38.9,94.0,.414,14.0,39.3,.355,25.0,54.7,.457,16.7,21.2,.787,9.5,36.3,45.8,24.2,7.4,4.5,14.1,21.7,108.6
2018-19,NBA,MIL,60,22,1,,82,241.2,40.5,93.5,.433,13.1,36.3,.361,27.4,57.2,.479,15.1,20.7,.733,9.9,35.4,45.3,24.8,6.8,4.8,13.4,20.2,109.3
2017-18,NBA,MIL,44,38,3,,82,241.8,39.1,83.7,.468,10.1,27.1,.372,29.0,56.6,.513,18.4,23.5,.783,10.0,32.8,42.7,23.6,7.1,4.5,15.6,19.9,106.8
2016-17,NBA,MIL,42,40,2,,82,241.2,38.0,83.0,.458,10.0,28.2,.353,28.0,54.8,.512,17.9,23.2,.771,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8
2015-16,NBA,MIL,33,49,5,,82,241.8,37.8,83.1,.454,9.3,26.5,.352,28.4,56.7,.502,18.4,23.9,.768,11.5,31.5,43.0,24.5,8.3,5.6,15.5,19.5,103.2
2014-15,NBA,MIL,41,41,3,,82,243.0,35.6,81.5,.437,8.2,24.1,.342,27.3,57.4,.476,18.0,24.3,.742,11.4,31.4,42.9,22.3,8.6,4.8,17.4,20.1,97.4
2013-14,NBA,MIL,15,67,5,,82,242.4,38.4,82.0,.468,8.5,22.3,.382,29.9,59.7,.500,18.4,24.5,.751,11.7,31.8,43.5,22.8,7.8,5.0,14.1,20.6,103.7
2012-13,NBA,MIL,38,44,3,,82,241.8,38.4,84.7,.454,6.5,18.5,.348,32.0,66.2,.483,17.0,22.5,.759,12.4,33.6,46.0,23.1,8.0,4.4,16.0,19.1,100.4
2011-12,NBA,MIL,31,35,3,,66,240.4,37.1,82.6,.449,6.6,18.9,.351,30.5,63.7,.478,17.9,23.3,.769,12.3,32.4,44.7,21.7,7.6,4.5,15.9,19.4,98.7
2010-11,NBA,MIL,35,47,3,,82,241.8,34.6,77.3,.447,5.3,16.0,.334,29.2,61.4,.476,18.3,23.7,.770,10.2,32.1,42.3,20.2,6.2,4.8,15.2,20.7,92.7
2009-10,NBA,MIL,46,36,2,,82,243.7,35.0,77.6,.451,5.3,15.6,.343,29.7,62.0,.478,20.6,27.0,.765,9.6,33.2,42.8,19.3,7.0,5.1,15.3,20.3,96.0
2008-09,NBA,MIL,34,48,5,,82,241.2,34.8,76.0,.458,6.9,18.1,.378,28.0,57.9,.483,23.9,30.2,.791,10.1,30.8,41.0,21.1,7.5,4.6,16.5,22.5,100.4
2007-08,NBA,MIL,26,56,5,,82,242.1,38.4,80.0,.480,7.2,18.7,.384,31.2,61.4,.509,20.0,26.1,.766,10.6,30.0,40.7,23.3,7.9,4.9,13.7,21.1,103.9
2006-07,NBA,MIL,28,54,5,,82,242.1,39.0,81.4,.480,6.9,18.7,.368,32.1,62.6,.513,19.1,25.7,.742,13.0,30.1,43.0,25.3,7.5,5.3,15.7,21.0,104.0
2005-06,NBA,MIL,40,42,5,,82,242.1,36.2,77.8,.466,6.0,16.9,.354,30.3,61.0,.497,20.4,27.3,.747,10.1,30.2,40.3,22.5,7.4,5.0,14.4,23.6,98.8
2004-05,NBA,MIL,30,52,5,,82,241.2,37.8,81.4,.464,5.6,16.5,.343,32.1,65.0,.494,19.0,24.7,.771,11.4,29.4,40.8,23.8,7.5,4.5,13.0,23.8,100.2
2003-04,NBA,MIL,41,41,4,,82,241.2,37.0,81.9,.452,5.6,15.8,.352,31.4,66.1,.475,17.4,23.6,.739,12.0,30.7,42.7,22.8,7.5,5.0,14.2,22.9,97.0
2002-03,NBA,MIL,42,40,4,,82,242.7,37.1,81.0,.458,5.8,15.6,.375,31.3,65.4,.478,19.2,25.8,.745,12.5,31.0,43.4,23.1,6.6,4.1,14.4,20.5,99.3
2001-02,NBA,MIL,41,41,5,,82,242.7,36.8,83.5,.441,6.0,16.8,.358,30.8,66.7,.461,18.2,24.0,.757,12.8,29.7,42.5,23.0,7.3,4.4,12.9,20.0,97.7
2000-01,NBA,MIL,52,30,1,,82,241.2,35.5,80.8,.439,5.4,15.2,.352,30.2,65.6,.460,20.5,26.7,.768,12.4,30.4,42.7,23.0,7.2,4.3,15.5,21.7,96.9
1999-00,NBA,MIL,42,40,5,,82,242.1,37.0,81.0,.457,6.5,16.5,.391,30.5,64.5,.473,20.5,27.3,.752,12.6,28.9,41.5,24.2,7.8,4.1,15.9,22.8,101.0
1998-99,NBA,MIL,28,22,4,,50,241.0,32.0,74.9,.427,5.4,16.3,.334,26.6,58.6,.453,20.6,27.4,.752,13.1,28.0,41.1,20.4,8.0,3.9,16.6,20.4,90.0
1997-98,NBA,MIL,36,46,7,,82,243.0,35.5,77.1,.461,3.7,11.3,.327,31.8,65.7,.484,21.7,29.2,.743,12.2,27.6,39.8,21.3,9.3,4.9,16.4,22.0,96.4
1996-97,NBA,MIL,33,49,7,,82,240.6,36.6,77.5,.472,4.5,13.2,.342,32.1,64.3,.499,19.6,26.8,.731,11.9,27.5,39.4,22.2,8.4,4.8,14.6,21.7,97.2
1995-96,NBA,MIL,25,57,7,,82,240.6,37.6,78.3,.480,6.3,15.8,.397,31.3,62.5,.501,19.4,26.7,.725,12.2,28.1,40.3,23.7,7.9,4.5,14.8,21.4,100.9
1994-95,NBA,MIL,34,48,6,,82,242.1,39.6,80.4,.493,6.0,15.1,.395,33.6,65.2,.516,18.5,25.4,.729,12.4,28.5,40.9,25.6,9.4,5.0,16.6,24.1,103.7
1993-94,NBA,MIL,20,62,6,,82,240.3,39.7,80.8,.491,3.5,9.6,.362,36.2,71.2,.509,20.5,27.9,.737,13.2,30.4,43.7,25.5,9.4,5.1,17.3,21.7,103.4
1992-93,NBA,MIL,28,54,7,,82,240.6,40.3,83.5,.483,3.3,9.5,.344,37.0,73.9,.501,22.2,29.7,.748,15.5,29.2,44.7,25.5,9.4,5.6,18.0,22.1,106.1
1991-92,NBA,MIL,31,51,6,,82,242.4,42.0,84.3,.498,2.7,7.4,.367,39.3,76.9,.511,20.0,26.8,.746,14.3,28.3,42.5,25.8,8.9,5.8,17.3,21.7,106.7
1990-91,NBA,MIL,48,34,3,,82,242.1,40.1,82.6,.486,2.3,7.0,.329,37.8,75.6,.500,21.4,28.2,.759,13.5,28.2,41.7,24.7,8.6,5.6,18.7,23.3,104.0
1989-90,NBA,MIL,44,38,3,,82,241.8,40.1,83.8,.479,2.2,6.9,.321,37.9,76.9,.493,24.3,31.3,.774,14.1,29.3,43.5,24.7,8.4,5.4,18.4,22.9,106.8
1988-89,NBA,MIL,49,33,4,,82,240.9,40.3,84.2,.478,2.4,6.5,.368,37.9,77.7,.488,22.4,28.9,.776,13.3,28.5,41.8,25.7,8.6,5.2,18.6,23.6,105.3
1987-88,NBA,MIL,42,40,4,,82,241.2,40.8,86.1,.473,1.6,5.4,.301,39.2,80.7,.485,22.3,29.4,.760,14.3,29.3,43.6,26.0,7.6,5.5,16.4,23.8,105.5
1986-87,NBA,MIL,50,32,3,,82,241.2,39.6,84.2,.470,1.5,5.1,.289,38.1,79.2,.482,25.8,34.1,.757,14.5,30.2,44.7,24.6,8.0,5.6,18.9,24.7,106.5
1985-86,NBA,MIL,57,25,1,,82,241.5,40.1,85.9,.467,1.2,4.0,.295,38.9,81.9,.475,24.1,32.6,.740,14.3,28.4,42.6,23.8,7.7,4.8,19.9,26.1,105.5
1984-85,NBA,MIL,59,23,1,,82,241.5,39.2,85.0,.461,1.0,3.8,.260,38.2,81.3,.470,24.6,32.9,.748,15.1,28.0,43.0,23.2,7.8,4.7,19.0,25.7,104.0
1983-84,NBA,MIL,50,32,1,,82,242.7,39.1,85.8,.456,0.5,2.5,.207,38.6,83.3,.463,22.8,30.4,.751,15.3,27.3,42.5,23.9,8.0,3.9,17.1,25.5,101.5
1982-83,NBA,MIL,51,31,1,,82,241.8,40.7,89.2,.456,0.5,2.5,.182,40.2,86.7,.464,20.3,27.4,.742,15.9,28.6,44.5,24.9,7.6,3.7,18.6,26.2,102.2
1981-82,NBA,MIL,55,27,1,,82,241.5,40.2,86.2,.467,0.7,2.7,.254,39.5,83.4,.474,21.8,30.1,.725,14.3,26.3,40.6,24.6,8.8,4.3,18.8,26.7,102.9
1980-81,NBA,MIL,60,22,1,,82,240.9,40.4,88.0,.459,0.4,2.4,.176,40.0,85.6,.467,24.7,32.9,.749,15.4,26.9,42.4,24.8,9.0,4.9,20.4,25.0,105.9
1979-80,NBA,MIL,49,33,1,,82,241.5,42.1,91.3,.462,0.9,3.7,.249,41.2,87.6,.471,20.9,27.7,.753,16.6,28.0,44.5,26.3,8.7,4.4,20.0,23.3,106.1
1978-79,NBA,MIL,38,44,3,,82,242.4,44.8,91.5,.490,,,,44.8,91.5,.490,22.2,29.5,.753,15.0,29.7,44.7,28.1,9.3,5.6,21.3,23.5,111.8
1977-78,NBA,MIL,44,38,2,,82,243.7,45.3,94.2,.481,,,,45.3,94.2,.481,22.3,29.3,.762,15.0,31.9,47.0,27.4,9.6,5.7,21.7,24.6,113.0
1976-77,NBA,MIL,30,52,6,,82,240.3,45.3,94.5,.479,,,,45.3,94.5,.479,21.0,28.4,.739,15.4,31.9,47.3,26.7,9.0,5.0,20.0,23.7,111.5
1975-76,NBA,MIL,38,44,1,,82,241.8,41.5,93.0,.446,,,,41.5,93.0,.446,20.3,26.6,.763,15.0,31.8,46.7,23.1,8.3,4.0,18.3,22.3,103.3
1974-75,NBA,MIL,38,44,4,,82,241.5,41.1,92.7,.444,,,,41.1,92.7,.444,18.2,23.3,.783,14.1,32.3,46.3,23.9,8.0,3.6,16.8,20.8,100.5
1973-74,NBA,MIL,59,23,1,,82,240.9,40.4,95.1,.425,,,,40.4,95.1,.425,18.3,24.0,.761,15.5,30.3,45.8,23.3,8.8,3.8,19.0,20.8,99.0
1972-73,NBA,MIL,60,22,1,,82,240.9,41.3,97.9,.422,,,,41.3,97.9,.422,16.4,21.7,.754,,,47.8,23.2,,,,19.5,99.0
1971-72,NBA,MIL,63,19,1,,82,241.2,41.1,97.9,.420,,,,41.1,97.9,.420,21.3,28.8,.740,,,47.8,22.5,,,,21.8,103.5
1970-71,NBA,MIL,66,16,1,,82,241.2,42.5,100.3,.424,,,,42.5,100.3,.424,21.1,28.3,.744,,,48.8,23.5,,,,21.6,106.2
1969-70,NBA,MIL,56,26,2,,82,241.2,,,,,,,,,,,,,,,,,,,,,114.2
1968-69,NBA,MIL,27,55,7,,82,240.0,,,,,,,,,,,,,,,,,,,,,115.4
