Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,MIN,23,49,4,,72,241.7,43.0,89.3,.482,13.1,33.5,.392,29.9,55.8,.536,18.5,23.5,.786,10.0,35.8,45.8,26.8,7.6,5.5,15.3,19.9,117.7
2019-20,NBA,MIN,19,45,5,,64,243.1,43.1,90.4,.477,11.6,31.9,.363,31.6,58.5,.539,19.7,25.2,.783,10.1,37.2,47.3,24.4,7.8,5.5,15.5,21.6,117.5
2018-19,NBA,MIN,36,46,5,,82,241.8,42.1,90.1,.467,12.7,33.6,.378,29.4,56.5,.520,17.1,22.3,.767,11.2,34.4,45.6,26.2,6.6,5.5,14.7,21.9,114.0
2017-18,NBA,MIN,47,35,4,,82,241.5,40.2,84.7,.475,10.9,29.6,.366,29.4,55.0,.534,16.0,20.5,.779,9.8,32.0,41.8,23.9,6.5,4.7,15.1,20.9,107.3
2016-17,NBA,MIN,31,51,5,,82,241.5,39.6,83.3,.475,9.9,27.0,.366,29.7,56.3,.528,17.6,22.9,.768,9.8,30.6,40.4,23.1,7.7,5.0,14.3,20.5,106.7
2015-16,NBA,MIN,29,53,5,,82,242.4,40.0,84.9,.471,9.0,25.5,.355,30.9,59.4,.520,17.0,22.5,.757,10.7,31.2,41.9,22.6,7.8,5.2,14.9,21.6,106.0
2014-15,NBA,MIN,16,66,5,,82,241.5,41.1,84.5,.487,8.5,23.1,.367,32.6,61.4,.531,15.8,20.8,.759,11.6,31.9,43.6,23.6,8.4,5.5,15.2,21.4,106.5
2013-14,NBA,MIN,40,42,3,,82,242.1,40.5,86.0,.471,8.1,22.2,.364,32.4,63.8,.508,15.2,20.1,.756,11.1,33.1,44.2,22.9,7.9,5.6,16.4,23.6,104.3
2012-13,NBA,MIN,31,51,5,,82,240.6,38.0,81.2,.468,7.0,19.0,.369,30.9,62.2,.498,15.2,20.1,.752,10.6,31.5,42.1,22.3,8.1,5.9,15.9,22.5,98.1
2011-12,NBA,MIN,26,40,5,,66,241.5,39.0,85.7,.455,6.2,18.1,.340,32.8,67.6,.486,16.0,21.2,.755,11.7,31.8,43.4,21.5,8.3,5.7,13.3,21.7,100.1
2010-11,NBA,MIN,17,65,5,,82,241.2,39.4,84.2,.468,7.8,20.8,.374,31.6,63.4,.499,21.1,27.2,.778,11.1,31.4,42.6,24.8,9.5,5.5,14.4,20.9,107.7
