Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,MIN,23,49,4,,23.2,6-6,211,,72,241.7,40.7,90.9,.448,13.1,37.6,.349,27.6,53.3,.518,17.6,23.1,.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1
2019-20,NBA,MIN,19,45,5,,24.8,6-6,213,,64,243.1,40.4,91.6,.441,13.3,39.7,.336,27.1,52.0,.521,19.1,25.4,.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3
2018-19,NBA,MIN,36,46,5,,26.2,6-7,220,,82,241.8,41.6,91.3,.456,10.1,28.7,.351,31.5,62.5,.504,19.1,24.3,.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5
2017-18,NBA,MIN,47,35,4,,27.1,6-7,217,,82,241.5,41.0,86.1,.476,8.0,22.5,.357,33.0,63.6,.519,19.4,24.1,.804,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5
2016-17,NBA,MIN,31,51,5,,24.0,6-7,218,,82,241.5,39.5,84.4,.467,7.3,21.0,.349,32.1,63.4,.507,19.3,24.2,.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6
2015-16,NBA,MIN,29,53,5,,24.6,6-8,217,,82,242.4,37.7,81.3,.464,5.5,16.4,.338,32.2,64.9,.496,21.4,27.0,.792,10.0,31.5,41.6,23.4,8.0,4.6,15.0,20.7,102.4
2014-15,NBA,MIN,16,66,5,,24.4,6-7,213,,82,241.5,36.4,83.2,.438,5.0,14.9,.332,31.5,68.3,.461,20.0,25.7,.776,11.6,29.3,40.9,21.6,8.1,4.0,15.0,19.2,97.8
2013-14,NBA,MIN,40,42,3,,26.3,6-7,216,,82,242.1,38.9,87.5,.444,7.3,21.4,.341,31.6,66.1,.478,21.8,28.1,.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9
2012-13,NBA,MIN,31,51,5,,26.4,6-6,217,,82,240.6,35.9,81.7,.439,5.5,18.0,.305,30.4,63.7,.477,18.5,24.9,.742,11.9,30.2,42.0,22.4,8.5,4.7,14.8,18.4,95.7
2011-12,NBA,MIN,26,40,5,,24.4,6-6,220,,66,241.5,35.7,82.3,.433,7.2,21.6,.332,28.5,60.8,.469,19.4,25.2,.771,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9
2010-11,NBA,MIN,17,65,5,,23.8,6-7,220,,82,241.2,37.7,85.5,.441,7.2,19.1,.376,30.5,66.5,.459,18.5,24.1,.768,13.2,31.2,44.4,20.1,7.2,5.1,17.0,22.3,101.1
