Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,NOP,31,41,4,,72,242.1,41.9,89.3,.469,14.5,38.1,.380,27.4,51.2,.535,16.6,21.1,.790,8.9,32.9,41.8,25.9,7.7,5.9,13.3,21.3,114.9
2019-20,NBA,NOP,30,42,5,,72,242.1,42.7,91.8,.465,12.2,33.9,.361,30.5,58.0,.526,19.4,24.7,.789,10.1,34.7,44.8,24.5,8.5,4.8,14.5,21.1,117.1
2018-19,NBA,NOP,33,49,4,,82,240.9,43.3,92.8,.466,12.3,33.7,.364,31.0,59.1,.525,17.9,23.5,.764,11.0,34.8,45.8,26.5,8.6,5.4,13.6,21.0,116.8
2017-18,NBA,NOP,48,34,2,,82,243.4,41.7,91.9,.454,10.9,30.6,.355,30.9,61.3,.503,16.1,20.5,.784,10.8,34.7,45.5,23.7,8.2,4.2,14.5,20.4,110.4
2016-17,NBA,NOP,34,48,4,,82,242.7,40.1,89.0,.450,10.5,29.8,.353,29.5,59.2,.499,15.8,20.7,.762,10.6,37.7,48.3,23.4,7.4,4.2,14.0,19.3,106.4
2015-16,NBA,NOP,30,52,5,,82,241.2,39.2,83.9,.468,9.2,24.9,.369,30.0,59.0,.510,18.8,24.0,.783,8.9,35.5,44.4,23.2,7.3,5.2,13.7,19.9,106.5
2014-15,NBA,NOP,45,37,5,,82,241.2,37.9,83.1,.456,6.5,19.6,.335,31.4,63.5,.494,16.2,21.4,.759,10.6,30.9,41.5,20.7,6.8,5.8,12.2,18.7,98.6
2013-14,NBA,NOP,34,48,5,,82,242.1,37.3,80.1,.465,8.0,22.3,.357,29.3,57.8,.507,20.0,26.5,.752,10.7,31.0,41.7,22.5,7.0,6.1,14.5,20.3,102.4
2012-13,NBA,NOH,27,55,5,,82,241.2,37.0,78.5,.471,7.7,20.6,.374,29.2,57.9,.505,16.3,21.5,.759,10.2,29.2,39.3,23.4,7.9,6.0,13.2,18.7,97.9
2011-12,NBA,NOH,21,45,5,,66,241.5,34.9,78.6,.444,6.4,20.3,.317,28.5,58.3,.489,17.1,22.5,.759,11.1,28.9,40.0,20.9,7.9,5.8,13.9,18.7,93.4
2010-11,NBA,NOH,46,36,3,,82,241.8,35.1,76.9,.457,6.8,19.0,.357,28.4,57.9,.490,17.0,22.0,.770,9.4,30.0,39.3,21.2,6.1,4.8,14.5,20.4,94.0
2009-10,NBA,NOH,37,45,5,,82,241.8,39.6,82.1,.483,6.6,18.5,.355,33.1,63.6,.520,16.9,22.5,.751,10.6,31.5,42.1,23.5,7.0,4.5,14.4,19.5,102.7
2008-09,NBA,NOH,49,33,4,,82,240.9,34.8,77.2,.450,7.0,19.8,.354,27.8,57.4,.484,17.7,22.9,.773,10.0,30.0,40.0,20.1,5.8,3.5,13.3,20.4,94.3
2007-08,NBA,NOH,56,26,1,,82,241.5,37.0,80.5,.460,6.6,18.9,.351,30.4,61.6,.494,14.8,19.3,.771,9.9,30.9,40.8,21.7,5.7,4.0,13.9,19.2,95.6
2006-07,NBA,NOK,39,43,4,,82,242.4,36.6,80.2,.457,6.8,19.2,.355,29.8,61.0,.489,17.0,22.4,.759,10.4,30.4,40.8,20.8,6.8,4.8,13.6,21.1,97.1
2005-06,NBA,NOK,38,44,4,,82,241.5,35.2,76.7,.459,6.7,18.1,.367,28.5,58.5,.487,18.7,24.6,.760,10.5,30.5,41.0,19.3,6.4,5.3,14.6,23.3,95.6
2004-05,NBA,NOH,18,64,5,,82,243.0,34.7,76.8,.452,6.0,16.4,.367,28.7,60.4,.475,20.0,25.9,.775,11.5,30.3,41.9,21.2,7.7,5.5,14.2,21.1,95.5
2003-04,NBA,NOH,41,41,3,,82,241.8,34.7,78.6,.441,5.4,15.9,.341,29.3,62.7,.467,17.2,22.9,.750,11.9,30.2,42.1,21.8,7.5,5.2,15.6,21.1,91.9
2002-03,NBA,NOH,47,35,3,,82,242.7,34.8,79.5,.438,4.1,12.2,.338,30.7,67.3,.457,18.0,23.5,.766,11.1,28.9,40.0,19.9,7.9,5.2,14.6,21.4,91.8
