Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,NYK,41,31,3,,72,242.1,37.9,86.2,.440,12.0,35.6,.337,25.9,50.6,.512,16.9,22.2,.761,9.7,34.4,44.1,23.6,6.6,5.4,12.8,17.9,104.7
2019-20,NBA,NYK,21,45,5,,66,241.9,39.9,86.0,.463,13.3,34.9,.381,26.6,51.1,.520,19.2,25.7,.749,9.6,34.6,44.2,24.3,7.2,5.0,13.7,19.8,112.3
2018-19,NBA,NYK,17,65,5,,82,241.2,41.9,89.7,.467,11.8,32.6,.363,30.1,57.1,.527,18.2,23.8,.766,10.7,36.8,47.5,25.6,7.4,5.6,13.2,20.8,113.8
2017-18,NBA,NYK,29,53,4,,82,241.8,39.4,86.3,.457,11.2,30.4,.368,28.2,55.9,.505,18.0,23.2,.774,10.2,33.0,43.2,24.0,8.2,4.7,13.4,18.4,108.0
2016-17,NBA,NYK,31,51,3,,82,242.1,39.7,87.4,.455,9.8,28.2,.348,29.9,59.1,.506,18.7,24.2,.771,11.6,33.1,44.7,21.8,7.5,4.6,12.9,18.5,108.0
2015-16,NBA,NYK,32,50,3,,82,241.5,38.0,85.8,.443,7.6,22.4,.341,30.3,63.4,.479,17.5,23.2,.754,10.9,33.3,44.2,20.8,7.2,4.2,11.3,18.5,101.1
2014-15,NBA,NYK,17,65,5,,82,242.1,37.0,80.4,.460,8.5,22.3,.380,28.5,58.1,.490,18.8,24.8,.759,11.0,32.5,43.5,21.7,8.0,4.3,14.1,19.1,101.2
2013-14,NBA,NYK,37,45,3,,82,242.1,35.8,78.1,.458,8.7,23.4,.371,27.1,54.6,.496,19.1,25.0,.765,10.3,31.7,42.0,19.7,6.3,3.4,14.5,19.6,99.4
2012-13,NBA,NYK,54,28,1,,82,240.6,35.6,77.6,.458,7.8,21.8,.357,27.8,55.8,.498,16.8,22.2,.757,10.0,31.6,41.6,19.3,6.4,4.0,15.1,19.2,95.7
2011-12,NBA,NYK,36,30,2,,66,241.5,35.1,79.4,.442,6.7,18.8,.359,28.4,60.6,.468,17.7,24.1,.736,10.9,31.0,41.8,18.9,8.1,5.1,17.0,21.8,94.7
2010-11,NBA,NYK,42,40,2,,82,241.2,39.5,83.8,.472,6.5,17.6,.372,33.0,66.2,.499,20.1,26.4,.762,11.8,32.3,44.0,20.5,7.1,4.4,15.2,20.8,105.7
2009-10,NBA,NYK,29,53,3,,82,242.4,40.9,84.2,.486,6.7,19.2,.352,34.1,65.0,.525,17.4,23.1,.754,11.7,33.2,44.9,21.0,7.1,4.5,14.4,19.2,105.9
2008-09,NBA,NYK,32,50,5,,82,241.5,41.2,85.9,.480,7.0,19.8,.351,34.2,66.0,.518,18.5,24.4,.758,11.6,34.5,46.1,21.6,8.0,5.3,14.5,19.4,107.8
2007-08,NBA,NYK,23,59,5,,82,242.4,38.8,81.8,.474,7.2,19.4,.369,31.7,62.4,.507,18.7,25.3,.739,11.3,31.4,42.6,21.6,7.6,5.2,12.8,20.3,103.5
2006-07,NBA,NYK,33,49,4,,82,244.0,36.8,80.1,.460,7.0,18.6,.376,29.9,61.5,.485,19.7,26.0,.756,10.8,28.0,38.8,21.3,7.5,5.0,13.7,22.9,100.3
2005-06,NBA,NYK,23,59,5,,82,243.0,36.2,77.5,.467,6.9,18.2,.378,29.3,59.3,.494,22.8,30.2,.753,10.8,27.8,38.6,21.3,8.2,5.3,14.1,25.4,102.0
2004-05,NBA,NYK,33,49,5,,82,242.4,36.6,78.7,.465,5.7,15.6,.364,30.9,63.1,.490,20.9,27.6,.756,11.8,29.9,41.7,20.7,7.3,4.7,14.6,21.2,99.7
2003-04,NBA,NYK,39,43,3,,82,242.4,34.0,79.2,.429,5.1,15.0,.338,28.9,64.2,.450,20.5,26.8,.763,11.6,29.8,41.4,20.4,8.2,4.7,13.8,19.5,93.5
2002-03,NBA,NYK,37,45,6,,82,242.1,36.1,79.0,.457,4.4,12.8,.340,31.7,66.2,.480,20.6,26.7,.771,11.4,31.9,43.3,21.1,7.6,3.8,14.4,19.9,97.2
2001-02,NBA,NYK,30,52,7,,82,241.5,35.7,80.1,.445,5.4,15.3,.353,30.3,64.8,.467,18.9,25.0,.757,11.7,31.0,42.7,21.5,8.4,4.7,13.5,20.4,95.6
2000-01,NBA,NYK,48,34,3,,82,242.7,31.3,75.1,.417,5.4,15.4,.352,25.9,59.7,.434,18.0,24.6,.733,10.6,29.5,40.1,19.2,7.3,4.1,14.8,21.4,86.1
1999-00,NBA,NYK,50,32,2,,82,241.8,33.1,78.0,.424,4.9,14.6,.338,28.1,63.4,.444,19.6,26.3,.747,11.3,29.8,41.1,19.6,7.4,4.3,14.2,21.9,90.7
1998-99,NBA,NYK,27,23,4,,50,242.0,30.6,75.8,.403,4.7,13.2,.353,25.9,62.6,.414,19.6,26.7,.733,12.3,28.5,40.8,18.5,8.5,4.3,15.3,20.7,85.4
1997-98,NBA,NYK,43,39,2,,82,241.8,32.0,74.8,.428,4.0,12.7,.317,28.0,62.0,.451,21.1,28.1,.750,10.4,28.5,39.0,19.3,8.0,3.8,15.0,20.8,89.1
