Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,NYK,41,31,3,,25.6,6-6,217,,72,242.1,39.4,86.5,.456,11.8,30.0,.392,27.7,56.4,.490,16.4,20.9,.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0
2019-20,NBA,NYK,21,45,5,,24.5,6-6,222,,66,241.9,40.0,89.3,.447,9.6,28.4,.337,30.4,61.0,.499,16.3,23.5,.694,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8
2018-19,NBA,NYK,17,65,5,,23.4,6-7,220,,82,241.2,38.2,88.3,.433,10.0,29.5,.340,28.2,58.8,.479,18.1,23.9,.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6
2017-18,NBA,NYK,29,53,4,,26.3,6-7,219,,82,241.8,40.7,87.7,.464,8.2,23.3,.352,32.5,64.4,.504,14.9,19.0,.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5
2016-17,NBA,NYK,31,51,3,,27.3,6-7,216,,82,242.1,39.6,88.5,.447,8.6,24.7,.348,31.0,63.8,.485,16.6,21.1,.788,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3
2015-16,NBA,NYK,32,50,3,,27.2,6-7,226,,82,241.5,36.9,84.0,.439,7.4,21.5,.346,29.4,62.5,.471,17.2,21.4,.805,10.4,34.0,44.4,20.5,5.7,5.7,13.4,19.7,98.4
2014-15,NBA,NYK,17,65,5,,26.9,6-6,217,,82,242.1,35.1,82.0,.428,6.8,19.7,.347,28.3,62.3,.454,14.8,19.2,.769,10.6,29.8,40.4,21.3,7.0,4.7,14.7,21.6,91.9
2013-14,NBA,NYK,37,45,3,,28.3,6-6,219,,82,242.1,36.9,82.2,.449,9.3,24.9,.372,27.7,57.3,.482,15.5,20.4,.761,10.6,29.7,40.3,20.0,7.7,4.5,13.0,22.1,98.6
2012-13,NBA,NYK,54,28,1,,30.2,6-6,218,,82,240.6,36.5,81.6,.448,10.9,28.9,.376,25.7,52.7,.487,16.0,21.1,.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0
2011-12,NBA,NYK,36,30,2,,26.3,6-7,222,,66,241.5,35.8,80.8,.443,7.8,23.3,.336,28.0,57.5,.487,18.3,24.8,.741,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1,97.8
2010-11,NBA,NYK,42,40,2,,25.3,6-7,220,,82,241.2,38.3,83.7,.457,9.3,25.4,.368,29.0,58.4,.496,20.6,25.5,.809,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3,106.5
2009-10,NBA,NYK,29,53,3,,25.4,6-7,217,,82,242.4,38.1,83.9,.455,9.1,26.2,.346,29.1,57.7,.504,16.8,21.5,.782,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0,102.1
2008-09,NBA,NYK,32,50,5,,25.7,6-6,216,,82,241.5,38.5,86.5,.445,10.0,27.9,.360,28.5,58.6,.486,18.2,23.2,.784,11.1,31.0,42.1,21.2,7.4,2.5,14.3,20.4,105.2
