Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,OKC,22,50,5,,72,241.0,43.4,91.7,.473,13.6,37.3,.364,29.8,54.4,.548,15.3,19.8,.773,10.1,37.0,47.1,25.8,9.0,5.3,13.1,18.6,115.6
2019-20,NBA,OKC,44,28,2,,72,242.1,40.8,89.6,.455,11.3,33.3,.340,29.5,56.4,.523,15.5,19.6,.795,10.5,34.3,44.8,23.0,7.0,4.0,14.2,22.8,108.4
2018-19,NBA,OKC,49,33,4,,82,242.1,40.8,88.7,.460,11.2,31.6,.356,29.5,57.1,.517,18.3,24.0,.761,9.9,35.8,45.7,24.9,8.2,5.1,16.7,22.5,111.1
2017-18,NBA,OKC,48,34,2,,82,241.8,38.5,84.0,.458,11.2,30.6,.367,27.3,53.4,.511,16.2,21.1,.769,9.5,32.6,42.2,23.3,7.7,4.6,16.0,21.3,104.4
2016-17,NBA,OKC,47,35,2,,82,241.5,39.2,85.3,.459,8.8,24.8,.356,30.4,60.5,.502,18.6,24.3,.764,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8
2015-16,NBA,OKC,55,27,1,,82,241.8,38.4,87.7,.438,8.1,23.8,.342,30.3,63.9,.474,18.0,23.8,.756,11.3,28.9,40.2,21.5,8.8,4.5,13.0,20.2,102.9
2014-15,NBA,OKC,45,37,2,,82,241.8,37.6,85.5,.440,8.3,24.2,.343,29.3,61.3,.479,18.2,24.5,.745,11.2,31.5,42.7,22.1,7.8,4.6,13.6,20.4,101.8
2013-14,NBA,OKC,59,23,1,,82,241.5,36.4,83.4,.436,8.6,24.0,.358,27.8,59.4,.468,18.4,25.4,.727,11.0,30.0,40.9,21.8,8.2,3.6,15.2,20.4,99.8
2012-13,NBA,OKC,60,22,1,,82,241.8,36.2,85.0,.425,7.4,21.5,.346,28.7,63.5,.452,16.7,21.6,.774,12.0,28.7,40.7,20.5,8.2,3.9,14.8,20.7,96.5
2011-12,NBA,OKC,47,19,1,,66,242.3,36.4,85.3,.427,6.4,18.7,.342,30.1,66.6,.451,17.7,23.0,.768,12.7,28.6,41.3,19.9,8.2,4.9,14.2,20.0,96.9
2010-11,NBA,OKC,55,27,1,,82,244.0,38.1,83.2,.458,5.9,16.3,.361,32.2,66.9,.481,19.0,25.5,.744,11.4,29.2,40.6,20.9,7.2,4.3,14.0,21.5,101.0
2009-10,NBA,OKC,50,32,4,,82,241.5,36.7,81.9,.448,5.9,17.2,.340,30.8,64.7,.476,18.8,24.6,.764,11.4,29.2,40.7,19.7,7.5,4.7,15.1,21.4,98.0
