Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,ORL,21,51,5,,72,240.7,42.2,89.7,.471,13.7,36.8,.373,28.5,52.9,.539,15.2,19.3,.786,9.8,37.6,47.4,26.0,7.6,5.3,12.7,18.7,113.3
2019-20,NBA,ORL,33,40,2,,73,240.7,40.4,86.9,.465,12.2,33.6,.364,28.2,53.3,.529,15.3,19.8,.771,9.0,35.8,44.9,24.7,7.0,4.6,14.6,19.5,108.3
2018-19,NBA,ORL,42,40,1,,82,241.2,39.9,87.6,.456,10.5,30.2,.347,29.5,57.4,.513,16.3,20.9,.778,9.0,35.6,44.6,23.1,7.0,4.4,13.0,18.7,106.6
2017-18,NBA,ORL,25,57,4,,82,240.6,40.9,87.5,.468,10.0,27.6,.362,30.9,60.0,.516,16.4,21.2,.773,10.6,35.3,45.9,24.4,7.8,4.9,14.2,19.0,108.2
2016-17,NBA,ORL,29,53,5,,82,241.5,40.3,86.4,.467,9.7,26.4,.367,30.6,60.0,.510,17.4,22.7,.766,9.7,35.8,45.5,23.6,7.6,5.1,13.0,18.7,107.6
2015-16,NBA,ORL,35,47,5,,82,242.7,38.4,83.5,.460,8.9,24.9,.359,29.5,58.6,.503,17.9,24.0,.746,10.1,34.1,44.3,23.2,7.6,5.5,15.1,18.3,103.7
2014-15,NBA,ORL,25,57,5,,82,240.9,38.0,82.0,.463,8.3,22.6,.368,29.6,59.4,.499,17.2,22.9,.751,10.1,33.4,43.5,23.4,7.7,5.4,14.5,17.9,101.4
2013-14,NBA,ORL,23,59,5,,82,243.4,38.1,83.7,.456,8.0,21.7,.371,30.1,62.0,.485,17.7,22.9,.770,10.5,33.5,44.0,22.5,7.1,5.4,14.0,18.3,102.0
2012-13,NBA,ORL,20,62,5,,82,241.2,38.6,83.4,.463,7.5,21.0,.359,31.1,62.5,.498,16.3,22.1,.738,10.8,31.9,42.8,23.7,7.2,5.2,12.4,16.5,101.1
2011-12,NBA,ORL,37,29,3,,66,241.9,35.9,80.1,.449,6.3,18.1,.347,29.7,62.0,.478,15.2,19.7,.772,10.1,31.2,41.3,20.5,7.5,4.1,13.1,19.8,93.4
2010-11,NBA,ORL,52,30,2,,82,241.8,34.9,80.1,.436,6.3,18.0,.350,28.6,62.1,.461,17.6,23.7,.743,9.8,29.9,39.7,20.1,7.4,3.8,13.9,21.8,93.7
2009-10,NBA,ORL,59,23,1,,82,240.6,36.0,82.2,.438,6.4,17.5,.363,29.7,64.7,.459,16.8,22.3,.754,9.8,30.3,40.0,18.9,6.7,3.5,12.8,22.2,95.3
2008-09,NBA,ORL,59,23,1,,82,240.6,35.8,82.7,.433,5.4,15.8,.342,30.4,66.9,.454,17.3,23.0,.755,10.5,31.6,42.1,18.1,6.9,3.8,13.1,22.4,94.4
2007-08,NBA,ORL,52,30,1,,82,241.2,37.3,83.6,.446,6.3,17.6,.358,31.0,66.0,.469,18.2,24.1,.754,11.0,30.7,41.7,21.5,7.1,4.2,13.2,23.1,99.0
2006-07,NBA,ORL,40,42,3,,82,241.2,33.4,75.5,.442,5.6,15.9,.353,27.8,59.6,.466,21.6,28.4,.760,10.5,27.0,37.6,19.6,8.3,4.6,15.0,23.4,94.0
2005-06,NBA,ORL,36,46,3,,82,242.7,35.0,77.2,.454,5.6,15.7,.357,29.4,61.5,.478,20.4,27.9,.732,11.1,27.3,38.4,20.0,7.5,4.7,13.4,23.2,96.0
2004-05,NBA,ORL,36,46,3,,82,240.3,37.6,83.2,.451,5.4,15.7,.343,32.2,67.5,.477,21.2,28.1,.754,12.5,29.6,42.1,21.3,8.5,4.3,14.5,23.4,101.8
2003-04,NBA,ORL,21,61,7,,82,241.8,38.6,83.0,.466,6.0,15.9,.377,32.7,67.1,.487,17.8,24.0,.742,13.1,31.3,44.4,24.4,7.6,5.5,13.5,20.6,101.1
2002-03,NBA,ORL,42,40,4,,82,241.5,36.7,80.5,.455,4.9,14.8,.334,31.7,65.7,.483,20.1,26.2,.767,11.8,31.7,43.5,22.4,7.8,5.0,16.4,22.2,98.4
2001-02,NBA,ORL,44,38,3,,82,241.8,38.0,83.3,.456,5.0,14.2,.352,33.0,69.1,.478,17.9,24.3,.737,13.2,32.1,45.4,23.5,8.0,4.7,15.8,21.2,98.9
2000-01,NBA,ORL,43,39,4,,82,243.4,34.5,79.3,.435,4.5,12.9,.346,30.0,66.3,.453,23.0,31.3,.735,12.9,31.8,44.8,21.9,8.5,5.4,17.2,23.7,96.5
1999-00,NBA,ORL,41,41,4,,82,240.9,37.5,84.4,.445,5.3,15.6,.338,32.3,68.8,.469,19.1,25.7,.745,13.3,30.2,43.5,24.3,8.8,5.8,18.1,24.5,99.4
1998-99,NBA,ORL,33,17,2,,50,241.0,34.2,77.1,.443,4.6,13.3,.345,29.6,63.8,.463,13.9,19.7,.707,11.9,28.5,40.4,20.8,9.4,4.8,17.3,22.2,86.9
1997-98,NBA,ORL,41,41,5,,82,241.8,35.7,78.8,.454,3.8,11.8,.324,31.9,67.0,.476,15.9,21.6,.736,13.3,27.7,40.9,21.2,9.1,4.7,15.4,22.8,91.2
1996-97,NBA,ORL,45,37,3,,82,242.1,36.2,78.7,.460,5.5,16.2,.343,30.6,62.5,.490,16.6,22.7,.732,13.2,29.2,42.4,21.9,8.6,5.1,16.0,21.6,94.5
1995-96,NBA,ORL,60,22,1,,82,242.1,37.3,82.1,.454,6.0,16.5,.366,31.3,65.6,.477,18.3,24.8,.736,13.3,28.8,42.1,22.8,7.9,4.0,15.1,22.3,99.0
1994-95,NBA,ORL,57,25,1,,82,243.0,39.5,86.5,.457,5.7,15.1,.378,33.8,71.4,.474,19.0,25.7,.741,13.9,27.1,41.0,24.2,8.5,4.5,15.0,23.8,103.8
1993-94,NBA,ORL,50,32,2,,82,240.6,39.8,86.9,.458,3.6,10.3,.349,36.2,76.6,.473,18.6,25.0,.745,14.6,28.1,42.7,25.6,9.2,5.4,15.0,22.5,101.8
1992-93,NBA,ORL,41,41,4,,82,242.4,40.3,88.5,.456,3.0,9.2,.329,37.3,79.3,.471,20.5,28.1,.729,14.2,27.7,41.9,25.5,8.7,4.9,13.6,24.1,104.2
1991-92,NBA,ORL,21,61,7,,82,240.3,41.8,85.9,.486,2.6,7.4,.353,39.2,78.5,.499,22.3,29.7,.751,13.5,29.8,43.3,25.5,9.6,6.5,15.5,23.1,108.5
1990-91,NBA,ORL,31,51,4,,82,241.2,42.1,88.2,.478,2.7,8.2,.331,39.4,80.0,.493,22.9,29.9,.767,13.4,30.5,43.8,25.8,8.6,8.0,14.8,24.2,109.9
1989-90,NBA,ORL,18,64,7,,82,241.5,47.1,94.6,.498,2.4,6.8,.353,44.7,87.8,.509,23.1,30.5,.758,14.3,31.3,45.6,28.5,9.0,6.8,14.8,25.1,119.8
