Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,ORL,21,51,5,,25.6,6-6,218,,72,240.7,38.3,89.2,.429,10.9,31.8,.343,27.4,57.4,.476,16.6,21.4,.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0
2019-20,NBA,ORL,33,40,2,,26.1,6-6,217,,73,240.7,39.3,88.6,.444,11.1,32.2,.343,28.3,56.4,.502,17.6,22.7,.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3
2018-19,NBA,ORL,42,40,1,,25.7,6-7,213,,82,241.2,40.4,89.1,.454,11.4,32.1,.356,29.0,57.0,.509,15.0,19.2,.782,10.0,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3
2017-18,NBA,ORL,25,57,4,,25.6,6-6,213,,82,240.6,38.8,85.9,.452,10.3,29.3,.351,28.5,56.5,.504,15.5,20.5,.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4
2016-17,NBA,ORL,29,53,5,,25.3,6-7,218,,82,241.5,38.3,87.0,.440,8.5,26.1,.328,29.7,60.9,.488,16.0,21.4,.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1
2015-16,NBA,ORL,35,47,5,,23.9,6-7,219,,82,242.7,39.5,86.8,.455,7.8,22.2,.350,31.8,64.7,.492,15.2,20.1,.757,10.3,33.0,43.3,23.6,8.2,5.1,14.1,20.7,102.1
2014-15,NBA,ORL,25,57,5,,24.3,6-7,221,,82,240.9,37.5,82.8,.453,6.8,19.5,.347,30.8,63.3,.486,13.9,19.1,.729,10.0,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7
2013-14,NBA,ORL,23,59,5,,24.6,6-6,222,,82,243.4,36.9,82.7,.445,6.9,19.5,.353,30.0,63.3,.474,15.9,20.9,.763,9.7,32.4,42.0,21.0,7.7,4.3,14.9,20.5,96.5
2012-13,NBA,ORL,20,62,5,,24.6,6-6,220,,82,241.2,37.7,84.2,.448,6.2,18.7,.329,31.5,65.5,.482,12.5,16.6,.755,10.9,31.9,42.7,22.8,6.4,4.4,14.5,19.4,94.1
2011-12,NBA,ORL,37,29,3,,27.5,6-6,222,,66,241.9,34.5,78.2,.441,10.2,27.0,.375,24.3,51.2,.475,15.1,22.8,.660,11.2,31.2,42.5,20.0,6.8,4.2,14.9,17.7,94.2
2010-11,NBA,ORL,52,30,2,,27.6,6-6,218,,82,241.8,36.0,78.2,.461,9.4,25.6,.366,26.7,52.5,.507,17.7,25.6,.692,10.5,32.7,43.2,20.0,6.7,4.7,14.9,20.0,99.2
2009-10,NBA,ORL,59,23,1,,27.9,6-6,217,,82,240.6,36.6,78.0,.470,10.3,27.3,.375,26.4,50.6,.521,19.2,26.5,.724,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9,102.8
2008-09,NBA,ORL,59,23,1,,27.3,6-7,213,,82,240.6,35.7,78.2,.457,10.0,26.2,.381,25.8,52.1,.495,19.6,27.5,.715,10.0,33.3,43.3,19.4,7.0,5.4,13.9,20.3,101.0
2007-08,NBA,ORL,52,30,1,,26.7,6-7,217,,82,241.2,37.3,78.6,.474,9.8,25.3,.386,27.5,53.3,.516,20.1,27.9,.721,9.4,32.6,42.0,20.8,6.3,4.1,14.3,20.6,104.5
2006-07,NBA,ORL,40,42,3,,25.6,6-7,218,,82,241.2,35.1,74.3,.472,4.2,11.7,.356,30.9,62.5,.494,20.5,29.2,.702,11.2,29.5,40.7,18.6,6.9,5.1,17.0,23.2,94.8
2005-06,NBA,ORL,36,46,3,,25.5,6-7,218,,82,242.7,35.5,75.2,.472,3.6,9.7,.376,31.9,65.5,.486,20.3,27.8,.730,10.9,29.3,40.2,18.2,6.5,4.4,15.1,23.3,94.9
2004-05,NBA,ORL,36,46,3,,26.5,6-7,220,,82,240.3,37.0,81.5,.454,3.9,11.2,.349,33.1,70.3,.471,21.6,28.5,.759,12.7,31.0,43.7,19.3,7.7,5.4,16.1,23.6,99.5
2003-04,NBA,ORL,21,61,7,,25.8,6-6,214,,82,241.8,35.4,82.5,.429,5.2,15.2,.344,30.2,67.3,.448,18.0,24.4,.737,12.2,28.7,40.9,19.3,6.7,3.8,13.7,21.3,94.0
2002-03,NBA,ORL,42,40,4,,26.9,6-6,213,,82,241.5,35.9,82.5,.436,6.9,19.4,.357,29.0,63.1,.460,19.7,25.4,.777,11.7,29.2,40.9,20.4,8.5,3.7,14.4,23.0,98.5
2001-02,NBA,ORL,44,38,3,,28.0,6-6,211,,82,241.8,37.6,84.1,.448,7.6,20.2,.373,30.1,63.8,.471,17.6,23.4,.754,11.5,29.8,41.2,22.0,8.1,4.7,13.6,20.7,100.5
2000-01,NBA,ORL,43,39,4,,26.0,6-6,217,,82,243.4,36.7,83.8,.438,6.0,16.4,.364,30.8,67.4,.456,18.0,25.2,.714,13.0,29.9,42.9,22.0,8.2,5.9,15.2,25.3,97.5
1999-00,NBA,ORL,41,41,4,,26.3,6-6,217,,82,240.9,38.6,85.5,.452,3.6,10.6,.338,35.1,74.9,.468,19.2,26.1,.735,14.0,31.0,44.9,20.8,9.1,5.7,17.6,24.0,100.1
1998-99,NBA,ORL,33,17,2,,28.7,6-7,213,,50,241.0,33.7,78.9,.428,4.5,13.5,.330,29.3,65.4,.448,17.5,25.0,.700,13.8,28.9,42.7,21.3,9.9,4.3,16.4,18.7,89.5
1997-98,NBA,ORL,41,41,5,,30.8,6-6,204,,82,241.8,33.8,78.7,.429,3.6,11.1,.323,30.2,67.7,.447,18.9,26.1,.726,14.4,26.9,41.2,20.7,7.9,5.4,15.3,19.7,90.1
1996-97,NBA,ORL,45,37,3,,29.4,6-7,209,,82,242.1,34.6,79.2,.437,6.9,20.3,.341,27.7,59.0,.470,18.0,24.1,.746,13.1,27.1,40.1,20.6,8.5,4.4,15.2,20.0,94.1
1995-96,NBA,ORL,60,22,1,,27.7,6-8,223,,82,242.1,39.1,81.0,.482,7.6,20.1,.378,31.5,60.9,.517,18.8,27.2,.691,11.8,29.3,41.1,25.4,8.1,5.0,14.1,20.8,104.5
1994-95,NBA,ORL,57,25,1,,26.6,6-8,225,,82,243.0,42.2,84.1,.502,6.4,17.2,.370,35.8,66.9,.535,20.1,30.1,.669,14.0,30.0,44.0,27.8,8.2,6.0,15.8,21.0,110.9
1993-94,NBA,ORL,50,32,2,,25.8,6-7,227,,82,240.6,40.7,83.9,.485,4.8,13.9,.347,35.9,70.1,.513,19.4,28.6,.678,14.4,28.7,43.1,25.2,8.3,5.6,16.2,20.9,105.7
1992-93,NBA,ORL,41,41,4,,25.8,6-6,226,,82,242.4,39.7,81.8,.486,3.9,10.8,.357,35.9,71.0,.505,22.2,30.4,.730,12.7,31.3,44.0,23.8,6.6,5.7,17.4,23.5,105.5
1991-92,NBA,ORL,21,61,7,,26.6,6-6,213,,82,240.3,39.3,86.6,.453,2.4,7.4,.324,36.9,79.2,.466,20.6,27.7,.746,14.3,28.4,42.7,21.9,7.8,4.5,16.9,24.1,101.6
1990-91,NBA,ORL,31,51,4,,26.1,6-6,213,,82,241.2,40.2,88.5,.455,3.3,9.2,.358,36.9,79.3,.466,22.2,29.8,.743,15.0,29.6,44.7,22.1,7.3,3.7,17.0,24.1,105.9
1989-90,NBA,ORL,18,64,7,,26.5,6-6,206,,82,241.5,42.2,91.8,.459,1.4,4.8,.295,40.7,87.0,.468,25.1,33.2,.756,15.9,30.1,46.0,24.3,7.5,3.6,17.2,24.1,110.9
