Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,PHI,49,23,1,,72,242.1,39.4,86.9,.453,11.9,33.0,.360,27.5,53.9,.510,17.4,22.8,.764,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1
2019-20,NBA,PHI,43,30,3,,73,241.0,39.8,86.0,.463,10.4,29.4,.353,29.4,56.5,.520,18.4,24.5,.751,8.6,33.2,41.8,22.8,7.0,4.0,13.8,20.5,108.4
2018-19,NBA,PHI,51,31,2,,82,241.5,41.7,91.5,.455,10.3,30.0,.342,31.4,61.5,.511,18.8,24.5,.768,10.0,33.5,43.5,23.4,7.7,4.1,12.7,22.1,112.5
2017-18,NBA,PHI,52,30,3,,82,241.2,38.0,87.6,.434,10.1,29.6,.342,27.9,58.0,.482,19.1,25.6,.745,10.0,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3
2016-17,NBA,PHI,28,54,4,,82,241.8,39.6,85.9,.461,8.9,24.9,.357,30.7,61.0,.503,20.1,26.0,.773,10.8,34.2,45.0,22.7,8.6,5.4,15.1,19.6,108.1
2015-16,NBA,PHI,10,72,5,,82,241.5,39.7,85.4,.464,7.8,21.7,.359,31.9,63.8,.500,20.5,26.1,.786,11.1,36.4,47.6,23.4,8.7,5.7,15.1,19.2,107.6
2014-15,NBA,PHI,18,64,4,,82,241.5,37.1,82.7,.449,8.0,22.9,.350,29.1,59.8,.487,18.7,24.7,.756,11.5,34.8,46.3,23.7,9.5,5.5,16.8,20.2,101.0
2013-14,NBA,PHI,19,63,5,,82,242.1,40.0,85.1,.471,9.0,24.4,.370,31.0,60.7,.511,20.8,27.6,.754,11.9,35.0,46.9,26.1,9.0,6.8,17.0,20.6,109.9
2012-13,NBA,PHI,34,48,4,,82,240.9,36.8,81.0,.454,6.7,19.2,.349,30.1,61.8,.487,16.2,21.4,.760,11.0,33.0,44.0,22.8,7.2,4.8,14.3,16.2,96.5
2011-12,NBA,PHI,35,31,3,,66,241.1,34.3,80.3,.427,5.4,16.2,.334,28.9,64.1,.450,15.4,20.5,.752,10.7,33.0,43.7,19.6,5.9,4.8,13.9,16.2,89.4
2010-11,NBA,PHI,41,41,3,,82,243.0,36.5,81.0,.451,5.7,16.8,.340,30.8,64.2,.480,18.7,24.2,.773,10.7,31.8,42.5,21.5,7.1,4.6,14.2,18.8,97.5
2009-10,NBA,PHI,27,55,4,,82,241.5,37.9,80.2,.472,7.4,18.8,.393,30.5,61.4,.497,18.5,24.2,.766,10.8,30.1,41.0,22.1,7.6,4.0,14.5,18.7,101.6
2008-09,NBA,PHI,41,41,2,,82,240.9,36.5,79.1,.462,7.1,19.5,.367,29.4,59.7,.493,17.1,21.9,.782,11.4,27.9,39.3,21.9,7.0,4.9,15.6,21.8,97.3
2007-08,NBA,PHI,40,42,3,,82,240.9,36.6,79.3,.461,6.8,18.9,.360,29.8,60.4,.493,16.2,21.0,.772,11.3,28.0,39.2,23.2,6.7,5.1,15.7,20.8,96.2
2006-07,NBA,PHI,35,47,3,,82,242.4,37.1,80.1,.463,6.1,17.4,.353,30.9,62.8,.493,17.7,23.5,.754,11.8,29.3,41.1,22.3,7.4,3.9,15.6,22.0,98.0
2005-06,NBA,PHI,38,44,2,,82,242.7,37.8,81.7,.463,6.1,17.3,.351,31.7,64.4,.493,19.6,25.7,.762,11.9,30.9,42.8,23.0,7.7,4.7,15.5,23.1,101.3
2004-05,NBA,PHI,43,39,2,,82,242.1,35.7,80.7,.443,6.9,19.0,.362,28.8,61.7,.468,21.5,28.0,.767,11.6,32.5,44.1,22.9,8.3,4.7,17.0,23.5,99.9
2003-04,NBA,PHI,33,49,5,,82,242.1,33.5,77.7,.432,5.4,16.2,.333,28.1,61.5,.458,18.0,24.2,.744,12.1,29.2,41.4,21.3,8.3,5.6,15.2,21.4,90.5
2002-03,NBA,PHI,48,34,2,,82,242.1,35.1,77.6,.452,5.5,15.6,.354,29.5,62.0,.476,18.9,24.8,.760,11.1,29.3,40.3,22.1,7.8,6.4,17.1,23.0,94.5
2001-02,NBA,PHI,43,39,4,,82,240.6,33.8,79.3,.426,5.3,16.1,.331,28.5,63.1,.451,16.5,21.9,.751,12.0,28.6,40.6,21.6,8.0,5.6,14.7,22.3,89.4
2000-01,NBA,PHI,56,26,1,,82,242.1,35.0,81.7,.429,5.2,15.2,.342,29.8,66.5,.448,15.2,20.2,.749,12.0,28.9,40.9,21.6,8.2,5.6,15.4,23.6,90.4
1999-00,NBA,PHI,49,33,3,,82,241.8,35.0,80.4,.435,5.1,14.3,.356,29.9,66.1,.452,18.4,24.4,.755,13.0,30.5,43.5,22.3,7.7,6.5,17.6,24.1,93.4
1998-99,NBA,PHI,28,22,3,,50,243.0,32.0,75.7,.423,4.8,14.3,.337,27.2,61.4,.443,18.8,25.8,.731,12.4,28.0,40.4,20.0,8.7,5.3,17.9,23.7,87.6
1997-98,NBA,PHI,31,51,7,,82,240.9,35.4,78.5,.451,4.7,13.6,.344,30.8,64.9,.474,20.1,27.6,.730,13.6,28.5,42.1,23.5,9.3,6.2,16.1,23.2,95.7
1996-97,NBA,PHI,22,60,6,,82,241.2,40.4,85.9,.470,6.8,18.6,.365,33.6,67.3,.500,19.1,26.0,.733,14.5,29.9,44.4,25.2,10.0,6.0,15.6,24.5,106.7
1995-96,NBA,PHI,18,64,7,,82,240.6,40.0,82.9,.483,6.4,17.3,.370,33.6,65.5,.513,18.0,24.2,.741,14.2,30.2,44.4,25.7,8.8,5.7,15.7,23.3,104.5
1994-95,NBA,PHI,24,58,6,,82,241.5,37.8,81.3,.465,5.7,15.7,.363,32.1,65.6,.490,19.1,25.1,.763,13.9,28.3,42.2,24.3,8.7,5.1,15.8,22.7,100.4
1993-94,NBA,PHI,25,57,6,,82,241.5,43.3,89.5,.484,3.2,9.7,.331,40.1,79.8,.502,15.8,21.3,.744,14.7,31.8,46.5,28.7,9.8,4.7,14.5,21.1,105.6
1992-93,NBA,PHI,26,56,6,,82,243.0,44.7,92.0,.486,3.4,9.5,.358,41.3,82.5,.500,17.3,22.9,.755,15.3,32.1,47.5,29.3,9.5,6.0,15.7,21.8,110.1
1991-92,NBA,PHI,35,47,5,,82,240.9,42.1,87.1,.483,2.3,7.5,.307,39.8,79.6,.499,16.8,21.6,.776,14.3,28.8,43.1,27.1,8.4,5.5,14.4,21.5,103.2
1990-91,NBA,PHI,44,38,2,,82,244.9,43.1,90.6,.476,2.4,8.0,.297,40.7,82.6,.493,16.9,21.9,.774,14.1,30.7,44.8,27.1,8.4,4.8,14.4,22.7,105.6
1989-90,NBA,PHI,53,29,1,,82,241.5,41.7,86.8,.480,2.6,7.0,.370,39.1,79.8,.490,19.3,25.0,.771,13.6,28.7,42.3,26.3,7.8,4.6,15.0,23.7,105.2
1988-89,NBA,PHI,46,36,2,,82,241.2,44.6,89.0,.501,2.1,6.0,.343,42.5,82.9,.513,19.1,24.7,.774,14.0,29.4,43.4,27.8,7.8,5.4,15.5,24.2,110.4
