Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,PHO,51,21,1,,72,242.8,40.5,86.8,.467,11.6,32.8,.354,28.9,54.0,.535,16.8,21.7,.778,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5
2019-20,NBA,PHO,34,39,3,,73,241.0,41.2,87.4,.472,11.6,32.0,.363,29.6,55.4,.535,19.3,24.5,.788,9.1,34.2,43.3,23.6,7.9,5.5,15.6,22.6,113.4
2018-19,NBA,PHO,19,63,5,,82,242.4,42.5,88.2,.482,11.1,29.9,.372,31.3,58.2,.538,20.8,27.6,.753,11.8,35.3,47.2,25.9,9.0,5.0,15.7,20.7,116.8
2017-18,NBA,PHO,21,61,5,,82,240.3,41.8,88.7,.471,10.9,29.2,.373,30.9,59.5,.519,18.8,24.6,.766,10.4,35.4,45.9,23.3,8.7,6.0,13.4,20.9,113.3
2016-17,NBA,PHO,24,58,5,,82,241.8,40.2,86.2,.467,10.1,26.3,.382,30.2,59.9,.504,22.8,29.1,.783,10.2,33.8,44.0,22.2,8.1,5.3,14.9,22.2,113.3
2015-16,NBA,PHO,23,59,4,,82,240.3,39.1,83.8,.467,9.4,24.9,.377,29.7,58.9,.505,19.9,26.5,.749,9.9,33.8,43.7,22.4,9.5,5.5,14.9,21.6,107.5
2014-15,NBA,PHO,39,43,3,,82,242.4,38.4,85.0,.452,7.7,21.9,.352,30.7,63.1,.486,18.8,24.8,.759,11.6,33.7,45.3,21.1,7.9,4.1,15.6,20.3,103.3
2013-14,NBA,PHO,48,34,3,,82,240.9,38.0,83.4,.456,6.8,19.9,.341,31.2,63.5,.492,19.8,25.8,.766,11.3,31.5,42.8,20.3,7.5,4.0,15.3,21.3,102.6
2012-13,NBA,PHO,25,57,5,,82,241.5,38.8,82.6,.470,6.9,17.9,.388,31.9,64.7,.492,17.1,22.6,.757,11.7,31.7,43.4,22.8,8.3,5.1,15.3,18.4,101.6
2011-12,NBA,PHO,33,33,3,,66,240.0,38.0,83.5,.455,6.0,17.1,.352,31.9,66.3,.481,16.7,21.9,.762,12.2,31.3,43.4,21.5,8.0,4.4,14.1,19.6,98.6
2010-11,NBA,PHO,40,42,2,,82,244.0,40.4,85.6,.472,7.1,19.5,.367,33.2,66.1,.502,18.1,24.0,.754,12.0,32.3,44.3,23.0,7.9,4.3,14.5,21.2,105.9
2009-10,NBA,PHO,54,28,2,,82,240.6,39.5,87.4,.452,6.8,19.3,.355,32.6,68.1,.479,19.6,25.8,.760,13.2,29.2,42.3,20.8,7.9,4.5,13.0,21.8,105.3
2008-09,NBA,PHO,46,36,2,,82,240.9,40.0,85.7,.467,7.6,19.9,.383,32.3,65.7,.492,19.9,25.7,.775,12.1,28.7,40.8,21.2,8.6,4.5,14.2,22.9,107.5
2007-08,NBA,PHO,55,27,2,,82,241.2,41.1,90.0,.456,5.7,16.2,.353,35.4,73.8,.479,17.2,22.9,.749,13.4,30.5,43.9,19.6,7.3,3.8,13.4,21.1,105.0
2006-07,NBA,PHO,61,21,1,,82,242.7,39.5,86.4,.457,6.1,16.9,.363,33.3,69.5,.480,17.8,23.2,.767,12.3,30.5,42.8,18.9,6.9,3.7,15.1,21.5,102.9
2005-06,NBA,PHO,54,28,1,,82,243.4,39.5,87.1,.454,6.3,17.4,.363,33.3,69.7,.477,17.4,23.9,.731,12.5,33.4,45.9,18.9,7.2,3.4,14.9,19.8,102.8
2004-05,NBA,PHO,62,20,1,,82,241.2,40.6,91.3,.445,6.0,18.0,.335,34.6,73.3,.472,16.1,21.6,.744,15.0,31.1,46.1,21.2,7.6,4.2,13.8,21.3,103.3
2003-04,NBA,PHO,29,53,6,,82,240.6,36.3,81.4,.446,5.8,16.8,.349,30.4,64.6,.471,19.5,25.5,.765,12.7,31.1,43.8,21.5,7.9,5.3,15.9,19.4,97.9
2002-03,NBA,PHO,44,38,4,,82,241.5,35.5,81.2,.438,5.3,16.6,.320,30.2,64.6,.468,18.0,23.6,.766,12.6,30.3,42.9,22.2,7.8,5.5,16.0,21.5,94.4
2001-02,NBA,PHO,36,46,6,,82,241.8,36.1,81.3,.444,5.3,14.7,.358,30.8,66.5,.463,18.4,24.5,.751,12.6,30.4,43.0,22.2,8.4,5.8,15.4,18.5,95.8
2000-01,NBA,PHO,51,31,3,,82,241.5,34.0,78.3,.435,4.0,11.4,.349,30.1,66.9,.449,19.7,25.9,.761,11.0,31.6,42.6,20.1,8.3,5.1,17.5,22.2,91.8
1999-00,NBA,PHO,53,29,3,,82,241.5,34.5,81.3,.424,4.9,14.0,.352,29.5,67.3,.439,19.9,26.9,.739,13.1,30.1,43.1,20.7,8.9,5.2,17.3,21.9,93.7
1998-99,NBA,PHO,27,23,3,,50,241.0,35.4,78.7,.450,5.4,15.1,.360,30.0,63.6,.472,17.0,24.5,.694,12.3,30.1,42.4,21.3,8.2,4.1,16.2,21.3,93.3
1997-98,NBA,PHO,56,26,3,,82,243.4,35.6,80.7,.442,4.8,13.3,.361,30.8,67.4,.458,18.3,25.0,.732,12.8,28.6,41.4,22.0,8.8,3.9,16.6,21.6,94.4
1996-97,NBA,PHO,40,42,4,,82,242.1,38.8,83.1,.467,6.6,18.0,.368,32.2,65.1,.494,17.9,24.2,.739,12.8,30.0,42.8,24.3,8.1,4.5,15.8,22.4,102.2
1995-96,NBA,PHO,41,41,4,,82,243.4,39.2,83.4,.471,6.7,18.2,.369,32.5,65.2,.499,18.8,25.4,.739,12.2,29.0,41.3,25.5,7.1,5.1,14.5,24.5,104.0
1994-95,NBA,PHO,59,23,1,,82,241.8,40.5,84.9,.477,6.4,18.8,.340,34.1,66.1,.516,19.4,26.1,.744,12.7,29.6,42.3,26.2,8.0,4.8,15.7,24.7,106.8
1993-94,NBA,PHO,56,26,2,,82,240.3,41.2,87.0,.474,3.5,10.5,.328,37.8,76.5,.494,17.5,24.4,.720,13.2,27.4,40.6,26.3,9.1,5.3,15.3,22.8,103.4
1992-93,NBA,PHO,62,20,1,,82,240.6,42.7,89.1,.479,3.0,9.1,.333,39.6,80.0,.496,18.3,25.3,.723,13.6,28.2,41.9,25.7,8.6,6.2,16.2,24.9,106.7
1991-92,NBA,PHO,53,29,3,,82,241.5,41.8,91.2,.459,2.2,7.1,.307,39.6,84.0,.471,20.4,26.9,.756,14.9,28.6,43.5,23.3,8.0,6.0,15.3,23.5,106.2
1990-91,NBA,PHO,55,27,3,,82,240.6,42.2,91.5,.462,2.2,7.1,.312,40.0,84.3,.474,20.8,27.4,.760,14.6,28.0,42.6,24.0,8.3,5.6,15.6,25.1,107.5
1989-90,NBA,PHO,54,28,3,,82,242.1,43.0,92.5,.465,2.4,6.9,.355,40.6,85.7,.474,19.3,26.4,.733,14.7,28.5,43.1,25.9,8.3,4.8,15.3,26.2,107.8
1988-89,NBA,PHO,55,27,2,,82,240.9,43.8,94.3,.464,2.2,6.9,.319,41.6,87.4,.475,21.2,28.1,.753,15.3,30.0,45.2,26.4,7.6,5.2,16.7,25.1,110.9
1987-88,NBA,PHO,28,54,4,,82,240.6,44.0,88.4,.498,1.6,5.1,.304,42.5,83.3,.510,23.4,30.6,.767,13.5,29.5,42.9,27.1,8.7,5.4,15.8,23.2,113.0
1986-87,NBA,PHO,36,46,5,,82,242.1,44.2,89.5,.494,1.5,4.8,.311,42.7,84.6,.504,23.7,31.3,.756,15.1,28.7,43.8,27.4,9.7,5.3,17.4,24.8,113.5
1985-86,NBA,PHO,32,50,3,,82,241.5,43.5,89.1,.488,1.1,3.4,.319,42.4,85.7,.495,24.9,32.8,.758,13.9,27.6,41.5,26.2,10.3,5.7,18.5,27.0,113.0
