Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,PHO,51,21,1,,26.6,6-5,212,,72,242.8,43.3,88.3,.490,13.1,34.6,.378,30.3,53.7,.563,15.6,18.7,.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3
2019-20,NBA,PHO,34,39,3,,24.6,6-6,212,,73,241.0,41.2,88.1,.468,11.4,31.8,.358,29.8,56.3,.529,19.9,23.8,.834,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6
2018-19,NBA,PHO,19,63,5,,24.0,6-7,213,,82,242.4,40.1,87.4,.459,9.6,29.3,.329,30.5,58.1,.525,17.6,22.7,.779,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5
2017-18,NBA,PHO,21,61,5,,23.7,6-7,215,,82,240.3,38.5,87.1,.442,9.3,27.9,.334,29.1,59.2,.492,17.7,23.9,.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9
2016-17,NBA,PHO,24,58,5,,25.0,6-6,219,,82,241.8,39.9,88.5,.450,7.5,22.6,.332,32.4,65.9,.491,20.4,26.3,.776,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7
2015-16,NBA,PHO,23,59,4,,26.0,6-7,223,,82,240.3,37.2,85.6,.435,9.0,25.8,.348,28.2,59.8,.472,17.5,23.2,.751,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9
2014-15,NBA,PHO,39,43,3,,25.7,6-6,217,,82,242.4,38.8,85.8,.452,8.5,25.0,.341,30.2,60.9,.497,16.4,21.5,.760,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4
2013-14,NBA,PHO,48,34,3,,26.2,6-6,218,,82,240.9,38.7,83.5,.463,9.3,25.1,.372,29.4,58.4,.503,18.5,24.4,.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2
2012-13,NBA,PHO,25,57,5,,26.9,6-7,220,,82,241.5,37.3,84.4,.443,5.9,17.7,.330,31.5,66.6,.473,14.7,19.7,.744,11.7,29.9,41.6,22.6,8.0,5.3,15.6,20.6,95.2
2011-12,NBA,PHO,33,33,3,,28.9,6-7,222,,66,240.0,37.8,82.5,.458,6.7,19.6,.343,31.1,62.9,.494,16.0,21.2,.757,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,98.4
