Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,POR,42,30,3,,72,240.3,41.8,88.3,.473,12.9,34.6,.372,28.9,53.6,.538,17.9,22.8,.787,9.9,35.5,45.4,24.9,6.1,4.6,12.4,19.1,114.3
2019-20,NBA,POR,35,39,4,,74,241.0,41.8,91.6,.456,13.6,35.4,.383,28.2,56.2,.501,19.1,24.7,.771,11.5,35.4,46.9,24.9,6.8,4.9,12.9,20.1,116.1
2018-19,NBA,POR,53,29,2,,82,242.1,41.1,90.0,.457,10.7,29.8,.359,30.4,60.3,.505,17.5,22.8,.770,10.3,32.6,42.8,23.2,7.4,5.1,12.4,20.7,110.5
2017-18,NBA,POR,49,33,1,,82,240.9,38.4,85.9,.447,9.7,26.6,.364,28.7,59.3,.484,16.6,22.0,.755,9.3,33.6,42.9,20.2,7.3,5.1,12.6,19.1,103.0
2016-17,NBA,POR,41,41,3,,82,243.0,39.2,86.2,.455,9.3,25.1,.370,29.9,61.1,.489,20.8,26.5,.785,10.1,33.9,44.0,20.6,7.7,5.3,12.8,19.8,108.5
2015-16,NBA,POR,44,38,2,,82,241.5,38.4,84.7,.453,8.5,23.0,.371,29.8,61.7,.484,19.0,26.0,.734,10.6,33.1,43.7,21.6,7.7,5.2,13.3,19.5,104.3
2014-15,NBA,POR,51,31,1,,82,242.1,38.2,86.9,.439,6.4,18.9,.338,31.8,67.9,.468,15.8,20.9,.758,11.0,33.6,44.6,20.4,8.0,3.6,12.2,18.7,98.6
2013-14,NBA,POR,54,28,2,,82,242.1,39.6,87.8,.451,6.5,18.3,.355,33.1,69.5,.476,17.0,22.2,.766,11.5,32.0,43.5,20.4,7.8,3.7,12.0,20.7,102.8
2012-13,NBA,POR,33,49,4,,82,242.1,39.3,83.0,.474,6.4,18.7,.340,33.0,64.3,.512,15.7,20.6,.761,11.0,31.4,42.4,23.7,8.4,4.4,13.1,18.7,100.7
2011-12,NBA,POR,28,38,4,,66,241.9,37.5,81.0,.463,6.7,18.4,.363,30.8,62.6,.492,16.1,21.5,.747,11.1,31.2,42.3,21.1,7.6,4.8,14.9,19.8,97.8
2010-11,NBA,POR,48,34,3,,82,241.5,35.4,75.8,.467,6.5,17.6,.367,29.0,58.3,.497,17.5,22.8,.767,10.6,29.1,39.7,19.2,6.9,4.1,15.7,21.3,94.8
2009-10,NBA,POR,50,32,3,,82,242.1,36.0,77.5,.464,5.9,17.1,.343,30.1,60.4,.499,17.0,22.8,.745,9.8,28.3,38.1,19.3,5.9,4.1,13.5,21.5,94.8
2008-09,NBA,POR,54,28,2,,82,241.8,35.4,76.9,.460,5.9,15.9,.374,29.4,61.0,.482,17.4,21.7,.803,9.6,26.7,36.3,19.4,6.3,3.9,13.2,21.1,94.1
2007-08,NBA,POR,41,41,3,,82,242.7,36.4,80.7,.451,6.5,18.3,.356,29.9,62.4,.479,17.1,22.3,.766,11.7,30.1,41.7,20.9,6.0,3.7,12.5,20.2,96.3
2006-07,NBA,POR,32,50,3,,82,243.4,36.1,76.7,.471,5.7,15.8,.361,30.4,61.0,.499,20.5,26.3,.778,10.4,28.6,39.0,20.8,6.6,4.6,13.7,21.3,98.4
2005-06,NBA,POR,21,61,5,,82,240.6,37.0,78.9,.468,6.1,15.9,.381,30.9,63.0,.491,18.3,24.0,.760,12.5,29.8,42.4,21.2,7.2,4.9,12.9,20.8,98.3
