Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,POR,42,30,3,,27.4,6-5,216,,72,240.3,41.3,91.1,.453,15.7,40.8,.385,25.6,50.3,.509,17.8,21.6,.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1
2019-20,NBA,POR,35,39,4,,27.5,6-6,216,,74,241.0,42.2,91.2,.463,12.9,34.1,.377,29.3,57.1,.514,17.7,22.1,.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0
2018-19,NBA,POR,53,29,2,,26.2,6-7,218,,82,242.1,42.3,90.6,.467,11.0,30.7,.359,31.3,59.8,.523,19.0,23.3,.814,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7
2017-18,NBA,POR,49,33,1,,25.6,6-6,217,,82,240.9,39.3,87.0,.452,10.3,28.1,.366,29.0,58.8,.493,16.7,20.9,.800,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6
2016-17,NBA,POR,41,41,3,,24.8,6-7,218,,82,243.0,39.5,86.1,.459,10.4,27.7,.375,29.2,58.4,.499,18.5,23.7,.780,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9
2015-16,NBA,POR,44,38,2,,24.3,6-7,218,,82,241.5,38.6,85.9,.450,10.5,28.5,.370,28.1,57.4,.490,17.4,23.0,.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1
2014-15,NBA,POR,51,31,1,,27.0,6-7,218,,82,242.1,38.7,86.0,.450,9.8,27.2,.362,28.9,58.8,.491,15.5,19.4,.801,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8
2013-14,NBA,POR,54,28,2,,25.8,6-7,217,,82,242.1,39.1,87.0,.450,9.4,25.3,.372,29.7,61.7,.481,19.1,23.5,.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7
2012-13,NBA,POR,33,49,4,,24.4,6-7,217,,82,242.1,36.7,81.9,.448,8.2,23.2,.353,28.5,58.7,.486,15.9,20.5,.776,10.7,30.2,40.8,21.8,6.6,4.3,14.7,18.5,97.5
2011-12,NBA,POR,28,38,4,,27.5,6-6,215,,66,241.9,36.4,82.1,.443,7.2,20.9,.346,29.2,61.1,.477,17.2,21.6,.796,11.1,29.5,40.7,20.4,8.0,4.9,14.2,19.0,97.2
2010-11,NBA,POR,48,34,3,,26.7,6-6,214,,82,241.5,36.0,80.5,.447,6.3,18.3,.345,29.7,62.1,.477,18.0,22.4,.804,12.1,27.2,39.3,21.2,8.0,4.4,13.0,19.3,96.3
2009-10,NBA,POR,50,32,3,,26.6,6-7,215,,82,242.1,36.3,78.7,.461,6.0,16.9,.354,30.3,61.8,.490,19.6,24.8,.790,11.1,29.1,40.2,20.4,6.4,4.3,12.3,20.9,98.1
2008-09,NBA,POR,54,28,2,,24.0,6-7,214,,82,241.8,36.8,79.2,.465,7.3,19.0,.383,29.5,60.2,.490,18.5,24.2,.765,12.9,28.8,41.7,20.3,6.7,4.9,12.9,20.4,99.4
2007-08,NBA,POR,41,41,3,,24.1,6-7,216,,82,242.7,35.8,79.8,.448,6.6,17.4,.377,29.2,62.4,.468,17.2,22.5,.767,11.0,29.7,40.7,21.1,5.5,4.4,12.9,20.0,95.4
2006-07,NBA,POR,32,50,3,,24.4,6-6,219,,82,243.4,35.0,78.0,.450,5.2,15.0,.346,29.9,62.9,.474,18.8,24.5,.769,11.3,28.0,39.3,18.5,6.8,4.6,15.1,23.5,94.1
2005-06,NBA,POR,21,61,5,,24.6,6-6,210,,82,240.6,34.0,76.4,.445,4.4,12.7,.349,29.6,63.7,.464,16.3,23.7,.689,10.8,26.9,37.7,18.2,6.5,5.3,14.7,22.3,88.8
2004-05,NBA,POR,27,55,4,,27.0,6-5,210,,82,240.6,35.3,78.3,.451,5.1,14.2,.362,30.2,64.2,.471,17.2,23.7,.725,11.8,29.3,41.1,21.0,7.1,6.6,16.0,20.8,92.9
2003-04,NBA,POR,41,41,3,,27.6,6-6,213,,82,243.7,35.3,78.9,.448,4.6,13.4,.346,30.7,65.4,.469,15.4,21.1,.731,12.7,29.0,41.7,21.6,7.5,5.4,14.8,19.0,90.7
2002-03,NBA,POR,50,32,3,,29.2,6-7,216,,82,242.1,36.4,79.2,.460,4.6,14.0,.330,31.8,65.1,.488,17.7,23.7,.745,12.1,29.0,41.1,22.7,8.8,3.9,15.2,19.9,95.2
2001-02,NBA,POR,49,33,3,,29.0,6-6,209,,82,241.8,36.6,81.4,.450,5.7,16.1,.354,31.0,65.3,.474,17.7,23.2,.763,13.2,29.8,43.0,23.5,8.6,4.5,14.3,19.7,96.6
2000-01,NBA,POR,50,32,4,,30.1,6-6,211,,82,241.2,36.6,78.3,.468,4.5,12.9,.349,32.1,65.4,.492,17.6,23.2,.762,11.7,30.3,42.0,23.9,8.2,5.1,15.3,21.3,95.4
1999-00,NBA,POR,59,23,2,,29.6,6-7,213,,82,241.2,36.8,78.4,.470,5.0,13.8,.361,31.9,64.7,.493,18.8,24.7,.760,11.8,31.2,43.0,23.5,7.7,4.8,15.2,22.7,97.5
1998-99,NBA,POR,35,15,1,,27.4,6-6,222,,50,243.5,34.9,79.1,.442,4.9,13.5,.364,30.0,65.6,.457,20.0,27.0,.743,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5,94.8
1997-98,NBA,POR,46,36,4,,26.1,6-7,223,,82,241.8,35.2,78.0,.451,4.0,12.8,.309,31.2,65.2,.479,20.0,27.1,.737,13.2,30.8,44.0,21.5,7.1,5.7,16.9,22.7,94.3
1996-97,NBA,POR,49,33,3,,26.4,6-7,221,,82,242.1,36.6,78.8,.464,6.1,17.1,.358,30.5,61.8,.493,19.7,27.6,.713,12.9,30.4,43.3,20.9,7.8,5.3,16.5,23.5,99.0
1995-96,NBA,POR,44,38,3,,28.1,6-7,215,,82,242.7,37.4,81.6,.458,5.9,16.6,.353,31.5,65.0,.485,18.7,28.3,.662,14.1,31.4,45.6,21.5,7.2,5.1,16.8,22.7,99.3
1994-95,NBA,POR,44,38,4,,29.3,6-7,209,,82,240.3,39.2,87.0,.451,5.6,15.4,.365,33.6,71.6,.469,19.0,27.2,.697,16.5,29.8,46.3,22.5,8.1,5.7,14.8,24.7,103.1
1993-94,NBA,POR,47,35,4,,28.6,6-6,208,,82,240.9,41.1,90.6,.454,3.3,9.4,.353,37.8,81.2,.466,21.7,29.2,.743,15.9,30.0,45.9,25.2,9.1,5.0,14.8,22.3,107.3
1992-93,NBA,POR,51,31,3,,28.2,6-6,215,,82,242.7,41.0,89.5,.458,3.4,10.3,.326,37.6,79.3,.475,23.2,31.1,.745,15.0,30.6,45.5,24.0,9.4,5.2,14.8,23.1,108.5
1991-92,NBA,POR,57,25,1,,28.1,6-7,216,,82,242.4,42.4,89.7,.473,4.0,11.5,.344,38.4,78.1,.492,22.7,30.0,.754,15.8,31.1,46.9,25.2,9.2,5.0,16.2,24.2,111.4
1990-91,NBA,POR,63,19,1,,27.9,6-7,216,,82,242.7,43.6,89.9,.485,4.2,11.0,.377,39.5,78.8,.501,23.3,31.0,.753,14.7,31.2,45.9,27.5,8.8,5.0,16.0,24.1,114.7
1989-90,NBA,POR,59,23,2,,26.7,6-7,216,,82,242.4,43.6,92.0,.473,2.3,6.9,.336,41.2,85.1,.484,24.8,33.3,.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25.0,114.2
1988-89,NBA,POR,39,43,5,,26.9,6-7,219,,82,241.8,45.1,95.1,.474,2.6,7.9,.335,42.4,87.2,.487,21.8,29.5,.740,16.9,29.0,45.9,27.0,10.1,4.7,17.5,24.7,114.6
1987-88,NBA,POR,53,29,2,,27.1,6-7,218,,82,240.6,44.6,91.0,.491,1.4,4.6,.308,43.2,86.3,.501,25.4,32.9,.770,15.3,30.4,45.6,28.1,8.9,4.2,16.5,25.5,116.1
1986-87,NBA,POR,49,33,2,,26.9,6-7,216,,82,241.5,44.5,88.4,.504,1.2,4.1,.289,43.3,84.3,.514,27.7,35.7,.775,14.4,29.4,43.8,28.8,9.4,4.7,18.9,25.4,117.9
1985-86,NBA,POR,40,42,2,,26.6,6-7,211,,82,242.1,44.0,88.8,.496,0.9,3.4,.269,43.1,85.4,.505,26.1,34.1,.765,14.1,28.2,42.3,26.6,10.5,4.3,18.6,26.9,115.1
1984-85,NBA,POR,42,40,2,,25.2,6-7,211,,82,242.4,45.2,89.9,.503,0.6,2.5,.252,44.6,87.5,.510,24.4,32.5,.751,14.7,28.0,42.7,27.1,10.0,6.3,18.1,23.9,115.5
1983-84,NBA,POR,48,34,2,,25.8,6-6,208,,82,241.5,44.3,87.7,.505,0.3,1.6,.194,44.0,86.1,.511,24.2,32.2,.754,15.3,26.8,42.0,25.4,9.9,4.8,18.1,26.0,113.1
