Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,SAC,31,41,5,,72,240.3,43.6,89.4,.488,12.4,32.6,.380,31.2,56.8,.549,17.8,22.7,.787,10.7,34.6,45.2,25.3,7.6,4.7,13.7,18.7,117.4
2019-20,NBA,SAC,31,41,4,,72,242.4,40.3,85.5,.471,12.4,34.8,.357,27.8,50.7,.549,19.2,24.3,.790,9.1,34.5,43.5,24.9,7.7,4.2,15.2,19.5,112.1
2018-19,NBA,SAC,39,43,3,,82,240.6,42.3,90.6,.466,12.0,34.6,.348,30.2,56.0,.540,18.8,24.4,.770,11.2,36.8,48.0,24.7,7.5,5.1,15.9,21.4,115.3
2017-18,NBA,SAC,27,55,4,,82,240.9,38.7,82.4,.470,11.9,31.5,.377,26.8,50.9,.527,16.4,21.5,.765,9.1,34.7,43.8,23.6,7.8,4.7,14.3,17.3,105.8
2016-17,NBA,SAC,32,50,3,,82,242.4,38.5,83.2,.462,10.9,30.0,.364,27.5,53.2,.517,18.9,24.2,.778,10.1,32.8,42.9,23.7,8.5,5.1,14.0,20.1,106.7
2015-16,NBA,SAC,33,49,3,,82,241.5,40.6,87.7,.462,10.2,28.0,.366,30.3,59.8,.508,17.7,23.2,.762,11.3,33.7,45.0,24.2,8.8,5.3,16.0,22.0,109.1
2014-15,NBA,SAC,29,53,4,,82,242.1,39.5,86.5,.456,8.8,25.1,.349,30.7,61.5,.500,17.3,23.1,.748,11.0,30.2,41.2,23.3,8.7,6.2,12.9,23.9,105.0
2013-14,NBA,SAC,28,54,4,,82,241.8,37.8,82.1,.461,8.5,22.4,.380,29.4,59.8,.491,19.2,26.1,.737,9.9,31.3,41.2,23.5,7.8,5.6,13.6,23.1,103.4
2012-13,NBA,SAC,28,54,4,,82,241.8,39.3,83.3,.472,7.6,21.5,.355,31.7,61.8,.512,18.9,24.1,.783,11.9,31.7,43.6,25.1,7.6,6.3,14.7,20.0,105.1
2011-12,NBA,SAC,22,44,5,,66,241.1,40.4,85.0,.476,6.7,18.7,.355,33.8,66.3,.510,16.9,22.2,.762,12.3,32.6,45.0,23.8,7.8,6.4,15.4,19.9,104.4
2010-11,NBA,SAC,24,58,5,,82,242.1,39.8,83.2,.478,5.9,16.5,.355,33.9,66.7,.508,19.4,25.4,.762,10.6,30.6,41.2,21.7,8.1,5.7,14.7,21.0,104.7
2009-10,NBA,SAC,25,57,5,,82,242.4,39.0,83.3,.469,6.1,17.0,.357,33.0,66.3,.497,20.3,26.2,.774,11.1,31.0,42.0,20.5,7.1,5.7,13.7,20.1,104.4
2008-09,NBA,SAC,17,65,5,,82,242.7,40.0,82.8,.483,7.1,17.4,.406,32.9,65.4,.504,22.2,29.4,.756,12.4,31.6,44.0,21.9,8.6,5.2,14.4,21.2,109.3
2007-08,NBA,SAC,38,44,4,,82,241.8,38.3,82.1,.466,7.3,19.5,.373,31.0,62.6,.495,21.0,27.9,.753,11.8,30.1,41.9,22.9,8.1,5.5,15.2,23.1,104.8
2006-07,NBA,SAC,33,49,5,,82,241.5,38.4,81.4,.472,6.8,18.6,.365,31.6,62.8,.503,19.5,25.8,.757,11.1,32.3,43.4,22.4,7.0,4.9,16.3,24.3,103.1
2005-06,NBA,SAC,44,38,4,,82,241.8,37.2,82.0,.454,5.6,16.0,.351,31.6,66.0,.479,17.2,23.1,.747,11.6,30.5,42.1,21.1,8.0,4.9,14.6,23.0,97.3
2004-05,NBA,SAC,50,32,2,,82,242.1,38.9,84.6,.459,5.7,16.1,.357,33.1,68.6,.483,18.1,24.5,.738,13.4,30.9,44.3,21.5,7.6,4.5,14.7,21.5,101.6
2003-04,NBA,SAC,55,27,2,,82,241.2,38.3,84.4,.454,5.0,14.7,.339,33.3,69.7,.478,16.3,21.7,.749,13.2,30.7,43.9,21.3,7.9,5.0,14.9,22.2,97.8
