Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,SAS,33,39,3,,72,242.8,42.4,89.8,.472,12.3,32.6,.377,30.1,57.2,.527,15.7,20.7,.758,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8
2019-20,NBA,SAS,32,39,4,,71,242.5,42.3,90.2,.469,13.1,35.1,.373,29.2,55.1,.530,17.4,22.5,.777,9.4,35.9,45.3,25.7,6.8,4.3,13.2,20.1,115.2
2018-19,NBA,SAS,48,34,2,,82,241.5,41.5,89.7,.463,11.7,32.7,.359,29.8,57.0,.522,15.2,20.2,.755,9.2,34.7,43.9,24.7,7.2,4.0,12.2,19.6,110.0
2017-18,NBA,SAS,47,35,3,,82,240.6,38.2,84.3,.453,9.1,26.3,.348,29.0,58.0,.501,14.3,18.9,.759,9.2,33.3,42.5,21.8,7.6,3.9,14.1,19.7,99.8
2016-17,NBA,SAS,61,21,1,,82,241.5,37.0,83.4,.443,8.1,23.7,.344,28.8,59.7,.483,16.0,20.8,.771,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
2015-16,NBA,SAS,67,15,1,,82,240.3,35.7,81.8,.436,6.6,19.9,.331,29.1,61.9,.470,14.9,19.6,.758,9.1,31.4,40.5,20.8,7.2,3.9,14.8,19.5,92.9
2014-15,NBA,SAS,55,27,3,,82,243.4,37.1,83.7,.444,6.8,18.9,.360,30.3,64.8,.468,15.9,21.4,.745,9.9,32.2,42.1,20.7,7.9,4.4,14.2,19.7,97.0
2013-14,NBA,SAS,62,20,1,,82,240.9,37.8,85.1,.444,6.5,18.3,.353,31.3,66.8,.469,15.7,20.6,.760,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6
2012-13,NBA,SAS,58,24,1,,82,242.4,37.5,84.9,.442,6.3,17.9,.353,31.2,66.9,.466,15.2,20.0,.760,11.1,31.4,42.5,21.4,8.2,4.9,14.9,19.1,96.6
2011-12,NBA,SAS,50,16,1,,66,241.5,38.1,84.2,.452,6.2,17.7,.353,31.8,66.6,.478,14.1,18.7,.756,10.3,30.9,41.2,19.6,7.4,5.0,13.7,18.8,96.5
