Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,SAS,33,39,3,,26.2,6-6,214,,72,242.8,41.9,90.5,.462,9.9,28.4,.350,31.9,62.1,.514,17.4,22.0,.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1
2019-20,NBA,SAS,32,39,4,,27.6,6-6,216,,71,242.5,42.2,89.4,.472,10.7,28.5,.376,31.5,61.0,.516,19.0,23.4,.810,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1
2018-19,NBA,SAS,48,34,2,,28.8,6-6,218,,82,241.5,42.3,88.4,.478,9.9,25.3,.392,32.4,63.1,.513,17.2,21.0,.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7
2017-18,NBA,SAS,47,35,3,,29.3,6-6,214,,82,240.6,39.0,85.4,.457,8.5,24.1,.352,30.6,61.2,.499,16.1,20.9,.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7
2016-17,NBA,SAS,61,21,1,,29.6,6-7,222,,82,241.5,39.3,83.7,.469,9.2,23.5,.391,30.1,60.2,.500,17.6,22.0,.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3
2015-16,NBA,SAS,67,15,1,,30.3,6-7,223,,82,240.3,40.1,82.9,.484,7.0,18.5,.375,33.2,64.4,.515,16.4,20.4,.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
2014-15,NBA,SAS,55,27,3,,29.8,6-6,215,,82,243.4,39.1,83.6,.468,8.3,22.5,.367,30.9,61.1,.505,16.7,21.4,.780,9.8,33.8,43.6,24.4,8.0,5.4,14.0,19.1,103.2
2013-14,NBA,SAS,62,20,1,,28.9,6-6,213,,82,240.9,40.6,83.5,.486,8.5,21.4,.397,32.0,62.0,.517,15.7,20.0,.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4
2012-13,NBA,SAS,58,24,1,,28.6,6-6,217,,82,242.4,39.1,81.4,.481,8.1,21.5,.376,31.1,59.9,.519,16.6,21.0,.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0
2011-12,NBA,SAS,50,16,1,,27.5,6-6,221,,66,241.5,39.6,82.8,.478,8.4,21.3,.393,31.2,61.5,.507,16.2,21.6,.748,10.3,32.6,43.0,23.2,7.4,4.4,13.6,17.3,103.7
2010-11,NBA,SAS,61,21,1,,28.8,6-6,217,,82,241.2,38.4,80.8,.475,8.4,21.1,.397,30.0,59.8,.503,18.5,24.2,.767,10.1,31.7,41.9,22.4,7.3,4.5,13.4,19.0,103.7
2009-10,NBA,SAS,50,32,2,,28.7,6-6,217,,82,241.2,38.4,81.2,.473,6.8,18.9,.358,31.7,62.3,.508,17.8,24.0,.740,10.8,32.0,42.8,22.3,6.3,4.6,13.6,20.4,101.4
2008-09,NBA,SAS,54,28,1,,30.4,6-6,213,,82,242.7,37.1,79.7,.466,7.6,19.8,.386,29.5,59.9,.492,15.2,20.0,.761,8.9,32.2,41.0,21.2,5.8,4.0,11.7,18.9,97.0
2007-08,NBA,SAS,56,26,2,,31.4,6-6,212,,82,240.6,35.8,78.3,.457,7.2,19.6,.369,28.6,58.7,.487,16.5,21.6,.761,9.4,31.9,41.3,21.0,6.4,4.1,12.6,18.7,95.4
2006-07,NBA,SAS,58,24,2,,30.4,6-7,212,,82,241.2,36.6,77.2,.474,7.3,19.0,.381,29.3,58.1,.504,18.1,24.1,.751,9.3,31.4,40.7,22.1,7.2,5.1,13.9,19.4,98.5
2005-06,NBA,SAS,63,19,1,,29.8,6-7,210,,82,241.5,36.5,77.3,.472,6.4,16.6,.385,30.1,60.7,.496,16.2,23.1,.702,10.4,31.1,41.5,20.9,6.6,5.7,13.7,20.9,95.6
2004-05,NBA,SAS,59,23,1,,28.5,6-6,212,,82,241.5,35.6,78.7,.453,6.2,17.0,.363,29.5,61.6,.478,18.7,25.9,.724,12.0,30.4,42.4,21.6,7.5,6.6,13.7,20.9,96.2
2003-04,NBA,SAS,57,25,2,,27.3,6-7,215,,82,240.9,34.7,78.5,.442,5.0,13.9,.358,29.7,64.6,.460,17.2,25.2,.681,12.5,32.5,45.1,20.4,8.1,6.5,14.7,20.3,91.5
