Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,TOR,27,45,5,,72,240.3,39.0,84.7,.461,13.9,36.7,.379,25.1,48.0,.523,19.8,24.8,.799,10.0,35.9,45.9,26.0,6.6,5.6,16.1,19.5,111.7
2019-20,NBA,TOR,53,19,1,,72,241.4,37.8,88.3,.428,13.1,38.9,.337,24.7,49.5,.499,17.8,23.2,.769,10.9,35.1,46.1,25.6,7.2,5.5,16.8,20.4,106.5
2018-19,NBA,TOR,58,24,1,,82,242.4,40.3,89.7,.449,10.8,31.2,.345,29.5,58.5,.505,17.1,22.3,.765,10.6,34.2,44.8,24.5,7.6,4.5,14.9,20.5,108.4
2017-18,NBA,TOR,59,23,1,,82,241.8,38.4,85.6,.449,8.9,25.0,.357,29.5,60.6,.486,18.2,23.7,.767,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9
2016-17,NBA,TOR,51,31,2,,82,241.2,37.2,82.9,.449,9.7,27.3,.354,27.5,55.6,.495,18.5,23.8,.780,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
2015-16,NBA,TOR,56,26,1,,82,241.2,36.5,82.1,.444,8.7,23.4,.373,27.7,58.7,.473,16.5,22.1,.748,9.5,31.2,40.8,21.7,6.5,5.4,13.3,22.0,98.2
2014-15,NBA,TOR,49,33,1,,82,242.1,38.0,82.8,.459,7.7,22.3,.346,30.3,60.5,.501,17.2,23.5,.733,11.2,31.2,42.5,22.8,6.9,5.0,14.4,20.3,100.9
2013-14,NBA,TOR,48,34,1,,82,243.4,36.1,80.2,.450,6.9,19.2,.360,29.1,60.9,.478,19.0,25.3,.752,10.4,30.5,41.0,21.0,7.3,4.3,14.9,22.1,98.0
2012-13,NBA,TOR,34,48,5,,82,243.7,36.2,79.2,.458,6.7,18.4,.361,29.6,60.8,.487,19.6,26.2,.747,10.7,31.0,41.7,21.9,7.0,4.7,14.3,20.1,98.7
2011-12,NBA,TOR,23,43,4,,66,241.9,33.8,77.7,.435,6.1,18.5,.328,27.8,59.2,.469,20.2,27.2,.744,10.3,30.3,40.5,20.1,7.2,4.9,13.2,18.4,94.0
2010-11,NBA,TOR,22,60,5,,82,241.2,39.2,81.3,.482,6.6,17.5,.376,32.6,63.8,.511,20.4,26.5,.769,11.1,30.0,41.1,22.6,7.6,5.6,13.9,19.8,105.4
2009-10,NBA,TOR,40,42,2,,82,241.2,39.0,83.2,.468,7.4,20.3,.366,31.5,62.9,.501,20.5,26.2,.784,11.4,29.9,41.3,23.0,7.1,4.4,12.7,21.1,105.9
2008-09,NBA,TOR,33,49,4,,82,241.5,38.7,83.3,.465,7.7,20.9,.367,31.0,62.3,.498,16.8,21.5,.784,10.9,31.0,41.9,23.0,6.4,4.7,13.3,20.1,101.9
2007-08,NBA,TOR,41,41,2,,82,241.8,36.7,80.1,.458,7.5,20.5,.368,29.1,59.6,.489,16.4,21.1,.776,10.1,31.5,41.6,21.9,5.7,4.1,14.0,18.4,97.3
2006-07,NBA,TOR,47,35,1,,82,240.9,37.2,80.4,.463,6.5,18.2,.357,30.7,62.2,.494,17.6,23.3,.754,10.3,32.2,42.5,21.2,6.0,3.9,15.1,21.8,98.5
2005-06,NBA,TOR,27,55,4,,82,243.4,38.6,78.6,.491,6.2,16.6,.373,32.4,62.0,.522,20.7,27.6,.748,10.2,31.0,41.1,23.6,6.3,4.4,14.2,22.4,104.0
2004-05,NBA,TOR,33,49,4,,82,241.5,38.2,81.8,.467,5.3,14.9,.356,32.9,66.9,.492,19.6,26.4,.744,12.1,33.2,45.3,22.1,6.2,4.4,14.4,21.9,101.4
2003-04,NBA,TOR,33,49,6,,82,243.7,33.2,77.6,.428,3.3,10.8,.307,29.9,66.8,.447,18.7,25.1,.747,12.6,32.5,45.1,18.5,7.2,4.1,14.6,19.7,88.5
2002-03,NBA,TOR,24,58,7,,82,241.5,37.0,80.4,.461,4.5,12.0,.375,32.5,68.4,.476,18.2,24.0,.759,11.9,31.7,43.6,21.1,7.4,5.0,13.7,20.8,96.8
2001-02,NBA,TOR,42,40,3,,82,240.9,34.4,77.9,.441,4.6,13.3,.346,29.8,64.6,.461,18.5,24.5,.752,12.1,29.7,41.8,19.9,7.7,4.8,15.2,19.7,91.8
2000-01,NBA,TOR,47,35,2,,82,243.4,36.7,82.0,.447,4.6,12.7,.363,32.1,69.3,.463,17.4,23.0,.754,11.3,30.6,41.9,20.7,6.8,5.4,14.1,21.9,95.4
1999-00,NBA,TOR,45,37,3,,82,240.9,36.6,80.7,.454,4.2,12.5,.339,32.4,68.2,.475,19.9,26.0,.764,11.7,31.1,42.8,21.8,6.8,5.3,15.2,22.9,97.3
1998-99,NBA,TOR,23,27,6,,50,241.5,33.9,77.1,.439,5.1,13.7,.372,28.8,63.4,.454,19.9,27.4,.728,12.3,27.9,40.1,21.9,8.9,5.2,15.5,21.8,92.8
