Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,UTA,52,20,1,,72,241.0,40.9,91.4,.447,10.9,31.8,.341,30.0,59.6,.504,14.5,18.9,.768,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2
2019-20,NBA,UTA,44,28,3,,72,241.0,40.7,89.1,.457,11.0,31.0,.353,29.7,58.1,.512,16.5,21.5,.767,9.6,33.1,42.7,21.5,7.9,4.6,12.3,20.8,108.8
2018-19,NBA,UTA,50,32,3,,82,240.9,40.0,88.5,.452,9.8,27.7,.355,30.1,60.7,.496,16.7,22.2,.753,8.9,33.7,42.6,21.6,8.5,4.6,13.9,22.4,106.5
2017-18,NBA,UTA,48,34,3,,82,240.9,37.3,83.0,.449,9.5,26.0,.365,27.8,57.0,.488,15.8,20.5,.771,8.7,33.0,41.6,20.0,8.3,4.6,14.9,20.5,99.8
2016-17,NBA,UTA,51,31,1,,82,240.9,36.3,82.0,.443,8.2,22.9,.358,28.1,59.1,.476,16.0,20.7,.769,9.0,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8
2015-16,NBA,UTA,40,42,3,,82,243.4,35.6,79.9,.446,7.9,22.2,.357,27.7,57.7,.480,16.8,22.5,.746,9.3,30.8,40.1,19.1,8.0,4.7,14.0,19.9,95.9
2014-15,NBA,UTA,38,44,3,,82,240.3,35.8,80.3,.446,7.4,20.4,.362,28.4,60.0,.474,16.0,21.5,.744,9.9,29.3,39.2,19.4,8.2,4.7,13.1,19.6,94.9
2013-14,NBA,UTA,25,57,5,,82,241.2,38.3,81.0,.473,7.3,19.4,.376,31.0,61.6,.503,18.3,23.7,.773,10.3,32.2,42.5,21.8,7.5,4.9,12.6,20.4,102.2
2012-13,NBA,UTA,43,39,3,,82,242.4,36.6,79.9,.458,6.8,18.5,.370,29.8,61.4,.485,18.0,23.8,.757,11.0,29.8,40.8,20.6,7.8,5.9,14.7,20.4,98.1
2011-12,NBA,UTA,36,30,3,,66,244.9,36.4,80.5,.453,6.5,19.1,.340,29.9,61.4,.488,19.7,26.2,.754,11.0,30.1,41.2,20.5,7.5,5.7,14.7,20.7,99.0
2010-11,NBA,UTA,39,43,4,,82,242.4,36.2,78.8,.459,7.2,19.2,.376,29.0,59.6,.486,21.7,27.9,.778,11.3,29.6,40.9,20.7,7.4,5.0,14.6,22.0,101.3
2009-10,NBA,UTA,53,29,2,,82,240.9,35.5,78.9,.449,6.7,19.0,.354,28.7,59.9,.480,21.2,27.9,.762,10.2,29.0,39.2,19.9,7.7,5.4,15.1,22.2,98.9
2008-09,NBA,UTA,48,34,3,,82,242.4,36.8,79.4,.464,6.5,18.0,.361,30.3,61.3,.494,20.8,27.2,.763,11.1,29.2,40.3,20.0,8.0,5.2,16.1,24.0,100.9
2007-08,NBA,UTA,54,28,1,,82,240.3,35.3,76.7,.461,6.2,17.3,.357,29.1,59.4,.491,22.5,30.1,.749,10.3,27.5,37.8,19.9,7.5,5.1,15.9,23.1,99.3
2006-07,NBA,UTA,51,31,1,,82,241.5,34.4,75.5,.455,6.2,17.4,.355,28.2,58.1,.485,23.7,30.9,.767,9.9,27.1,37.0,18.9,7.6,5.3,15.0,24.5,98.6
2005-06,NBA,UTA,41,41,2,,82,242.4,33.3,74.1,.449,6.0,15.8,.378,27.3,58.3,.469,22.4,30.1,.746,10.6,27.3,37.9,18.4,8.1,5.6,14.2,25.7,95.0
2004-05,NBA,UTA,26,56,5,,82,241.2,33.3,72.7,.458,5.9,15.8,.375,27.4,56.9,.481,24.7,32.4,.764,10.5,27.2,37.7,19.4,7.9,5.8,14.4,25.1,97.3
2003-04,NBA,UTA,42,40,7,,82,241.2,31.0,71.7,.432,5.1,14.7,.343,25.9,57.0,.455,22.9,29.6,.771,10.6,26.0,36.6,18.6,8.1,6.5,15.4,24.4,89.9
2002-03,NBA,UTA,47,35,4,,82,241.2,33.5,77.4,.434,5.3,15.3,.349,28.2,62.1,.454,19.8,26.1,.759,12.3,25.9,38.2,19.5,8.8,5.2,15.9,23.8,92.3
2001-02,NBA,UTA,44,38,4,,82,241.8,33.9,75.8,.447,5.7,14.8,.383,28.2,61.0,.462,21.7,28.1,.771,11.3,26.9,38.2,19.3,9.1,6.7,16.7,25.2,95.1
2000-01,NBA,UTA,53,29,2,,82,241.2,32.5,74.1,.439,5.0,14.6,.343,27.5,59.5,.462,22.3,29.2,.765,10.7,26.6,37.3,19.1,8.5,5.5,16.1,24.5,92.4
1999-00,NBA,UTA,55,27,1,,82,240.9,33.9,76.1,.446,4.7,13.4,.354,29.2,62.7,.465,19.5,26.1,.746,10.8,27.3,38.1,19.8,7.2,5.0,15.5,24.7,92.0
1998-99,NBA,UTA,37,13,2,,50,243.5,31.9,77.3,.413,4.3,13.3,.321,27.6,63.9,.432,18.7,26.0,.721,12.7,25.9,38.6,18.1,8.6,5.3,14.9,26.2,86.8
1997-98,NBA,UTA,62,20,1,,82,241.2,34.2,77.9,.439,4.9,13.7,.357,29.3,64.2,.457,21.1,27.9,.757,12.0,24.5,36.5,20.6,7.9,5.2,14.1,26.0,94.4
1996-97,NBA,UTA,64,18,1,,82,241.8,33.0,75.5,.438,6.4,18.0,.352,26.7,57.4,.465,21.9,29.2,.750,11.7,25.6,37.3,19.4,7.8,4.5,16.2,24.9,94.3
1995-96,NBA,UTA,55,27,2,,82,241.2,33.5,75.3,.445,6.7,17.4,.385,26.8,57.9,.463,22.2,29.5,.751,11.4,26.2,37.6,20.0,7.1,5.0,15.7,24.2,95.9
1994-95,NBA,UTA,60,22,2,,82,241.2,34.7,76.6,.453,6.7,17.5,.382,28.0,59.2,.474,22.4,30.2,.741,11.2,25.9,37.1,20.9,7.9,5.2,16.5,25.0,98.4
1993-94,NBA,UTA,53,29,3,,82,241.8,36.3,81.0,.448,3.5,11.8,.299,32.7,69.2,.473,21.6,29.8,.725,13.4,28.4,41.8,22.0,7.2,5.6,16.1,23.4,97.7
1992-93,NBA,UTA,47,35,3,,82,240.9,39.7,85.0,.467,3.3,10.2,.325,36.4,74.8,.487,21.3,28.6,.744,13.7,28.2,41.9,23.5,7.9,5.7,15.7,24.0,104.0
1991-92,NBA,UTA,55,27,1,,82,242.4,40.1,87.5,.459,2.9,8.5,.337,37.3,79.1,.472,18.7,25.1,.747,14.0,27.5,41.5,23.5,7.9,5.6,14.7,23.9,101.9
1990-91,NBA,UTA,54,28,2,,82,241.2,39.2,85.5,.459,2.5,8.1,.307,36.7,77.4,.475,19.7,25.5,.773,13.4,27.8,41.2,22.7,8.4,5.0,15.3,24.3,100.7
1989-90,NBA,UTA,55,27,2,,82,241.8,38.6,84.7,.455,2.1,6.9,.309,36.5,77.9,.468,22.7,29.9,.761,13.4,27.0,40.4,23.0,9.0,5.5,15.1,23.3,102.0
1988-89,NBA,UTA,51,31,1,,82,240.6,38.0,87.4,.434,2.3,7.4,.305,35.7,80.0,.446,21.5,28.6,.754,14.9,27.2,42.1,22.1,9.5,6.2,16.2,25.4,99.7
1987-88,NBA,UTA,47,35,3,,82,240.3,39.9,88.8,.449,1.8,5.7,.315,38.1,83.2,.459,23.2,30.2,.770,15.6,29.8,45.4,24.3,9.4,5.8,17.9,24.5,104.8
1986-87,NBA,UTA,44,38,2,,82,240.9,40.8,89.5,.456,1.7,5.5,.317,39.1,84.0,.465,24.1,31.3,.770,16.0,32.2,48.1,24.5,8.8,5.6,19.3,24.3,107.5
1985-86,NBA,UTA,42,40,4,,82,241.2,42.3,89.5,.473,0.8,3.1,.259,41.5,86.4,.480,23.1,30.3,.764,14.7,30.6,45.3,24.1,9.2,5.7,18.7,27.1,108.5
1984-85,NBA,UTA,41,41,4,,82,240.9,43.1,92.7,.464,0.9,3.4,.257,42.2,89.3,.472,22.1,29.0,.762,16.6,32.3,48.8,25.2,9.8,5.4,19.6,25.3,109.1
1983-84,NBA,UTA,45,37,1,,82,241.2,45.7,96.0,.476,0.6,2.5,.221,45.1,93.5,.483,21.9,29.4,.745,17.8,30.0,47.8,27.3,9.1,5.7,17.5,26.8,113.8
1982-83,NBA,UTA,30,52,5,,82,240.9,46.3,96.7,.478,0.6,2.4,.241,45.7,94.3,.484,20.1,27.9,.719,17.5,32.6,50.1,26.9,10.1,5.5,19.5,25.6,113.2
1981-82,NBA,UTA,25,57,6,,82,241.2,46.8,91.8,.509,0.6,2.4,.255,46.1,89.4,.516,22.4,30.1,.745,15.3,31.7,47.0,26.2,8.1,5.1,17.2,25.0,116.6
1980-81,NBA,UTA,28,54,5,,82,240.6,41.8,85.6,.489,0.5,1.8,.306,41.3,83.8,.493,22.9,30.1,.760,14.1,29.8,43.8,24.2,7.3,5.0,15.9,22.6,107.1
1979-80,NBA,UTA,24,58,5,,82,241.5,43.4,87.6,.496,0.8,2.6,.318,42.6,85.0,.501,20.8,26.9,.772,14.1,27.9,42.0,24.4,8.7,4.9,15.5,21.7,108.4
1978-79,NBA,NOJ,26,56,6,,82,240.3,47.1,98.0,.481,,,,47.1,98.0,.481,20.3,27.4,.742,18.1,32.5,50.6,27.6,11.6,6.9,19.5,25.1,114.6
1977-78,NBA,NOJ,39,43,5,,82,241.2,44.6,96.8,.461,,,,44.6,96.8,.461,20.3,27.0,.751,15.5,33.5,49.0,25.4,10.4,5.8,18.4,25.1,109.5
1976-77,NBA,NOJ,35,47,5,,82,241.2,42.5,94.0,.452,,,,42.5,94.0,.452,22.4,29.9,.749,16.1,33.9,50.0,21.3,10.2,4.4,19.7,25.9,107.4
1975-76,NBA,NOJ,38,44,4,,82,242.4,41.4,90.4,.458,,,,41.4,90.4,.458,22.1,30.0,.737,14.4,34.7,49.1,20.5,9.5,4.9,21.3,26.4,105.0
1974-75,NBA,NOJ,23,59,5,,82,240.6,43.3,90.6,.478,,,,43.3,90.6,.478,22.6,30.1,.753,14.5,35.7,50.2,23.1,9.5,4.3,23.5,25.9,109.3
