Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,WAS,34,38,3,,72,241.7,43.1,91.6,.471,12.4,33.7,.369,30.7,57.9,.529,19.8,25.4,.781,10.3,35.8,46.1,24.5,8.2,4.8,14.7,22.0,118.5
2019-20,NBA,WAS,25,47,4,,72,241.0,43.1,88.4,.488,12.4,33.1,.376,30.7,55.2,.555,20.4,26.3,.778,10.5,35.7,46.2,25.2,7.5,5.0,16.2,22.2,119.1
2018-19,NBA,WAS,32,50,4,,82,243.0,43.4,90.5,.480,12.1,32.8,.370,31.3,57.7,.542,18.0,23.1,.778,11.4,35.8,47.3,26.2,7.7,4.6,15.8,21.2,116.9
2017-18,NBA,WAS,43,39,2,,82,242.1,39.0,84.4,.462,10.2,29.2,.349,28.8,55.2,.522,17.9,23.5,.761,9.8,32.7,42.5,22.3,7.8,4.7,14.9,20.0,106.0
2016-17,NBA,WAS,49,33,1,,82,242.1,39.7,85.1,.466,9.9,27.1,.364,29.8,58.0,.514,18.2,24.2,.751,10.6,32.5,43.0,22.8,7.4,4.6,15.3,19.8,107.4
2015-16,NBA,WAS,41,41,4,,82,240.9,38.7,83.8,.462,9.0,24.2,.371,29.7,59.5,.498,18.3,23.7,.769,9.4,34.9,44.3,22.5,8.1,4.3,16.2,20.1,104.6
2014-15,NBA,WAS,46,36,2,,82,243.4,36.2,83.5,.433,8.0,23.0,.349,28.1,60.5,.465,17.5,23.7,.738,10.0,31.7,41.7,19.9,8.0,4.3,14.0,19.6,97.8
2013-14,NBA,WAS,44,38,2,,82,244.6,37.0,80.9,.458,7.5,21.5,.347,29.6,59.4,.498,17.8,23.3,.765,10.1,32.1,42.2,22.2,7.7,3.9,16.0,19.5,99.4
2012-13,NBA,WAS,29,53,3,,82,242.1,35.9,81.7,.440,7.1,20.5,.349,28.8,61.2,.470,16.8,22.8,.738,11.0,33.2,44.2,21.5,7.8,4.4,14.5,19.1,95.8
2011-12,NBA,WAS,20,46,4,,66,240.4,36.7,81.1,.453,6.5,18.4,.350,30.2,62.7,.483,18.6,24.5,.758,12.3,31.2,43.5,21.5,7.9,4.5,15.2,18.7,98.4
2010-11,NBA,WAS,23,59,5,,82,243.0,38.7,82.2,.471,6.8,18.3,.373,31.9,63.9,.499,20.4,26.9,.761,12.1,31.8,43.9,23.1,7.6,5.0,15.8,20.3,104.7
2009-10,NBA,WAS,26,56,5,,82,241.8,37.6,81.3,.463,6.4,17.9,.360,31.2,63.4,.492,19.4,25.5,.761,11.4,30.9,42.3,21.6,6.9,5.1,13.6,20.5,101.0
2008-09,NBA,WAS,19,63,5,,82,240.3,38.6,80.1,.482,8.2,21.2,.387,30.4,58.8,.516,18.1,23.9,.759,11.4,30.4,41.8,24.6,7.2,5.3,13.9,20.0,103.5
2007-08,NBA,WAS,43,39,2,,82,242.7,36.8,79.7,.461,8.3,21.6,.386,28.4,58.2,.489,17.3,22.9,.754,11.0,30.2,41.2,23.9,6.5,4.4,14.0,20.2,99.2
2006-07,NBA,WAS,41,41,2,,82,241.8,38.6,81.7,.473,7.3,19.3,.377,31.3,62.4,.502,20.3,26.2,.777,11.9,31.1,43.0,23.7,6.3,4.6,15.7,23.5,104.9
2005-06,NBA,WAS,42,40,2,,82,241.8,36.8,79.0,.465,6.1,16.8,.363,30.6,62.2,.493,20.2,27.1,.745,11.8,30.2,42.0,21.5,6.5,4.2,16.2,25.3,99.8
2004-05,NBA,WAS,45,37,2,,82,241.2,37.8,82.3,.459,6.4,17.5,.364,31.4,64.8,.485,18.9,24.8,.762,12.4,30.6,43.0,23.0,7.1,5.0,15.9,24.3,100.8
2003-04,NBA,WAS,25,57,6,,82,241.8,37.3,82.2,.454,5.2,15.1,.342,32.2,67.1,.479,17.6,22.9,.771,12.8,30.7,43.5,24.0,9.6,5.5,16.1,21.7,97.4
2002-03,NBA,WAS,37,45,5,,82,241.8,35.1,79.4,.442,5.5,15.1,.362,29.6,64.2,.461,16.9,21.9,.771,11.6,29.8,41.4,21.7,7.5,4.4,14.3,22.0,92.5
2001-02,NBA,WAS,37,45,5,,82,240.6,36.0,79.7,.452,5.1,14.5,.354,30.9,65.2,.474,17.0,22.5,.755,11.7,29.0,40.7,22.2,7.0,5.0,13.4,20.9,94.2
2000-01,NBA,WAS,19,63,7,,82,240.0,37.8,80.4,.470,5.3,13.3,.396,32.5,67.1,.485,19.0,25.5,.747,11.4,29.4,40.7,23.2,8.4,6.2,15.0,24.1,99.9
1999-00,NBA,WAS,29,53,7,,82,241.5,36.6,79.8,.459,4.8,12.8,.371,31.9,67.0,.476,21.8,29.3,.744,11.7,29.5,41.2,21.9,8.4,6.1,14.9,24.0,99.9
1998-99,NBA,WAS,18,32,6,,50,241.0,34.1,76.5,.446,4.4,12.4,.352,29.7,64.1,.464,20.9,28.4,.736,12.3,30.3,42.7,21.6,8.0,4.2,15.8,21.7,93.4
1997-98,NBA,WAS,42,40,4,,82,241.5,36.3,79.8,.455,4.2,11.9,.356,32.0,67.8,.472,19.8,26.5,.747,12.5,30.1,42.6,21.0,7.7,4.5,16.2,23.5,96.6
1996-97,NBA,WSB,44,38,4,,82,242.1,36.7,80.9,.454,6.0,16.2,.371,30.7,64.8,.474,18.3,24.4,.749,12.5,28.5,41.0,20.4,8.1,4.1,16.5,21.6,97.7
1995-96,NBA,WSB,39,43,4,,82,241.5,37.3,81.1,.460,4.6,13.5,.342,32.7,67.6,.484,22.2,29.0,.766,13.5,28.9,42.4,20.6,8.5,4.8,16.6,23.1,101.5
1994-95,NBA,WSB,21,61,7,,82,242.1,39.6,82.5,.480,5.3,14.0,.383,34.2,68.6,.499,21.6,28.2,.765,13.5,30.7,44.2,23.9,8.5,5.4,16.6,21.6,106.1
1993-94,NBA,WSB,24,58,7,,82,240.3,43.5,85.7,.508,3.1,8.8,.349,40.5,76.9,.526,17.6,24.3,.723,13.6,28.8,42.5,25.8,9.9,5.7,15.7,22.2,107.7
1992-93,NBA,WSB,22,60,7,,82,241.5,43.4,88.0,.493,2.9,8.7,.336,40.5,79.3,.510,19.2,25.7,.749,13.8,31.2,45.0,25.1,8.8,5.2,15.6,22.2,108.9
1991-92,NBA,WSB,25,57,6,,82,242.1,41.8,87.5,.478,2.6,7.3,.353,39.3,80.2,.490,20.6,27.3,.753,14.6,32.1,46.7,23.2,8.7,5.5,16.2,20.6,106.8
1990-91,NBA,WSB,30,52,4,,82,242.1,41.4,88.8,.466,2.0,6.8,.299,39.4,82.0,.480,21.5,27.9,.771,15.0,30.2,45.2,22.7,8.9,6.0,15.3,21.7,106.4
1989-90,NBA,WSB,31,51,4,,82,241.8,42.8,90.3,.474,1.7,5.8,.300,41.1,84.5,.486,22.5,29.0,.777,14.6,30.5,45.1,23.8,7.9,5.2,14.6,21.7,109.9
1988-89,NBA,WSB,40,42,4,,82,242.1,42.5,88.2,.482,1.9,6.2,.304,40.6,82.0,.495,23.5,30.6,.769,13.8,31.0,44.8,25.4,8.0,6.4,16.8,23.4,110.4
1987-88,NBA,WSB,38,44,2,,82,242.4,42.2,88.2,.478,1.6,4.8,.328,40.6,83.5,.487,20.4,27.4,.744,15.0,28.8,43.8,26.0,8.4,6.4,16.9,24.0,106.3
1986-87,NBA,WSB,42,40,3,,82,240.3,43.0,90.9,.473,1.3,4.4,.291,41.7,86.5,.482,20.2,26.6,.758,16.3,30.3,46.5,26.1,8.5,6.7,17.5,23.6,107.3
1985-86,NBA,WSB,39,43,3,,82,242.1,41.9,89.8,.467,0.9,3.2,.274,41.0,86.6,.474,20.1,26.6,.756,15.2,31.6,46.8,24.6,8.7,5.5,16.7,23.3,104.8
1984-85,NBA,WSB,40,42,4,,82,242.1,42.6,87.5,.487,0.8,2.8,.284,41.8,84.7,.493,19.8,26.5,.747,13.6,32.6,46.2,24.2,7.7,4.8,17.9,22.4,105.8
1983-84,NBA,WSB,35,47,5,,82,242.7,42.3,86.4,.489,0.5,2.1,.215,41.8,84.3,.496,20.6,27.0,.763,12.6,29.0,41.7,24.9,8.6,6.0,15.6,24.6,105.6
1982-83,NBA,WSB,42,40,5,,82,241.5,40.2,85.9,.468,0.5,2.0,.227,39.8,83.9,.474,18.4,25.4,.725,13.6,30.7,44.2,22.8,8.5,6.8,18.8,24.1,99.3
1981-82,NBA,WSB,43,39,4,,82,241.8,41.0,88.2,.465,0.5,2.2,.240,40.5,85.9,.471,20.1,27.3,.735,13.5,30.7,44.2,23.0,7.6,6.6,16.2,23.3,102.6
1980-81,NBA,WSB,39,43,4,,82,241.2,42.9,91.4,.470,0.5,2.1,.210,42.5,89.2,.476,19.4,26.4,.735,14.7,32.2,46.9,25.1,9.0,5.7,17.2,23.0,105.6
1979-80,NBA,WSB,39,43,3,,82,242.4,44.1,94.8,.465,0.7,2.6,.262,43.4,92.2,.471,20.7,26.6,.777,14.6,32.6,47.2,25.9,9.0,6.3,14.9,23.2,109.5
1978-79,NBA,WSB,54,28,1,,82,241.2,46.4,97.7,.475,,,,46.4,97.7,.475,17.1,23.1,.741,14.4,31.0,45.4,26.6,8.9,5.3,16.3,26.1,109.9
1977-78,NBA,WSB,44,38,2,,82,241.8,45.9,98.4,.467,,,,45.9,98.4,.467,17.5,23.1,.758,14.2,32.7,46.9,26.1,9.5,5.2,17.5,28.2,109.4
1976-77,NBA,WSB,48,34,2,,82,240.6,43.3,94.5,.458,,,,43.3,94.5,.458,17.8,23.7,.752,14.2,31.3,45.5,23.1,9.9,4.2,18.4,25.5,104.5
1975-76,NBA,WSB,48,34,2,,82,242.7,41.2,93.1,.442,,,,41.2,93.1,.442,18.1,24.3,.744,14.0,32.8,46.7,20.8,9.9,4.1,18.4,24.2,100.4
1974-75,NBA,WSB,60,22,1,,82,241.5,39.6,90.4,.438,,,,39.6,90.4,.438,18.3,24.0,.762,14.4,34.4,48.8,22.1,8.7,3.2,22.5,24.4,97.5
1973-74,NBA,CAP,47,35,1,,82,240.6,42.6,94.6,.451,,,,42.6,94.6,.451,15.1,20.0,.756,14.7,35.5,50.3,23.2,7.9,4.3,20.1,22.4,100.4
1972-73,NBA,BAL,52,30,1,,82,240.6,43.1,97.7,.441,,,,43.1,97.7,.441,15.5,20.8,.746,,,51.5,22.6,,,,20.5,101.6
1971-72,NBA,BAL,38,44,1,,82,241.2,43.2,95.6,.452,,,,43.2,95.6,.452,21.8,29.4,.742,,,51.8,22.5,,,,22.8,108.3
1970-71,NBA,BAL,42,40,1,,82,241.5,44.4,99.6,.446,,,,44.4,99.6,.446,23.5,31.5,.745,,,54.1,22.7,,,,23.1,112.3
1969-70,NBA,BAL,50,32,3,,82,242.7,,,,,,,,,,,,,,,,,,,,,118.6
1968-69,NBA,BAL,57,25,1,,82,240.9,,,,,,,,,,,,,,,,,,,,,112.1
1967-68,NBA,BAL,36,46,6,,82,240.9,,,,,,,,,,,,,,,,,,,,,117.8
1966-67,NBA,BAL,20,61,5,,81,241.2,,,,,,,,,,,,,,,,,,,,,122.0
1965-66,NBA,BAL,38,42,2,,80,240.6,,,,,,,,,,,,,,,,,,,,,119.5
1964-65,NBA,BAL,37,43,3,,80,242.2,,,,,,,,,,,,,,,,,,,,,115.8
1963-64,NBA,BAL,31,49,4,,80,,,,,,,,,,,,,,,,,,,,,,113.6
1962-63,NBA,CHZ,25,55,5,,80,,,,,,,,,,,,,,,,,,,,,,114.0
1961-62,NBA,CHP,18,62,5,,80,,,,,,,,,,,,,,,,,,,,,,119.4
